,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1931,7.2,7.7,5.4,7.3,6.1,6.9,8.6,5.3,6.6,6.1,5.5,6.4,6.6
1,1932,5.2,6.3,6.2,6.2,7.0,7.4,5.8,7.3,7.9,5.6,6.6,6.1,6.5
2,1933,7.3,6.3,7.2,6.9,6.9,8.3,6.4,6.6,5.3,6.4,5.9,6.7,6.7
3,1934,7.3,6.4,6.9,7.2,5.2,8.1,6.0,5.6,7.8,5.8,5.6,5.7,6.5
4,1935,6.2,6.3,6.0,6.4,5.5,7.4,6.9,5.4,8.1,5.4,3.3,6.3,6.1
5,1936,6.6,6.6,5.9,7.2,7.4,6.7,6.4,8.0,4.6,5.4,5.9,7.4,6.5
6,1937,7.8,7.1,6.3,6.6,7.0,7.6,7.6,4.9,7.3,6.0,7.1,6.8,6.8
7,1938,7.3,5.9,6.8,5.7,7.2,7.4,6.8,6.4,5.5,6.5,4.9,5.5,6.3
8,1939,6.8,5.9,6.8,7.6,6.4,7.9,6.1,5.4,5.3,7.2,5.7,4.3,6.3
9,1940,5.5,6.3,5.6,5.3,5.9,6.1,6.1,6.4,7.0,5.3,5.1,5.4,5.8
10,1941,6.2,6.5,5.2,5.3,7.4,7.8,8.8,7.2,8.0,4.8,5.5,6.4,6.6
11,1942,6.5,7.2,6.9,5.8,7.0,8.5,4.4,6.4,7.5,4.6,5.1,6.4,6.4
12,1943,6.1,5.5,5.8,6.2,6.9,8.4,8.0,6.7,7.5,5.6,4.6,5.0,6.4
13,1944,5.9,6.1,5.7,6.3,7.0,6.3,7.2,4.4,5.9,6.1,6.6,7.9,6.3
14,1945,6.3,6.4,5.7,4.6,6.5,7.9,7.3,4.7,7.2,7.2,4.4,5.5,6.1
15,1946,6.4,5.6,7.0,6.3,7.0,8.4,5.4,5.7,6.2,5.4,5.7,6.7,6.3
16,1947,6.3,6.3,5.8,4.4,7.3,7.6,6.7,3.9,6.8,6.3,4.3,6.8,6.0
17,1948,6.3,5.8,5.3,5.9,7.2,6.2,7.8,5.2,6.4,5.2,4.8,5.8,6.0
18,1949,5.8,6.6,6.2,6.1,6.8,8.3,6.3,5.7,6.7,5.3,6.1,6.9,6.4
19,1950,6.6,7.1,5.9,6.2,7.3,7.0,6.7,5.4,6.9,5.5,6.4,6.8,6.5
20,1951,5.8,6.1,6.1,7.1,5.5,6.9,6.7,5.2,6.3,5.7,5.9,5.0,6.0
21,1952,6.9,7.8,6.3,5.9,6.6,8.0,6.9,4.5,6.7,4.6,4.5,6.1,6.2
22,1953,6.7,7.0,5.4,5.9,6.8,8.5,7.4,6.2,6.3,5.0,5.8,6.5,6.5
23,1954,7.6,5.6,5.4,6.9,7.6,8.3,8.5,4.6,6.0,6.4,4.2,6.1,6.4
24,1955,7.1,6.5,7.4,6.4,6.5,8.1,6.5,4.8,6.3,6.2,4.3,4.2,6.2
25,1956,6.4,6.0,7.5,5.8,8.0,8.0,5.2,5.9,6.9,6.5,5.6,6.1,6.5
26,1957,5.9,6.8,5.8,6.8,6.7,8.5,8.5,6.5,7.6,5.4,4.1,5.9,6.5
27,1958,7.6,5.4,6.3,7.1,6.7,6.9,6.3,6.6,5.8,6.1,4.6,4.7,6.2
28,1959,7.3,7.6,6.2,6.5,6.7,6.2,7.1,5.4,6.1,5.4,4.8,6.3,6.3
29,1960,6.0,4.8,6.4,5.5,7.1,7.6,5.5,5.4,8.0,4.7,6.2,6.2,6.1
30,1961,6.4,6.0,5.7,5.6,7.1,7.9,6.9,6.2,5.8,6.2,6.0,5.5,6.3
31,1962,7.4,5.4,6.1,5.7,6.5,8.7,6.6,5.2,5.9,4.9,6.0,5.4,6.2
32,1963,7.9,5.2,4.6,6.9,9.0,8.2,6.1,6.8,6.8,5.1,5.4,5.1,6.4
33,1964,7.0,6.4,5.6,7.8,5.0,8.1,5.2,5.5,7.3,6.0,4.8,5.3,6.2
34,1965,5.5,5.6,4.1,6.2,7.2,7.5,7.3,3.9,6.5,3.2,5.6,8.0,5.9
35,1966,6.1,5.4,6.3,7.4,6.0,7.7,6.3,6.4,5.9,5.8,5.5,6.6,6.3
36,1967,6.1,6.3,6.0,7.4,6.3,6.5,6.8,5.3,4.6,5.7,6.4,7.1,6.2
37,1968,6.7,6.1,6.1,6.2,6.2,6.8,7.1,6.6,7.4,5.7,3.9,6.6,6.3
38,1969,7.9,7.5,7.4,5.8,5.7,6.7,7.2,5.4,6.0,5.4,5.5,6.4,6.4
39,1970,6.1,5.7,6.5,7.2,7.2,9.0,6.7,6.6,6.9,6.5,5.0,6.8,6.7
40,1971,5.6,6.9,5.4,5.3,6.0,9.0,6.7,7.2,7.3,6.1,4.6,5.8,6.3
41,1972,6.0,7.0,6.2,6.0,6.6,7.0,7.4,6.1,6.1,5.6,6.5,5.6,6.3
42,1973,7.1,6.1,4.9,6.7,6.7,6.9,5.4,5.2,7.7,5.8,5.4,6.0,6.2
43,1974,4.3,6.3,5.9,5.8,6.5,6.7,7.6,5.0,6.5,6.5,4.5,7.1,6.1
44,1975,6.6,6.9,4.9,7.4,6.5,6.6,6.3,5.5,5.3,7.3,5.2,6.5,6.3
45,1976,5.3,6.3,6.0,7.1,7.1,8.5,6.5,5.8,5.9,5.2,6.3,5.3,6.3
46,1977,6.1,5.5,5.6,5.9,7.0,8.2,5.9,6.7,6.0,4.0,6.4,5.0,6.0
47,1978,6.9,6.2,5.4,5.9,7.0,7.1,3.9,4.7,7.2,5.2,5.4,4.6,5.8
