,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,4.8,5.0,5.3,5.9,×,5.3,4.3,5.9,3.8,5.6,5.1,4.9,5.1 ]
1,1952,4.7,4.9,4.5,5.0,4.9,5.5,5.0,3.9,4.2,4.5,7.3,5.2,5.0
2,1953,5.6,4.7,5.1,5.1,5.9,5.1,4.3,4.7,4.5,4.5,5.7,5.1,5.0
3,1954,4.1,5.2,4.4,4.4,4.2,4.9,3.9,5.9,4.9,2.9,4.1,4.2,4.4
4,1955,4.2,4.0,2.9,4.1,4.1,4.6,3.9,3.8,3.1,4.3,4.2,3.7,3.9
5,1956,4.0,4.3,3.7,3.8,3.7,3.8,3.1,4.4,5.5,3.2,5.4,4.1,4.1
6,1957,3.6,3.9,3.7,3.6,3.7,4.3,3.3,4.7,3.9,3.7,4.3,3.3,3.8
7,1958,5.1,5.5,5.7,5.1,5.4,4.8,5.8,4.3,7.5,5.7,7.6,6.2,5.7
8,1959,6.3,5.9,5.9,5.8,4.5,5.7,3.7,6.9,5.6,7.6,7.0,6.2,5.9
9,1960,5.5,5.0,5.6,5.3,4.7,6.0,5.0,7.9,5.0,7.0,5.2,7.6,5.8
10,1961,5.6,6.6,5.5,5.4,5.0,5.0,6.6,4.9,7.2,7.1,5.5,6.5,5.9
11,1962,5.0,3.6,3.7,4.0,4.2,4.0,4.4,3.5,3.5,5.4,5.4,3.4,4.2
12,1963,6.1,4.6,3.7,4.0,3.9,4.9,3.4,4.4,4.2,5.1,3.3,3.9,4.3
13,1964,4.5,3.9,3.4,3.1,4.4,4.3,3.9,4.6,3.7,4.4,4.3,4.2,4.1
14,1965,4.3,3.6,3.8,4.0,3.9,5.0,4.0,3.8,5.2,4.1,4.4,3.8,4.2
15,1966,4.0,3.6,4.2,3.6,4.4,4.6,3.9,3.9,5.2,3.2,4.4,4.4,4.1
16,1967,3.6,3.9,3.7,3.8,3.4,4.5,3.9,3.4,3.2,4.4,4.5,3.8,3.8
17,1968,3.5,4.3,3.6,3.5,3.2,3.7,5.3,5.0,3.9,4.3,4.3,3.1,4.0
18,1969,4.1,3.8,4.2,3.7,4.3,4.5,4.0,4.2,4.3,3.9,5.5,3.7,4.2
19,1970,3.5,2.9,4.7,3.4,3.9,3.9,4.2,5.0,3.0,4.5,3.9,3.7,3.9
20,1971,3.7,3.8,3.5,3.5,3.5,3.7,3.4,4.9,4.1,3.8,4.3,3.7,3.8
21,1972,4.0,3.4,4.1,3.5,3.8,3.7,5.4,3.4,2.7,2.8,3.3,3.7,3.7
22,1973,3.5,3.4,3.4,4.0,4.0,4.0,3.0,4.6,2.0,3.6,3.2,2.9,3.5
23,1974,2.9,3.5,3.5,3.2,3.1,3.0,3.8,4.4,3.2,3.5,4.2,3.9,3.5
24,1975,3.5,4.0,3.2,3.2,3.6,3.9,2.5,4.7,2.1,3.3,3.5,2.8,3.4
25,1976,2.6,3.4,3.2,3.2,4.1,4.0,4.7,3.2,3.5,3.1,4.9,3.6,3.6
26,1977,4.2,4.6,3.6,3.7,3.6,4.4,3.3,3.9,3.4,3.4,3.6,3.5,3.8
