,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,　,　,　,8.8,5.2,5.7,4.7,5.4,6.8,8.2,6.9,7.7,6.6 ]
1,1952,7.4,6.2,7.0,8.8,5.4,4.1,6.8,5.6,6.0,7.7,6.6,8.1,6.6
2,1953,8.5,7.8,6.7,8.5,6.1,4.6,7.0,6.6,6.7,6.5,7.1,10.1,7.2
3,1954,6.8,8.2,8.3,8.9,5.7,5.3,4.3,7.9,8.7,6.8,6.7,7.9,7.1
4,1955,7.6,7.9,9.0,6.2,5.7,3.8,5.8,5.6,7.8,7.3,7.8,8.1,6.9
5,1956,6.4,7.3,8.0,7.1,7.1,5.8,5.1,6.6,6.6,6.5,8.4,7.6,6.9
6,1957,7.8,7.3,7.6,7.4,7.2,3.4,4.9,6.6,6.7,8.1,9.4,6.5,6.9
7,1958,6.7,7.1,7.1,6.8,5.5,5.5,6.1,6.1,5.4,10.4,7.0,8.8,6.9
8,1959,7.3,7.2,7.2,7.8,4.9,5.0,5.9,5.8,6.1,6.5,7.3,7.8,6.6
9,1960,6.2,7.3,7.1,7.8,5.6,6.8,5.3,8.7,7.0,6.6,7.8,6.4,6.9
10,1961,　,　,　,　,　,　,　,　,　,　,　,　,　
11,1962,　,　,　,　,　,　,　,　,　,　,　,　,　
12,1963,　,　,　,　,　,　,　,　,　,　,　,　,　
13,1964,　,　,　,　,　,　,　,　,　,　,　,　,　
14,1965,　,　,　,　,　,　,　,　,　,　,　,　,　
15,1966,　,　,　,　,　,　,　,　,　,　,　,　,　
16,1967,　,　,　,　,　,　,　,　,　,　,　,　,　
17,1968,　,　,　,　,　,　,　,　,　,　,　,　,　
18,1969,　,　,　,　,　,　,　,　,　,　,　,　,　
19,1970,6.1,6.4,7.1,6.4,6.1,4.8,4.4,6.1,4.0,7.2,6.4,6.8,6.0
20,1971,7.0,6.8,7.3,5.2,4.0,3.2,4.8,5.1,6.6,7.0,6.2,7.2,5.9
21,1972,7.2,6.0,7.0,7.2,5.2,5.6,7.8,5.6,6.1,8.1,4.2,4.5,6.2
22,1973,5.6,5.9,5.4,6.3,4.5,4.3,3.9,6.1,5.3,4.6,6.7,5.7,5.4
23,1974,6.6,5.8,6.3 ),7.0,7.1,4.7,4.3,6.4 ),7.2,5.6,6.1,6.0,6.1
24,1975,5.6,5.2,4.8,4.3,4.0,3.4,4.8,4.5,5.3,4.5,5.6,5.6,4.8
25,1976,5.8,6.9,6.0,5.2,5.3,4.0,5.6,4.1,6.3,4.8,5.8,5.7,5.5
26,1977,4.9,5.6,6.6,5.3,4.6,4.0,4.3,4.6,5.3,8.4,6.2,6.4,5.5
27,1978,4.5,5.0,5.7,6.1,5.7,5.9,5.7,5.2,5.7,7.4,6.7,6.9,5.9
28,1979,5.9,5.8,6.1,6.3,5.7,5.9,5.5,5.4,6.6,6.2,8.3,7.2,6.2
29,1980,6.3,5.0,4.6,6.4,6.4,4.6,3.8,4.4,6.3,6.6,6.7,5.6,5.6
30,1981,5.3,5.7,5.9,4.8,3.8,3.2,5.4,5.4,5.0,6.1,6.0,6.4,5.3
31,1982,5.7,5.3,5.3,4.1,4.9,5.0,4.2,4.7,6.6,6.5,6.5,4.7,5.3
32,1983,5.0,5.2,5.4,6.5,5.2,3.9,4.6,4.8,3.3,5.5,5.5,5.7,5.1
33,1984,5.3,6.0,4.8,5.1,3.8,4.9,4.8,3.8,4.5,7.1,6.5,6.1,5.2
34,1985,6.1,5.4,6.9,6.8,6.4,4.6,5.2,4.7,4.0,5.4,5.9,5.9,5.6
35,1986,5.4,5.2,5.7,6.6,6.1,4.0,5.0,7.7,5.7,4.7,6.0,6.9,5.8
36,1987,6.3,4.1,4.9,4.8,5.8,4.7,4.4,5.4,7.8,6.4,6.9,4.8,5.5
37,1988,6.2,5.0,4.5,6.0,4.8,3.9,5.3,3.9,6.1,4.8,5.6,5.6,5.1
38,1989,6.7,7.6,7.0,5.7,5.2,4.1,5.8,6.0,7.5,5.5,7.4,5.1,6.1
39,1990,6.5,5.8,5.1,5.3,5.3,5.1,4.6,4.9,7.1,6.3,6.9,6.2,5.8
40,1991,5.7,5.5,5.7,4.8,4.2,3.2,3.5,5.7,6.0,8.0,6.1,6.5,5.4
41,1992,5.3,5.2,4.7,4.1,5.4,3.8,3.5,5.4,6.0,6.4,7.1,5.0,5.2
42,1993,5.4,5.2,4.9,4.4,3.9,2.8,5.1,5.0,4.9,6.7,7.0,6.7,5.2
43,1994,5.3,5.3,5.4,5.2,4.8,3.9,4.6,4.7,5.4,7.3,6.6,5.8,5.4
44,1995,5.3,4.7,5.2,4.7,5.9,3.7,4.0,3.2,5.3,5.6,5.0 ),4.9,4.8
45,1996,5.1,5.0,4.7,4.6,3.4,3.2,4.8,3.9,5.4,5.4,7.1,5.9,4.9
46,1997,4.9,4.8,5.9,6.5,4.8,4.7,3.8,4.5,6.7,4.9,5.4,6.7,5.3
47,1998,5.1,5.2,5.2,5.5,4.6,3.6,5.3,4.5,6.3,3.6,5.3,5.7,5.0
48,1999,5.3,5.6,4.4,4.9,4.8,4.2,4.5,3.4,4.6,5.3,6.3,5.3,4.9
49,2000,6.1,4.9,4.9,4.2,4.5,4.6,4.7,4.5,4.7,4.7,4.5,5.5,4.8
50,2001,5.2,5.2,5.4,5.4,3.4,4.0,4.3,4.4,6.1,6.1,5.8,5.3,5.1
51,2002,5.1,5.4,4.7,6.7,5.8,3.6,5.2,6.7,5.4,6.3,5.5,5.7 ),5.5
52,2003,5.5,4.9 ),5.9,5.9,6.3,4.4 ),4.2,5.0,5.0,6.3,8.3,5.7,5.6
53,2004,5.5,6.1,6.1,5.1,6.0,5.4,4.3,5.6,5.9,6.9,7.1,6.8 ),5.9
54,2005,5.8,4.7,5.5,5.6,4.1,3.5,4.3,4.3,5.2,5.6,4.7,4.8,4.8
55,2006,5.6,5.5,6.1,4.9,5.5,4.1,4.1,5.9,9.2 ],8.0,6.7,7.0,5.8 ]
56,2007,6.2,6.1,6.5,6.5,4.5,4.2,4.4,6.2 ),6.6,6.5,5.9,6.1,5.8
57,2008,5.7,6.1,5.5,5.0,4.2,4.3,4.4,4.5,4.7,4.8,5.0,6.1,5.0
58,2009,6.7,5.4,5.7,4.6,5.7,4.0 ),6.4,6.9 ),7.4,5.4,6.6,5.0,5.8
59,2010,6.1,5.7,5.3,6.3,5.1,5.1,5.6,5.3,5.1,6.3,5.5,6.4,5.7
60,2011,5.9,6.1,6.5,6.6,4.6,4.2,5.6,6.5,7.9,6.2,7.3,3.9,5.9
61,2012,5.9,5.9,6.2,5.8,5.7,4.1,5.6,4.8,6.7,5.5,4.9,6.2,5.6
62,2013,5.6,5.6,5.8,6.1,5.0,3.8,4.8,3.3,5.7,7.5,5.3 ),5.7,5.4
63,2014,7.7,6.6,6.7 ),5.9,5.1,3.9,3.9,4.5,5.5,6.6,7.1,6.5,5.8
64,2015,6.4,6.7,5.9,5.9,4.7,3.5,5.7,5.7,5.7,8.0,6.2,5.0,5.8
65,2016,4.9,6.0,6.0,5.2,5.2,4.3,3.4,7.2,6.5,5.2,5.6,7.1,5.6
66,2017,6.3,5.8,5.7,5.7,4.5,4.2,4.4,5.3,3.8,6.0,6.9,5.4,5.3
