,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1930,　,　,　,　,　,17.5,22.6,22.1,16.5,10.9,4.1,1.2,13.6 ]
1,1931,0.3,0.5,2.3,7.0,10.4,15.7,19.5,21.5,18.6,11.7,6.9,2.0,9.7
2,1932,0.4,-0.8,0.6,5.6,12.3,16.9,22.0,22.5,18.6,11.1,6.1,1.2,9.7
3,1933,-0.8,-1.4,1.7,8.6,12.8,17.5,22.2,22.1,17.0,11.2,5.1,0.8,9.7
4,1934,-4.0,-3.1,-0.4,7.3,11.8,16.7,21.7,21.9,17.9,9.9,4.9,1.5,8.8
5,1935,-0.6,0.0,1.6,6.9,11.1,16.8,21.0,21.0,17.6,10.9,6.1,0.7,9.4
6,1936,-3.7,-2.4,0.5,6.7,10.8,17.3,20.8,22.2,18.9,11.0,6.1,2.4,9.2
7,1937,0.7,1.9,2.8,7.9,12.3,14.8,22.0,22.4,18.2,11.6,6.8,-0.1,10.1
8,1938,-2.1,-2.2,4.8,7.2,13.5,17.7,21.7,21.6,17.7,12.4,4.6,0.8,9.8
9,1939,-2.7,-1.0,1.9,7.3,11.9,16.2,22.5,21.2,18.4,12.6,7.6,-0.5,9.6
10,1940,-3.2,-1.6,1.8,7.0,10.7,16.8,23.3,20.3,18.2,12.3,7.6,1.4,9.6
11,1941,-0.3,-0.2,3.9,6.5,12.8,17.3,21.6,21.9,17.2,11.7,7.6,3.0,10.3
12,1942,-2.4,-0.7,5.3,6.4,11.4,17.5,23.1,22.1,19.9,9.8,3.5,-0.4,9.6
13,1943,-3.7,-2.1,1.8,5.3,12.4,17.4,20.7,21.5,19.7,11.6,4.7,0.5,9.2
14,1944,-1.6,-2.5,0.1,5.6,13.1,17.3,21.5,22.4,17.9,12.0,6.6,-0.5,9.3
15,1945,-4.6,-3.3,1.9,7.2,10.5,16.7,18.7,21.8,19.2,12.8,5.6,-0.3,8.9
16,1946,-1.9,0.4,2.7,8.4,12.2,18.4,22.5,21.4,18.2,13.1,8.7,1.1,10.4
17,1947,0.3,-3.7,1.5,6.0,11.6,16.4,22.3,22.9,18.9,11.2,4.6,-0.2,9.3
18,1948,-1.2,0.0,3.1,9.0,12.6,18.0,22.6,21.3,19.8,13.5,8.3,3.6,10.9
19,1949,-0.6,1.6,1.2,5.6,12.2,16.5,22.0,22.0,17.6,12.3,6.7,3.1,10.0
20,1950,0.7,1.3,2.5,9.1,14.5,19.0,21.9,21.9,18.3,11.1,7.3,1.0,10.7
21,1951,-0.7,0.8,3.8,7.9,12.2,16.2,21.4,22.7,17.3,13.5,6.0,1.2,10.2
22,1952,-0.3,0.1,3.8,8.7,12.5,18.1,21.0,22.4,19.9,12.4,8.3,1.4,10.7
23,1953,-1.2,-0.4,5.2,6.1,12.4,18.2,21.4,22.2,19.6,12.3,5.9,3.7,10.5
24,1954,1.4,0.3,3.3,10.7,12.9,16.2,20.0,22.9,20.4,11.7,6.7,3.0,10.8
25,1955,-1.4,0.9,5.8,9.5,13.2,19.2,23.4,22.1,18.9,14.1,5.0,2.1,11.1
26,1956,-0.3,-0.6,5.1,9.1,12.9,18.7,21.8,21.5,19.4,14.4,7.9,-0.9,10.8
27,1957,1.1,0.0,1.3,8.9,11.9,16.7,21.7,22.8,17.9,12.1,7.4,2.7,10.4
28,1958,0.5,1.6,4.0,9.5,12.4,17.9,22.1,22.9,19.5,12.4,7.5,3.4,11.1
29,1959,-0.1,3.6,5.0,9.4,13.3,17.1,22.8,23.4,20.5,13.1,8.9,2.5,11.6
30,1960,-0.3,0.7,4.5,9.0,13.8,17.8,22.8,22.5,20.1,12.9,8.2,1.4,11.1
31,1961,-1.1,-1.5,4.1,9.4,14.6,18.1,23.4,23.2,20.1,16.6,8.1,1.5,11.4
32,1962,-1.8,-0.6,3.0,8.5,12.9,18.0,22.5,23.6,19.5,12.2,7.1,2.1,10.6
33,1963,-3.5,-1.5,3.1,10.1,15.2,19.5,22.8,22.9,16.9,12.9,7.2,2.4,10.7
34,1964,1.7,0.5,2.4,12.0,12.5,17.4,22.5,23.5,19.3,12.2,5.6,1.8,11.0
35,1965,-0.1,-0.3,0.0,5.7,13.0,18.2,22.3,21.5,17.8,10.0,8.1,1.5,9.8
36,1966,-1.3,2.1,4.8,9.5,11.8,17.1,22.1,22.8,19.6,12.3,6.8,0.2,10.7
37,1967,-2.1,-0.7,2.7,8.6,13.0,18.2,22.5,23.4,19.4,12.0,8.7,0.8,10.5
38,1968,-1.1,-2.8,4.3,9.0,12.4,17.2,21.8,22.6,17.5,12.1,6.3,4.2,10.3
39,1969,0.9,2.0,2.7,8.9,13.5,16.2,21.0,22.3,18.7,11.4,6.9,-0.1,10.4
40,1970,-2.7,-0.1,0.4,8.2,13.4,16.3,21.4,21.8,20.5,12.0,6.0,0.4,9.8
41,1971,-1.0,0.5,1.8,7.7,13.5,17.6,22.4,22.6,18.5,11.4,5.8,2.5,10.3
42,1972,1.7,2.6,3.5,8.5,13.0,17.2,22.4,22.5,18.1,12.8,7.2,2.4,11.0
43,1973,0.8,1.0,2.5,10.8,12.0,17.5,22.6,24.1,18.5,12.0,4.9,-1.4,10.4
44,1974,-2.8,0.8,2.7,9.8,13.5,17.9,21.0,22.8,18.7,13.7,6.0,2.8,10.6
45,1975,0.1,-0.4,2.5,9.0,13.6,18.5,21.8,21.6,19.7,13.3,7.8,1.3,10.7
46,1976,-1.3,2.0,4.6,8.4,12.7,18.5,20.2,21.7,17.2,12.5,6.2,1.6,10.4
47,1977,-1.0,-1.4,5.2,10.2,12.5,18.4,21.9,21.6,20.0,13.1,9.7,2.7,11.1
