,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1897,77.4,50.4,109.0,198.3,118.0,68.9,149.7,157.2,439.5,152.3,181.3,1.1,1703.1
1,1898,100.0,97.3,47.0,200.4,117.7,219.6,83.5,74.2,221.1,45.9,130.9,105.9,1443.5
2,1899,32.5,66.4,201.3,105.7,81.8,186.2,226.8,160.8,205.6,294.8,26.9,97.4,1686.2
3,1900,51.9,48.4,73.0,178.5,123.3,117.5,137.8,67.2,188.6,140.8,144.9,28.5,1300.4
4,1901,82.0,43.2,97.3,136.6,174.5,87.5,134.7,91.3,75.9,197.4,39.2,84.2,1243.8
5,1902,19.6,32.8,103.0,157.4,203.6,146.2,196.8,203.8,208.7,112.9,152.5,81.8,1619.1
6,1903,107.2,63.7,160.5,166.6,137.6,162.9,198.6,28.6,213.8,212.4,126.9,53.0,1631.8
7,1904,12.9,32.5,151.9,117.2,131.3,60.4,227.9,108.9,148.0,209.7,15.3,63.3,1279.3
8,1905,42.7,36.2,99.8,146.1,144.5,195.1,106.6,220.8,92.5,102.8,31.7,82.4,1301.2
9,1906,24.7,166.6,75.4,71.0,69.7,121.6,150.5,172.1,147.5,149.6,27.3,26.0,1202.0
10,1907,50.2,2.7,176.4,144.1,183.1,180.9,58.4,198.8,221.3,162.5,120.3,28.3,1527.0
11,1908,41.2,37.6,148.6,185.3,148.2,168.6,140.6,89.9,270.2,116.2,6.6,70.2,1423.2
12,1909,122.1,40.3,152.6,136.8,165.1,162.8,143.9,87.0,393.5,42.9,89.1,6.4,1542.5
13,1910,109.9,53.2,52.8,69.0,231.0,172.0,124.9,398.7,200.9,248.1,47.4,33.3,1741.2
14,1911,88.3,31.6,110.8,195.7,105.8,266.4,256.9,175.8,158.9,186.3,71.3,28.4,1676.2
15,1912,59.1,78.1,120.6,122.4,147.5,247.4,173.4,61.7,416.4,81.0,84.1,104.0,1695.7
16,1913,59.1,61.0,49.8,93.1,221.5,197.6,178.9,186.8,230.0,223.2,84.3,76.7,1662.0
17,1914,20.8,52.0,189.3,199.0,176.4,113.1,134.0,149.4,231.5,111.6,39.9,47.2,1464.2
18,1915,68.2,151.4,91.8,173.9,178.3,156.1,18.2,306.1,147.7,228.5,72.6,34.1,1626.9
19,1916,23.7,133.0,44.8,117.0,146.8,82.6,309.2,167.5,125.5,268.9,235.1,71.2,1725.3
20,1917,35.9,15.5,172.0,82.5,114.9,139.6,18.2,70.6,196.5,351.3,126.8,3.0,1326.8
21,1918,18.9,61.2,149.3,112.9,140.6,83.1,118.1,62.7,233.5,144.8,143.6,62.8,1331.5
22,1919,84.3,156.3,106.2,125.2,96.6,123.5,105.3,82.0,148.8,154.3,154.8,123.7,1461.0
23,1920,78.6,110.5,141.8,206.7,258.4,208.4,228.9,177.8,293.1,238.8,66.0,87.8,2096.8
24,1921,58.2,92.4,87.2,125.9,242.5,109.6,70.1,104.0,248.5,203.5,20.8,54.2,1416.9
25,1922,39.1,242.5,87.0,113.2,112.7,128.5,148.8,197.5,92.8,317.9,72.9,10.5,1563.4
26,1923,37.2,67.4,101.6,99.1,164.7,279.1,110.1,46.3,229.0,193.3,165.8,34.8,1528.4
27,1924,2.8,44.6,73.2,137.1,101.7,141.0,20.6,167.7,332.1,291.2,41.3,19.9,1373.2
28,1925,30.7,51.8,53.2,99.7,114.6,153.8,70.5,423.7,248.2,183.4,94.3,69.4,1593.3
29,1926,6.0,42.9,59.6,90.1,85.9,74.9,63.9,121.3,128.8,103.8,31.1,85.6,893.9
30,1927,24.0,40.9,140.3,110.9,245.0,91.4,137.9,148.9,336.8,109.6,47.1,54.5,1487.3
31,1928,33.7,73.1,132.1,106.8,96.8,205.4,207.6,91.0,76.7,210.6,55.4,48.7,1337.9
32,1929,1.8,6.3,62.4,110.8,269.6,57.2,52.4,45.7,424.9,238.5,177.8,48.9,1496.3
33,1930,25.8,73.7,140.0,157.5,107.2,197.8,255.2,50.7,108.4,173.2,177.7,54.5,1521.7
34,1931,68.9,65.7,89.5,94.8,148.3,107.2,130.8,31.9,97.0,174.7,120.5,46.8,1176.1
35,1932,21.5,59.3,79.1,121.5,94.5,166.7,156.4,94.5,226.1,158.7,217.3,75.2,1470.8
36,1933,35.5,35.8,146.9,117.0,70.4,125.6,82.3,134.8,12.2,237.7,98.7,59.5,1156.4
37,1934,28.8,25.1,50.7,159.8,123.8,130.1,116.7,34.2,173.3,171.0,122.9,36.9,1173.3
38,1935,65.1,78.0,95.3,137.3,110.0,137.1,124.3,300.9,264.5,132.2,95.2,29.5,1569.4
39,1936,47.8,78.5,50.2,157.0,146.8,155.6,181.5,121.3,148.3,204.1,55.1,56.8,1403.0
40,1937,65.8,149.5,87.1,160.7,162.3,72.2,110.5,98.6,148.7,139.3,74.7,44.6,1314.0
41,1938,46.2,73.1,99.5,67.7,171.3,635.5,232.0,178.0,175.2,254.9,38.1,59.4,2030.9
42,1939,58.7,38.7,69.2,161.0,116.1,97.9,109.4,386.1,161.2,88.8,76.1,6.1,1369.3
43,1940,0.7,50.4,48.5,159.4,111.5,141.2,37.6,159.6,214.9,69.9,73.1,40.4,1107.2
44,1941,27.1,51.8,143.9,63.5,190.3,151.1,588.3,142.3,111.5,58.0,108.0,87.0,1722.8
45,1942,0.0,68.9,121.6,156.1,86.6,172.5,42.3,152.8,209.0,172.2,61.1,16.7,1259.8
46,1943,44.9,61.4,51.4,121.9,92.3,204.9,109.8,36.0,110.3,339.0,14.1,12.2,1198.2
47,1944,16.9,27.2,61.4,157.4,77.7,118.4,147.5,54.2,108.8,331.3,107.1,12.7,1220.6
48,1945,7.8,66.3,78.1,80.4,136.8,139.5,291.4,37.9,116.3,377.9,112.3,37.1,1481.8
49,1946,25.1,71.7,97.5,106.1,67.0,74.6,141.8,50.1,110.5,254.0,88.4,39.8,1126.6
50,1947,81.1,23.8,54.6,50.7,139.7,136.8,86.1,153.6,432.5,115.9,34.6,44.1,1353.5
51,1948,39.3,65.3,68.4,187.0,123.9,262.2,113.4,251.0,170.6,50.9,172.4,48.7,1553.1
52,1949,45.7,70.6,48.7,113.7,142.8,168.3,65.6,91.5,149.0,258.0,133.5,71.5,1358.9
53,1950,78.1,63.2,79.0,119.4,85.5,313.1,81.3,256.3,147.8,120.7,126.0,117.3,1587.7
54,1951,43.3,51.5,163.1,129.2,130.9,137.8,264.8,37.1,199.2,101.8,80.6,58.4,1397.7
55,1952,66.1,97.4,130.7,138.1,123.8,262.0,236.7,36.7,150.6,264.9,100.5,11.5,1619.0
56,1953,33.8,34.7,118.3,79.3,184.7,197.2,201.9,231.9,217.8,109.0,20.9,66.3,1495.8
57,1954,55.8,29.9,103.8,150.7,121.8,243.3,172.7,84.3,168.2,141.5,66.9,42.9,1381.8
58,1955,32.6,69.3,168.9,75.8,134.3,83.1,51.5,192.5,181.0,201.8,72.6,27.1,1290.5
59,1956,87.3,59.0,138.4,119.5,256.8,128.9,52.2,98.4,142.3,190.6,73.2,4.8,1351.4
60,1957,6.1,87.3,78.5,98.2,131.3,191.8,221.7,155.7,305.4,150.7,25.9,81.6,1534.2
61,1958,34.7,41.6,49.4,63.4,98.3,102.7,146.5,128.1,330.3,221.3,71.2,165.3,1452.8
62,1959,59.9,96.7,148.8,123.3,145.0,129.1,139.3,164.2,113.5,158.5,111.9,114.1,1504.3
63,1960,13.8,7.2,86.6,106.1,155.8,93.1,68.6,212.3,135.2,190.8,99.6,61.0,1230.1
64,1961,43.6,26.2,90.6,149.1,50.3,489.7,79.7,145.9,56.2,217.3,50.1,30.2,1428.9
65,1962,55.7,9.0,61.3,103.9,253.2,240.5,138.3,62.6,80.7,106.5,74.8,49.0,1235.5
66,1963,2.1,35.1,75.3,73.8,105.7,221.0,134.6,115.8,137.0,268.3,100.3,21.1,1290.1
67,1964,119.6,58.0,77.2,80.5,107.3,120.3,120.6,268.4,113.5,139.5,51.3,49.6,1305.8
68,1965,74.2,15.2,27.4,81.3,335.7,225.9,154.9,102.3,294.1,70.2,96.5,90.4,1568.1
69,1966,27.2,137.8,138.9,122.7,178.3,313.0,104.8,25.7,167.5,96.3,42.8,11.2,1366.2
70,1967,45.4,48.7,124.2,98.0,73.7,126.7,114.5,68.6,232.9,158.1,54.8,43.0,1188.6
71,1968,19.5,42.0,105.5,117.5,211.0,165.0,75.0,212.5,102.0,137.5,20.0,192.5,1400.0
72,1969,55.5,84.0,177.0,66.0,151.5,180.5,108.5,143.0,128.0,188.5,81.5,3.5,1367.5
73,1970,52.5,35.0,48.0,40.5,161.0,160.0,74.0,52.5,99.0,77.0,216.5,26.5,1042.5
74,1971,34.5,22.5,41.5,188.0,75.0,107.0,68.5,194.5,241.5,207.0,16.5,46.5,1243.0
75,1972,127.0,112.0,36.5,184.5,142.0,121.5,114.0,107.0,133.5,57.5,66.5,111.5,1313.5
76,1973,84.0,41.5,8.0,164.5,109.5,122.0,11.0,114.5,156.5,190.5,91.0,0.0,1093.0
77,1974,27.0,65.0,76.5,135.0,74.0,206.0,132.5,50.5,189.5,73.5,34.5,56.0,1120.0
78,1975,61.0,77.5,82.5,110.0,73.5,137.0,225.0,38.0,164.5,138.0,162.5,43.5,1313.0
