,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,1012.4,1010.0,1010.6,1011.1,1007.5,1003.7,1006.5,1007.3,1007.9,1010.4,1011.8,1011.8,1009.3
1,1952,1010.3,1011.1,1008.3,1011.1,1008.2,1004.0,1004.3,1005.7,1007.8,1010.5,1012.7,1013.3,1008.9
2,1953,1009.4,1014.8,1008.6,1010.7,1009.0,1004.0,1005.5,1004.8,1007.6,1011.1,1012.6,1014.9,1009.4
3,1954,1009.8,1011.6,1012.2,1009.4,1007.8,1004.3,1004.6,1006.0,1007.0,1010.8,1012.2,1013.7,1009.1
4,1955,1012.4,1007.7,1012.6,1010.9,1006.3,1005.4,1006.0,1005.3,1007.5,1008.4,1013.4,1009.2,1008.8
5,1956,1007.4,1006.8,1011.8,1008.9,1008.3,1004.5,1003.8,1004.5,1009.5,1012.3,1013.5,1012.8,1008.7
6,1957,1011.8,1011.6,1008.0,1011.2,1007.3,1004.1,1003.6,1006.2,1007.3,1009.7,1013.9,1011.0,1008.8
7,1958,1012.5,1010.4,1009.3,1010.9,1007.2,1005.0,1004.9,1006.9,1005.6,1012.7,1013.6,1011.8,1009.2
8,1959,1009.7,1014.0,1012.6,1009.9,1007.2,1003.7,1003.9,1002.7,1006.6,1010.6,1012.8,1013.4,1008.9
9,1960,1010.2,1011.3,1009.5,1009.7,1006.6,1006.6,1005.0,1006.4,1009.7,1011.2,1011.9,1010.0,1009.0
10,1961,1011.3,1007.7,1012.0,1010.5,1008.3,1005.8,1005.1,1005.9,1009.1,1009.7,1014.6,1009.5,1009.1
11,1962,1005.9,1010.4,1008.3,1011.5,1007.3,1004.9,1005.7,1006.9,1009.3,1011.5,1013.8,1011.2,1008.9
12,1963,1001.0,1009.5,1010.4,1015.1,1009.8,1007.6,1006.9,1004.4,1007.0,1011.5,1013.0,1012.6,1009.1
13,1964,1012.5,1014.1,1010.9,1015.1,1009.8,1004.2,1005.2,1005.2,1008.1,1014.1,1011.5,1013.6,1010.4
14,1965,1010.1,1009.3,1008.5,1009.3,1007.2,1005.0,1004.1,1005.8,1005.7,1012.2,1013.2,1010.5,1008.4
15,1966,1010.4,1010.2,1006.5,1009.5,1008.3,1005.6,1005.7,1005.3,1006.1,1010.7,1011.9,1011.2,1008.5
