,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1937,　,　,　,　,　,　,　,　,　,×,22.7,19.3,21.0 ]
1,1938,17.5,16.6,18.8,20.9,25.0,28.2,28.0,27.1,27.0,24.8,21.2,19.5,22.9
2,1939,17.3,17.6,19.0,20.2,23.1,26.4,26.5,26.7,25.5,24.3,22.1,18.2,22.2
3,1940,16.5,17.4,18.4,19.5,22.8,25.9,27.0,27.1,26.6,25.3,22.6,19.5,22.4
4,1941,18.3,18.6,19.5,21.5,24.9,26.3,28.4,27.8,26.8,24.5,22.4,20.4,23.3
5,1942,17.0,19.0,21.3,22.5,24.3,27.2,28.4,28.1,26.8,24.7,21.8,18.4,23.3
6,1943,16.6,16.6,19.5,21.0,24.7,26.6,27.0,26.7,26.7,24.7,22.1,19.6,22.7
7,1944,18.6,17.3,16.9,20.7,24.6,26.2,27.9,27.3,27.0,25.0,22.9,18.1,22.7
8,1945,16.7,16.8,19.3,21.6 ),22.5,26.8 ),28.3,27.3,27.3,24.2,22.5,19.1,22.7
9,1946,18.2,17.9,20.7,22.5,25.2,27.0,27.8,27.7,28.3,24.6,22.6,19.1,23.5
10,1947,18.9,15.9,18.1,20.7,23.8,26.1,27.7,27.6,27.6,24.2,21.9,18.7,22.6
11,1948,16.4,18.3,19.2,21.9,25.1,26.4,28.0,27.8,27.6,24.9,21.7,21.2,23.2
12,1949,16.4,18.0,19.8,21.5,25.2,26.5,28.1,27.0,27.2,25.3,22.5,20.6,23.2
13,1950,18.9,18.2,19.8,21.9,24.0,25.6,27.8,27.6,27.2,25.3,22.1,17.6,23.0
14,1951,17.9,18.2,18.7,21.9,23.4,26.0,27.6,27.4,27.2,24.8,22.0,20.3,23.0
15,1952,17.9,18.8,20.3,22.1,26.0,27.3,27.9,27.7,27.4,25.1,24.0,19.2,23.6
16,1953,17.3,18.7,20.0,20.4,23.8,27.7,28.3,28.3,27.2,25.1,23.0,20.5,23.4
17,1954,19.8,18.4,18.8,22.7,26.4,28.0,29.1,28.2,27.1,24.5,22.7,19.2,23.7
18,1955,16.5,18.4,21.0,22.2,24.8,27.2,27.7,27.0,27.5,24.3,21.2,19.3,23.1
19,1956,16.2,16.9,19.4,22.3,25.4,28.2,29.2,27.6,26.6,24.8,21.2,18.9,23.1
20,1957,18.4,17.0,18.4,22.5,25.2,26.2,28.8,28.5,27.2,23.9,21.9,19.3,23.1
21,1958,17.5,17.6,19.6,23.1,24.8,25.8,28.0,28.0,27.2,24.7,21.9,20.0,23.2
22,1959,16.5,20.1,20.1,21.9,24.9,27.0,28.1,28.2,27.2,24.5,22.5,20.4,23.5
23,1960,18.2,18.6,22.1,21.6,24.5,26.8,28.5,27.6,27.2,25.4,23.0,18.8,23.5
24,1961,16.8,17.2,19.8,21.7,25.3,28.1,28.1,28.1,27.4,25.3,22.9,19.6,23.4
25,1962,15.5,17.6,18.5,20.5,25.6,27.5,28.2,27.7,27.1,25.0,21.9,18.6,22.8
26,1963,13.1,14.6,18.2,21.3,26.3,26.3,28.0,28.8,27.9,24.2,22.4,19.1,22.5
