,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,2.6,3.2,3.5,3.4,3.2,3.4,3.9,3.3,2.5,3.5,2.4,2.4,3.1
1,1952,2.8,2.8,3.2,3.3,2.8,3.3,3.4,2.2,2.1,2.1,3.2,2.2,2.8
2,1953,3.1,3.0,3.5,3.0,3.6,4.3,3.4,2.9,2.7,2.3,2.3,2.3,3.0
3,1954,2.9,3.0,3.1,3.4,3.5,3.5,3.4,3.4,3.9,2.6,2.3,2.3,3.1
4,1955,3.4,3.0,3.0,3.2,2.9,3.5,3.5,2.8,3.2,3.0,2.3,2.0,3.0
5,1956,3.0,3.5,3.4,2.9,3.0,3.5,3.1,2.9,3.3,2.9,2.4,2.6,3.0
6,1957,2.8,3.2,3.3,3.3,3.2,3.1,4.1,3.2,3.6,2.0,2.6,2.5,3.1
7,1958,2.9,2.8,3.5,3.7,3.5,3.3,3.2,2.5,2.7,3.0,2.2,2.4,3.0
8,1959,2.8,3.5,3.1,3.6,3.0,3.0,3.3,3.1,3.1,3.1,2.4,2.8,3.1
9,1960,2.9,2.9,3.3,3.5,3.3,3.6,3.1,3.7,2.4,3.1,2.1,2.4,3.0
10,1961,2.5,2.8,2.5,2.7,2.8,3.1,3.4,2.6,2.5,2.8,2.5,2.2,2.7
11,1962,2.7,2.6,2.8,2.8,2.4,2.5,3.1,2.7,2.3,2.4,2.5,2.3,2.6
12,1963,3.5,2.6,2.8,2.9,3.1,2.9,2.4,3.4,2.6,1.8,1.9,1.9,2.7
13,1964,2.3,2.6,2.6,2.8,2.8,2.9,3.0,3.4,2.5,2.5,2.0,1.6,2.6
14,1965,2.3,2.6,2.6,2.6,2.5,2.6,3.4,2.6,3.0,1.7,2.1,2.3,2.5
15,1966,2.1,2.3,3.0,2.7,2.9,2.7,2.8,2.8,2.7,2.2,1.9,1.8,2.5
16,1967,2.5,2.1,2.8,3.0,2.5,2.6,3.0,2.2,1.9,2.6,1.9,1.9,2.4
17,1968,2.5,2.6,2.4,2.2,2.5,2.1,2.6,2.3,2.6,2.4,1.7,1.7,2.3
18,1969,2.1,2.2,2.7,2.6,2.3,2.5 ),2.6,2.7,2.5,2.4,1.9,1.9,2.4
19,1970,2.3,2.4,2.7,2.3,2.5,2.5,2.9,3.3,2.3,2.3,1.8,1.9,2.4
20,1971,2.2,2.6,2.6,2.2,2.3,2.7,2.7,4.1,2.4,2.4,2.1,1.8,2.5
21,1972,2.4,2.7,2.6,2.3,2.7,2.7,3.7,2.5,2.2,2.0,2.2,1.9,2.5
22,1973,2.6,2.1,2.4,2.5,2.7,2.6,2.4,2.3,1.8,2.0,2.0,2.1,2.3
23,1974,1.8,2.3,2.4,2.4,2.6,2.3,2.6,2.2,1.9,2.0,2.0,1.6,2.2
24,1975,1.9,2.1,2.3,2.0,2.0,2.0,2.1,1.9,1.2,2.0,1.7,1.5,1.9
25,1976,1.8,1.8,1.9,2.1,1.9,2.3,2.3,1.8,2.1,1.4,1.8,1.8,1.9
26,1977,1.2,1.9,2.1,2.1,2.3,2.1 ),1.8,2.0,1.6,1.4,1.9,1.5,1.8
27,1978,1.8,2.0,2.3,2.0,2.0,2.1,2.3,2.1,1.8,1.7,1.5,1.2,1.9
28,1979,1.5,2.1,2.1,2.2,2.0,2.0,1.7,1.8,2.1,1.7,1.7,1.1,1.8
29,1980,2.1,1.6,1.8,2.0,1.9,1.8,1.7,1.8,1.8,1.7,1.4,1.7,1.8
30,1981,1.8,1.9,2.3,1.8,1.6,1.9,1.9,1.9,2.2,1.9,1.4,1.3,1.8
31,1982,1.6,1.6,2.0,2.1,1.6,1.9,2.2,2.0,2.0,1.8,1.4,1.1,1.8
32,1983,1.2,1.5,2.5,1.9,1.8 ),2.0,2.2,2.3,1.7,1.3,1.4,1.6,1.8
33,1984,1.6,1.7,2.0,2.0,1.8,1.9,1.5,1.9,1.8,1.6,1.3,1.5,1.7
34,1985,1.3,2.1,2.0,1.7,2.1,2.3,2.1,2.6,1.4,1.7,1.4,1.4,1.8
35,1986,1.6,1.7,1.8,1.8,1.7,2.1,1.7,2.0,1.7,1.3,1.2,1.2,1.7
36,1987,1.5,1.8,1.8,1.8,1.8,2.1,2.3,1.7,1.9,2.1,1.1,1.1,1.8
37,1988,1.3,1.9,2.2,2.0,2.0 ),2.0,1.8 ),1.6,1.6,1.6,1.4,1.1,1.7
38,1989,1.4,1.9,2.1,2.1,2.0,2.2,2.5,2.1,1.7,1.6,1.5,1.5,1.9
39,1990,1.6,1.9,2.1,2.2,2.0,2.2,2.1,2.1,2.2,1.9,1.7,1.5,2.0
40,1991,1.8,2.1,1.9,1.8,1.9,2.0,2.5,2.9,2.3,1.7,1.5,1.5,2.0
41,1992,1.6,1.7,2.0,2.1,2.1,2.1,1.8,2.6,2.0,1.9,1.6,1.6,1.9
42,1993,1.6,2.1,1.9,2.2,2.3,2.4,2.5 ),2.1,2.1,1.8,1.8,1.5,2.0
43,1994,1.5,2.1,1.8,2.0,2.2,2.1,2.3,2.2,1.8,2.1,1.7,1.4,1.9
44,1995,1.8,1.7,1.9,1.8,1.9,2.2,2.4,1.7,2.0,1.7,1.5,1.6,1.9
45,1996,1.6,1.8,2.4,2.0,2.0,2.2,2.4,2.3,2.3,1.7,1.8,1.5,2.0
46,1997,1.8,1.9,1.9,2.0,2.1,2.1,2.6,2.4,2.2,1.6,1.6,1.6,2.0
47,1998,2.0 ),2.1,2.1,2.0 ),2.1,2.1,1.9,1.7,2.0,2.0,1.4,1.3,1.9
48,1999,1.6,2.0,2.1,2.2,1.9,2.4,2.4,2.2,2.1,1.7,1.5,1.5,2.0
49,2000,1.5,1.9 ),2.0,2.2,1.7,2.0,2.2,2.1,2.2 ),1.9,1.7,1.5,1.9
50,2001,1.8 ),2.0,2.2 ),2.2,1.8,2.0,1.7,2.3,2.1,2.0,1.4,1.6,1.9
51,2002,2.1,1.6,2.2,2.1,1.7,1.9,2.8,2.3,2.0,1.7,1.7,1.9,2.0
52,2003,1.8,1.7,2.1,2.4,2.3,2.4,2.3,2.0,2.0,1.9,1.7,1.6,2.0
53,2004,1.6,1.8,2.1,2.1,2.0,2.6,2.0,3.0,2.6,2.5,1.4,1.5,2.1
54,2005,1.9,1.9,2.1,2.0,2.0,2.5,2.4,1.9,2.3,1.8,1.3,1.7,2.0
55,2006,1.7 ),2.0,2.0,2.2,2.4,2.2,2.5,2.0,1.8,1.9,1.8,1.7,2.0
56,2007,1.5,1.9,2.2,2.0,2.1,2.2,2.3,2.0,2.0,1.7,1.7,1.8,2.0
57,2008,1.6,1.9 ),2.0,1.8,2.2,2.2,1.9,2.0,1.8,1.8,1.7,1.3,1.9
58,2009,1.7,1.6,2.0,1.9,2.1,2.2,2.3,2.1,2.0,1.9,1.5,1.4,1.9
59,2010,1.6,1.9,2.2,2.1,2.1,2.4,2.1,2.3,1.9,2.1,1.3,1.8,2.0
60,2011,1.6,1.6,2.0,2.3,2.2,2.3,2.4,2.4,2.2,1.8,1.7,1.6,2.0
61,2012,1.5,2.0,2.0,2.2,2.0,2.2,2.1,2.4,1.9,1.8,1.6,1.7,2.0
62,2013,1.5,1.5,1.8,2.1,2.0,2.5,2.2,2.0,2.4,2.5,1.5 ),1.7,2.0
63,2014,1.6,2.3,2.2,2.3,2.0,2.0,2.3,2.5,2.0,2.6,1.6,1.8,2.1
64,2015,1.9,1.8,2.0,2.3,2.0,1.8,2.6,2.1,2.1,1.8,1.8,1.6,2.0
65,2016,1.7,2.0,1.8,2.2,2.2,2.1,2.2,2.0,2.0,2.0,1.6,1.6,2.0
66,2017,1.7,1.8,2.1,2.3,1.9,2.0,1.7,2.3,2.1,2.9,1.5,1.6,2.0
67,2018,1.7,1.8,2.1,2.1,2.4,2.4,2.4,2.4,2.4,1.9,1.4,1.7,2.1
68,2019,1.4,1.7,2.2 ],　,　,　,　,　,　,　,　,　,1.6 ]
