,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,6.7 ),10.5,13.2,14.6,18.6,16.8 ),16.5 ),15.1,13.3 ),8.1,7.7,7.3 ),12.3
1,1962,7.6 ),9.4 ),13.4,15.2,18.6,16.1,14.7 ),18.1,15.2 ),14.1,11.8,10.3,13.7
2,1963,11.3 ),14.5 ),18.8 ),19.3 ),21.8,16.7,16.4 ),15.9 ),15.0,11.9,9.9 ),8.1 ),14.9
3,1964,9.4,12.3,15.6,16.9,18.8,19.5,17.1,14.7,11.9,12.3,8.7,8.4 ),13.8
4,1965,9.3,14.3,15.2,18.7,21.1,20.1,13.6,19.0,14.1,12.9,10.2,8.4,14.7
5,1966,11.3,14.4,18.3,20.3,23.1,19.4,18.7,18.6,15.7,13.8,12.4,11.8,16.5
6,1967,11.6,16.5,19.0 ),21.6,22.6,20.2 ),17.0,15.0 ),9.3 ),10.5,8.2 ),7.4,14.9
7,1968,9.0,11.9,15.3,16.5 ),15.2,18.7,16.7,12.7,13.7,11.3,9.8,6.7,13.1
8,1969,9.5,11.6,16.8,18.7,23.8,20.0,17.2,15.9,15.9,14.4,9.5 ),10.9,15.4
9,1970,11.7,15.0 ),21.6,25.5,28.0 ),19.7 ),16.5,15.4,12.7,11.5 ),8.1 ),7.8,16.1
10,1971,7.8 ),10.2,14.1,16.5,16.7,16.7 ),16.2 ),14.6 ),9.5,10.3 ),10.0,8.2 ),12.6
11,1972,7.5,11.1,13.2,14.7 ),16.9,17.5,16.5,16.4,11.7,10.8,7.7,6.2,×
12,1973,6.9,10.2,13.0,15.7,17.1,15.4,16.9,15.9,10.4,10.0,7.9,7.1,12.2
13,1974,8.3,8.6,11.7,15.3,18.8,10.9 ],×,×,×,×,×,×,12.5 ]
14,1975,×,×,×,×,15.4 ],14.0,16.5,19.5,13.7,9.4,6.6,7.1,12.4 ]
15,1976,8.0,9.5 ),14.0,17.9,18.9,13.6,19.0,10.9,10.8,9.9,8.7,7.0,12.3
16,1977,9.5,10.4,12.6,15.7,15.9,16.3,17.5,11.7,12.7,11.4,7.3,6.3,12.3
17,1978,7.8,10.2,14.0,15.6,17.3,16.6,21.5,17.2,11.7,10.6,7.6,6.5,13.1
18,1979,7.4,9.0,13.6,13.4,17.5,15.3,14.6,16.7,11.8,9.5,7.4,7.5,12.0
19,1980,7.5,11.4,15.0,14.6,17.5,19.7,11.6,12.6,12.8,9.6,8.4,6.5,12.3
20,1981,9.1,9.4,14.2,16.9,17.5,13.5,17.2,16.1,13.7,10.7,7.9,6.9,12.8
21,1982,8.5,11.1,13.7 ),16.4,17.7,17.3,18.2,13.0,11.7,11.3,7.4,6.3,12.7
22,1983,8.0,9.6,12.9,15.5,17.6,14.7,13.2,14.4,10.9,11.4,8.1,7.1,12.0
23,1984,7.5,10.5,14.3,14.9,15.3,16.9,16.0,18.4,12.1,10.4,8.6,6.4,12.6
24,1985,8.7,9.1,12.1,14.5,16.4,16.3,15.1,19.2,12.2,10.5,7.2,7.3,12.4
25,1986,7.8,10.8,12.3,15.5,17.7,18.2,14.2,16.5,13.7,8.9,8.8,7.0,12.6
26,1987,7.9,10.2,13.2,18.8,18.6,19.3,15.0,13.2,11.3,10.6,8.2,6.4,12.7
27,1988,7.9,12.1,13.2,17.0,16.9,15.7,11.9,13.8,10.2,11.0,8.0,7.5,12.1
28,1989,7.2,10.2,11.8,16.4,17.6,16.7,20.1 ),16.5,10.1,10.2,7.4,6.7,12.6
29,1990,7.8,7.9,14.3,14.5,18.9,16.9,16.3,17.3,11.3,10.5 ),7.0,6.6,12.4
30,1991,7.8,9.9,12.3,18.0,18.8,17.6,11.5,15.1,11.4,7.3,8.6,6.6,12.1
31,1992,8.1,11.1,12.9,15.2,17.1,17.7,16.5,16.6,11.8,9.8,7.5,6.1,12.5
32,1993,6.9,9.0,13.3,16.3,17.4,15.3,13.5,13.5,10.7,10.4,7.9,6.3,11.7
33,1994,7.4,9.9,14.0,17.8,16.9,15.8,18.4,16.6,10.6,8.9,8.8,6.6,12.6
34,1995,7.7,9.7,10.6,15.2,15.6,12.8,15.8,12.2,11.7,10.8,8.9,7.7,11.6
35,1996,8.7,11.4,14.1,17.1,16.7,15.9,15.2,15.4,13.0,11.1,8.1,7.1,12.8
36,1997,8.2,11.5,15.4,16.2,15.6,16.4,19.9,15.1,9.7,12.2 ),8.4 ),7.4,13.0
37,1998,7.7,10.2 ),15.3,16.3,18.8,16.0,16.1,13.4,11.0,9.9,7.9,7.3,12.5
38,1999,8.8,11.3,12.5,16.6,21.0,17.8,15.7,17.7,12.3,10.9,8.9,7.8,13.4
39,2000,8.1,11.4,14.5,17.5,16.5,18.2,18.4,16.8,10.6,11.8,7.6,8.0,13.3
40,2001,8.4,10.3,13.8,19.4,16.0,16.7,17.1,13.9,13.4,10.6,9.3,8.2,13.1
41,2002,8.1,12.8,14.4,18.9,18.7,20.4,15.1,13.1,13.3,11.7,8.4,6.9,13.5
42,2003,8.3,10.0,15.2,16.4,20.1,17.2,10.4,12.8,12.3,12.2,8.2,6.8,12.5
43,2004,8.6,12.6,14.6,17.7,16.3,20.3,20.6,17.6,12.3,8.9,8.1,7.5,13.8
44,2005,8.3,10.6,14.8,18.4,16.8,17.8,14.9,18.2,12.8,10.3,9.7,8.1,13.4
45,2006,9.1,9.9,15.6,15.1,18.0,17.8,12.2,20.2,13.8 ),10.1,8.3,6.7,13.1
46,2007,8.2,11.2 ),13.1,16.8,17.8,21.7,15.2,16.3,12.8 ),　,　,　,14.8 ]
47,2008,　,　,　,　,　,　,　,　,　,　,　,　,　
48,2009,　,　,　,　,　,　,　,　,　,　,　,　,　
49,2010,　,　,　,　,　,　,　,　,　,　,　,　,　
50,2011,　,　,　,　,　,　,　,　,　,　,　,　,　
51,2012,　,　,　,　,　,　,　,　,　,　,　,　,　
52,2013,　,　,　,　,　,　,　,　,　,　,　,　,　
53,2014,　,　,　,　,　,　,　,　,　,　,　,　,　
54,2015,　,　,　,　,　,　,　,　,　,　,　,　,　
55,2016,　,　,　,　,　,　,　,　,　,　,　,　,　
56,2017,　,　,　,　,　,　,　,　,　,　,　,　,　
57,2018,　,　,　,　,　,　,　,　,　,　,　,　,　
58,2019,　,　,　,　,　,　,　,　,　,　,　,　,　
