,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1931,5.5,7.5,5.9,6.3,6.6,7.9,7.9,6.8,6.6,4.9,4.8,4.7,6.3
1,1932,2.9,5.0,4.7,6.1,7.8,8.2,5.4,7.9,8.1,5.5,6.0,4.5,6.0
2,1933,4.8,5.8,6.7,7.1,7.1,8.1,6.4,6.0,6.1,6.1,5.3,3.7,6.1
3,1934,3.9,3.3,5.7,8.3,6.4,8.2,5.2,5.2,7.1,5.6,5.6,5.6,5.8
4,1935,4.7,5.4,4.9,7.2,6.8,8.4,7.7,5.9,7.5,5.5,5.6,4.3,6.2
5,1936,4.4,5.3,5.8,6.6,8.3,8.2,6.4,7.5,5.4,5.7,4.7,4.9,6.1
6,1937,6.0,5.6,6.5,7.5,7.1,8.4,7.1,6.2,7.0,6.2,6.3,3.9,6.5
7,1938,4.6,3.7,6.4,5.3,8.3,7.5,5.9,6.9,5.8,6.0,3.3,4.5,5.7
8,1939,3.7,4.9,6.4,7.4,6.8,8.2,6.3,6.2,5.0,6.4,5.4,2.3,5.8
9,1940,2.7,4.3,5.6,5.2,6.5,1.7,5.5,6.6,7.3,5.6,5.8,3.2,5.0
10,1941,4.4,5.6,5.2,5.7,7.5,7.8,7.5,6.5,7.9,4.5,5.0,5.1,6.1
11,1942,2.9,6.9,6.9,5.9,6.5,8.8,3.3,6.2,4.9,4.8,3.6,3.6,5.4
12,1943,3.4,3.8,5.7,6.3,7.0,8.9,8.5,7.1,5.7,4.5,5.1,3.3,5.8
13,1944,4.4,3.8,4.5,6.4,7.5,7.6,6.7,4.3,6.8,6.9,5.8,4.1,5.7
14,1945,3.5,5.8,5.9,5.1,6.0,8.0,7.9,6.1,7.1,6.7,4.2,3.7,5.8
15,1946,3.3,4.1,6.8,6.7,7.6,8.5,5.2,7.0,6.4,5.4,5.3,5.0,5.9
16,1947,5.5,3.3,4.7,5.1,7.2,8.2,6.4,4.3,5.2,5.2,4.2,4.0,5.3
17,1948,4.2,5.4,6.0,6.2,7.7,7.5,7.8,5.3,6.2,6.3,4.6,5.3,6.0
18,1949,3.5,4.4,5.7,5.7,7.2,8.0,7.3,5.4,6.3,5.5,6.0,5.7,5.9
19,1950,4.6,5.5,6.4,6.7,7.6,7.0,6.8,6.4,7.4,5.7,6.1,4.2,6.2
20,1951,4.3,5.5,5.3,7.9,5.5,8.7,6.7,4.1,6.7,7.3,5.1,3.4,5.9
21,1952,3.9,6.2,5.8,5.2,7.6,8.5,7.6,4.5,6.2,5.3,5.6,4.1,5.9
22,1953,3.7,5.5,5.4,6.6,7.6,8.6,6.8,5.8,6.7,6.0,5.5,5.0,6.1
23,1954,5.2,4.5,5.1,7.7,8.1,8.6,8.4,5.2,6.3,5.6,4.9,4.2,6.2
