,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1956,41,44,43,52,59,32,12,26,48,58,37,24,39
1,1957,42,47,40,47,50,32,38,23,42,49,48,36,41
2,1958,27,30,46,58,40,35,45,28,51,48,45,29,41
3,1959,40,46,42,48,42,36,32,28,42,56,41,40,41
4,1960,32,51,44,48,34,30,31,50,55,48,37,37,41
5,1961,45,44,53,47,45,47,43,36,50,50,44,36,45
6,1962,32,51,48,53,45,33,22,21,35,46,44,38,38
7,1963,33,36,54,37,52,42,33,10,50,53,48,29,40
8,1964,42,62,44,42,46,30,30,24,45,46,33,39,39
9,1965,24,35,35,50,47,43,32,34,45,58,36,36,40
10,1966,46,40,35,39,39,30,31,22,53,36,39,46,37
11,1967,40,49,51,50,46,30,30,57,37,55,52,48,45
12,1968,43,54,50,45,27,50 ),36,33,46,50,37,37,42
13,1969,40,49,57,45,36,30,43,26,61,44,45,37,42
14,1970,47,37,47,57,49,32,37,41,56,51,41,47,45
15,1971,35,48,47,50,37,42,33,31,38,52,32,43,41
16,1972,37,48,52,57,43,37,34,52,47,48,29,37,44
17,1973,33,45,50,51,42,54,30,44,48,35,44,42,43
18,1974,26,36,64,49,40,30,42,27,42,39,40,37,39
19,1975,30,38,45,37,30,34,24,44,46,46,47,35,38
20,1976,42,35,47,48,48,32,50,32,40,42,30,43,41
21,1977,40,47,47,36,40,35,38,42,43,53,38,31,41
22,1978,36,56,59,42,43,44,51,46,56,45,47,35,47
23,1979,38,45,42,47,37,38,37,61,51,43,34,37,43
24,1980,31,50,43,41,45,41,33,31,55,40,48,28,40
25,1981,44,47,46,49,35,27,34,37,60,53,47,35,42
26,1982,42,62,42,50,47,43,47,46,58,66,38,37,48
27,1983,40,44,54,56,46,18,34,45,40,55,43,37,42
28,1984,41,59,54,56,42,48,43,52,60,54,58,50,51
29,1985,48,36,58,55,56,49,40,45,53,52,44,48,49
30,1986,53,56,49,59,40,36,34,45,53,56,38,52,47
31,1987,33,44,44,47,47,43,31,20,45,53,36,45,40
32,1988,39,55,42,46,47,39,37,35,42,42,39,40,42
33,1989,35,48,33,34,45,37,49,48,35,48,31,37,40
34,1990,34,42,57,43,37,26,46,31,39,54,43,33,40
35,1991,28,40,48,36,53,35,27,33,39,43,36,37,38
36,1992,38,41,52,34,37,31,27,28,32,42,38,34,35
37,1993,29,30,48,39,35,14,40,35,39,42,32,35,35
38,1994,45,25,43,46,48,41,34,37,35,53,48,30,41
39,1995,38,37,47,39,36,31,31,29,47,34,30,32,36
40,1996,31,35,45,36,26,22,11,39,41,43,41,39 ),33
41,1997,30,35,55,48,29 ),23,29,26,44,47,34,43,36
42,1998,38,49,44,50,46,34,24,18,34 ),43,37,46 ),38
43,1999,41,36,34,42,35,44,25,40,52,43,37,39,39
44,2000,35,42,41,33,34,33,25,40,34,43 ),31,30,35
45,2001,42,35,35,46,34,43,24,45,38,37,37,32,37
46,2002,36,49,40,47,51,30,20,25,50,37,34,38,38
47,2003,35,54,48,42,53,46,26,29,43,43,44,31,41
48,2004,31,36,45,37,42,45,37,43,44,47,39,31,40
49,2005,31,41,40,35,32,46,27,43,44,51,43,29,39
50,2006,38,31,34,33,48,30,42,37,48,48,35,26,38
51,2007,40 ),41,45,44,33,33,48,43 ),30,49,41,29,40
52,2008,33,43,43,47,35,30,29,32,54,45,38,39,39
53,2009,32,32,41,54,43,25,20,30,46 ),38,28,41,36
54,2010,29,33,43,40,34,50,18,36,43,47,36,33,37
55,2011,38,50,51,42,33,29,30,40,41,47,40,40,39
56,2012,40,38,38,47,33,36,25,32,41,37 ),23,35,35
57,2013,34,47,41,40,22,40,49,27,37,44,38,26,37
58,2014,39,49,46 ),53,34,42,43,32,41,43,40,37,42
59,2015,33,28 ),38,54,54,24,37,26,44,49,28,40,38
60,2016,26,32,53,36,52,34,34,44,34,41,26,34,38
61,2017,33,37,44,50,37,31,39,22,46,47,37,31,38
62,2018,29,42,42,53,36,29,34,30,48,45,34,37,38
63,2019,34 ),42,35 ],　,　,　,　,　,　,　,　,　,37 ]
