,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1923,　,　,　,　,　,　,　,　,229.1,132.7,165.9,64.3,626.8 ]
1,1924,48.9,65.6,30.7,69.7,51.1,59.9,35.6,18.0,122.0,93.1,95.5,45.9,736.0
2,1925,23.5,28.3,142.6,14.8,69.5,61.8,87.0,221.2,177.1,78.6,97.7,152.6,1154.7
3,1926,43.0,66.3,75.5,42.2,49.9,46.0,195.0,322.1,150.4,114.7,54.2,63.5,1222.8
4,1927,74.0,17.6,88.8,75.6,125.5,63.2,227.5,286.6,118.0,80.2,91.2,57.6,1305.8
5,1928,98.1,54.7,54.2,61.8,20.5,118.3,120.5,8.0,88.0,118.9,108.9,65.2,917.1
6,1929,39.0,27.6,34.1,74.4,102.4,75.6,14.3,111.1,98.1,83.2,62.0,70.6,792.4
7,1930,12.7,61.3,102.2,105.6,118.7,84.7,170.7,81.7,55.3,74.7,167.8,31.0,1066.4
8,1931,87.0,31.2,38.5,156.4,68.3,137.9,79.1,223.3,199.2,130.1,82.7,54.9,1288.6
9,1932,39.4,58.8,28.3,129.0,66.7,51.6,232.5,213.3,164.8,69.9,88.8,47.5,1190.6
10,1933,21.5,46.2,80.8,68.8,81.2,167.3,81.6,196.8,53.7,106.2,106.9,33.6,1044.6
11,1934,32.3,25.8,87.7,61.5,121.6,130.2,237.1,212.2,247.8,33.7,147.2,28.3,1365.4
12,1935,69.7,36.9,107.2,138.8,67.5,98.2,136.4,255.7,87.0,132.3,73.5,50.1,1253.3
13,1936,50.5,42.6,61.4,119.8,72.6,41.2,154.2,217.0,162.7,140.8,64.7,43.4,1170.9
14,1937,48.3,81.3,89.1,106.5,189.9,36.4,167.9,118.8,130.6,81.3,69.3,125.3,1244.7
15,1938,66.3,106.3,65.1,67.6,168.1,103.7,185.3,288.9,156.0,166.0,55.4,81.6,1510.3
16,1939,89.1,60.1,70.3,127.8,74.9,104.9,71.2,104.1,196.7,45.0,81.9,55.7,1081.7
17,1940,49.1,104.0,47.2,102.3,60.3,97.7,259.9,177.8,290.9,78.2,60.6,46.2,1374.2
18,1941,40.0,42.6,69.2,74.1,76.5,139.9,272.6,161.9,175.5,81.7,57.9,83.2,1275.1
19,1942,51.6,28.4,85.3,101.2,58.2,81.3,98.3,64.3,217.1,33.5,142.4,84.3,1045.9
20,1943,25.9,54.0,37.0,79.5,92.5,71.5,4.2,173.0,110.0,217.8,87.1,67.8,1020.3
21,1944,23.3,63.2,22.0,112.7,113.9,86.9,388.3,69.1,131.3,51.2,77.5,97.6,1237.0
22,1945,19.1,28.5,131.0,114.2,101.9,82.1,164.8,33.8,387.4,232.5,132.4,109.8,1537.5
23,1946,61.0,38.0,127.0,131.6,85.1,158.1,83.5,57.8,180.7,90.0,107.6,95.3,1215.7
24,1947,55.8,58.4,111.6,131.6,64.5,167.5,283.2,200.0,341.6,86.6,71.2,78.8,1650.8
25,1948,79.5,36.0,55.8,78.8,77.8,86.8,217.6,237.3,302.4,139.9,108.9,80.3,1501.1
26,1949,110.6,85.2,31.5,122.7,98.4,107.5,134.5,39.1,155.8,69.4,54.4,59.2,1068.3
27,1950,101.5,101.5,34.5,69.1,96.9,163.0,92.5,100.5,115.5,133.5,98.7,153.7,1260.9
28,1951,8.9,62.4,116.1,91.8,84.5,75.6,160.7,90.3,93.0,119.3,97.1,66.8,1066.5
29,1952,65.3,37.4,85.3,52.2,57.2,125.7,187.5,213.0,81.4,68.4,43.8,70.6,1087.8
30,1953,70.9,14.2,129.6,93.0,72.8,87.1,212.0,265.2,158.3,34.8,68.8,92.8,1299.5
31,1954,27.2,44.5,88.8,88.3,99.6,176.1,53.0,34.8,203.0,126.2,42.3,107.6,1091.4
32,1955,101.1,103.1,51.4,72.4,203.8,196.5,71.5,161.6,80.7,235.1,68.7,62.3,1408.2
33,1956,68.8,37.5,111.9,100.1,111.6,202.1,151.2,130.5,68.5,111.2,112.8,54.3,1260.5
34,1957,35.6,53.0,52.3,107.8,87.6,49.6,197.1,206.4,194.9,96.4,45.0,54.6,1180.3
35,1958,71.1,92.9,66.6,103.1,51.0,67.4,332.5,132.4,371.8,173.9,87.9,82.4,1633.0
36,1959,83.4,83.1,146.6,126.8,60.8,188.8,234.2,100.2,171.0,90.5,116.6,66.8,1468.8
37,1960,126.3,50.9,138.3,91.6 ),107.3,117.6,107.4,150.3,163.9,123.5,103.4,119.3,1399.8
38,1961,89.1,56.7,14.3,108.6,50.7,167.6,200.4,119.1,177.2,80.1,125.7,75.9,1265.4
39,1962,51.6,68.5,90.3,91.6,96.4,123.0,98.4,209.5,164.1,58.9,67.6,80.3,1200.2
40,1963,114.4,28.3,60.1,84.0,84.2,101.7,190.0,180.8,129.0,108.1,89.1,37.2,1206.9
41,1964,66.4,58.8,57.1,196.4,48.9,101.8,150.4,217.3,266.0,59.6,97.0,55.7,1375.4
