,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,16.0,13.0,68,3,--,--,--,--,--,--,27,23,100 ]
1,1954,46.0,13.0,34,1,--,--,--,--,--,--,9,23,144
2,1955,81.0,69.0,10,0,0,--,--,--,--,--,3,8,192
3,1956,32.0,41.0,32,3,--,--,--,--,--,0,12,41,119
4,1957,19.0,34.0,33,13,--,--,--,--,--,--,3,15,152
5,1958,81.0,85.0,46,6,--,--,--,--,--,--,2,28,236
6,1959,52.0,5.0,20,0,--,--,--,--,--,--,2,7,107
7,1960,57.0,23.0,10,4,--,--,--,--,--,0,6,23,103
8,1961,16.0,58.0,14,0,--,--,--,--,--,0,7,11,117
9,1962,17.0,30.0,12,0,--,--,--,--,--,0,12,39,77
10,1963,28.0,63.0,12,12,--,--,--,--,--,0,0,28,166
11,1964,11.0,36.0,32,0,--,--,--,--,--,0,10,7,107
12,1965,41.0,28.0,20,11,0,--,--,--,--,--,13,28,117
13,1966,33.0,14.0,25,0,--,--,--,--,--,0,8,35,113
14,1967,31.0,31.0,15,0,--,--,--,--,--,0,11,17,120
15,1968,29.0,43.0,15,0,--,--,--,--,--,0,2,15,115
16,1969,24.0,38.0,12,20,--,--,--,--,--,0,7,34,111
17,1970,76.0,24.0,7,3,--,--,--,--,--,0,5,11,151
18,1971,53.0,31.0,10,0,4,--,--,--,--,0,4,5,114
19,1972,85.0,20.0,21,5,--,--,--,--,--,0,1,7,140
20,1973,27.0,50.0,102,0,--,--,--,--,--,--,24,21,187
21,1974,22.0,27.0,13,5,--,--,--,--,--,--,12,45,112
22,1975,20.0,57.0,28,5,--,--,--,--,--,0,0,57,167
23,1976,27.0,15.0,18,2,0,--,--,--,--,0,6,29,119
24,1977,68.0,36.0,18,0,--,--,--,--,--,--,2,14,157
25,1978,25.0,36.0,56,1,--,--,--,--,--,0,0,28,134
26,1979,50.0,37.0,44,17,--,--,--,--,--,0,20,11,176
27,1980,51.0,28.0,13,19,0,--,--,--,--,0,2,43,142
28,1981,77.0,43.0,37,0,--,--,--,--,--,0,1,7,202
29,1982,56.0,33.0,20,0,--,--,--,--,--,0,19,12,117
30,1983,12.0,50.0,24,--,--,--,--,--,--,0,4,25,117
31,1984,23.0,53.0,64,51,--,--,--,--,--,0,0,9,220
32,1985,72.0,71.0,39,0,0,--,--,--,--,0,3,56,191
33,1986,30.0,51.0,28,9,--,--,--,--,--,0,2,12,177
34,1987,48.0,17.0,10,3,--,--,--,--,--,0,12,59,92
35,1988,17.0,26.0,24,1,--,--,--,--,--,0,1,23,139
36,1989,28.0,9.0,24,0,0,--,--,--,--,0,0,28,85
37,1990,70.0,3.0,0,5,--,--,--,--,--,--,1,8,106
38,1991,10.0,41.0,17,0,0,--,--,--,--,--,1,11,77
39,1992,32.0,31.0,14,26,--,--,--,--,--,--,3,24,115
40,1993,30.0,58.0,10,0,0,--,--,--,--,0,4,6,125
41,1994,20.0,36.0,36,0,--,--,--,--,--,--,0,13,102
42,1995,30.0,18.0,26,3,--,--,--,--,--,--,7,25,90
43,1996,14.0,34.0,17,38,--,--,--,--,--,0,0,9,135
44,1997,16.0,57.0,24,0,--,--,--,--,--,0,--,10,106
45,1998,57.0,20.0,15,0,--,--,--,--,--,--,25,46,102
46,1999,26.0,35.0,22,5,--,--,--,--,--,0,4,10,159
47,2000,76.0,30.0,14,0,--,--,--,--,--,0,7,19,134
48,2001,20.0,12.0,44,0,--,--,--,--,--,--,17,13,102
49,2002,34.0,10.0,20,--,--,--,--,--,--,0,5,17,94
50,2003,49.0,25.0,24,0,--,--,--,--,--,0,1,9,120
51,2004,19.0,28.0,2,12,--,--,--,--,--,0,1,14,71
52,2005,64.0,41.0,29,0,0,--,--,--,--,--,--,88,149
53,2006,83.0,47.0,21,9,--,--,--,--,--,--,--,19,248
54,2007,32.0,30.0,19,13,--,--,--,--,--,--,7,4,113
55,2008,76.0,39.0,4,--,--,--,--,--,--,--,4,56,130
56,2009,64.0,43.0,6,16,--,--,--,--,--,--,--,34,189
57,2010,89.0,57.0,61,--,--,--,--,--,--,--,--,60,241
58,2011,95.0,24.0,14,--,--,--,--,--,--,--,4,23,193
59,2012,34.0,67.0,60,--,--,--,--,--,--,--,4,32,188
60,2013,62.0,65.0,24,--,--,--,--,--,--,--,12,6,187
61,2014,48.0,38.0,59,2,--,--,--,--,--,--,--,25,165
62,2015,51.0,27.0,14,--,--,--,--,--,--,--,1,9,117
63,2016,48.0,75.0,8,--,--,--,--,--,--,--,5,21,141
64,2017,59.0,40.0,28,1,--,--,--,--,--,--,6,51,154
65,2018,48.0,57.0,17,--,--,--,--,--,--,--,--,34,179
66,2019,28.0,37.0,2 ],　,　,　,　,　,　,　,　,　,101 ]
