,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1889,-2.4,-1.5,2.8,9.6,13.1,19.6,22.5,24.2,18.1,11.4,5.9,1.1,10.4
1,1890,-1.5,2.5,5.7,11.4,14.5,19.4,22.6,24.5,22.1,13.0,7.4,5.9,12.3
2,1891,-2.6,-1.1,4.9,8.6,16.0,18.4,22.6,22.8,21.9,12.6,6.0,1.7,11.0
3,1892,-1.5,-1.0,0.8,9.9,14.2,18.9,24.5,23.7,20.7,13.5,5.9,-1.2,10.7
4,1893,-3.0,-4.1,0.4,9.0,13.4,17.9,23.1,24.4,20.4,13.2,6.3,0.3,10.1
5,1894,-2.0,-2.4,4.0,10.7,14.1,21.5,24.9,24.2,19.6,12.4,8.3,1.5,11.4
6,1895,-2.3,-1.3,3.0,10.2,15.3,18.3,21.5,24.6,21.1,13.6,6.2,0.9,10.9
7,1896,-1.5,-1.3,1.5,11.5,15.1,20.4,22.3,24.6,19.7,12.6,7.0,0.8,11.1
8,1897,0.3,-0.7,2.5,7.9,15.2,17.8,22.5,24.2,18.8,11.8,7.0,-0.6,10.6
9,1898,-0.7,-0.1,1.3,8.1,14.7,19.1,24.7,24.8,19.6,13.2,8.2,3.0,11.3
10,1899,-1.8,0.4,4.0,10.2,16.2,20.4,23.1,24.2,18.3,11.0,5.0,1.7,11.1
11,1900,-2.7,-2.7,2.1,9.6,15.7,18.2,22.1,25.6,20.6,13.3,7.3,0.6,10.8
12,1901,0.6,-1.4,2.0,10.7,13.9,19.1,21.5,23.7,19.7,14.6,6.6,1.3,11.0
13,1902,-2.7,-1.2,4.6,7.9,14.8,18.4,20.7,22.3,20.6,13.3,8.3,3.8,10.9
14,1903,0.7,-1.4,5.1,11.2,13.4,18.0,21.4,23.6,20.8,12.9,6.1,0.0,11.0
15,1904,-3.4,0.4,2.9,11.4,13.7,20.0,23.8,24.3,18.4,12.9,4.8,1.5,10.9
16,1905,0.2,-2.0,2.7,8.3,15.0,19.5,23.4,21.1,19.7,13.3,6.7,3.0,10.9
17,1906,-2.1,-2.0,2.7,9.2,14.3,17.6,23.3,23.3,17.3,12.7,5.8,1.6,10.3
18,1907,-0.6,-2.4,1.7,9.3,14.3,17.6,22.6,25.2,19.4,12.2,8.2,-0.3,10.6
19,1908,-1.7,-1.5,2.8,9.4,14.3,18.9,21.9,24.6,18.2,13.2,5.0,0.8,10.5
20,1909,-2.2,-2.7,2.4,11.2,14.7,19.0,23.5,24.9,19.7,11.4,6.5,0.1,10.7
21,1910,1.0,-2.2,1.8,9.4,14.5,19.7,22.8,22.6,19.0,13.6,7.1,0.2,10.8
22,1911,-2.1,0.6,4.3,9.6,14.6,19.2,22.9,23.8,20.9,12.6,9.4,1.3,11.4
23,1912,-1.6,2.2,3.6,10.2,14.3,18.4,22.6,24.2,18.2,13.2,5.8,1.0,11.0
24,1913,-3.5,-1.5,1.6,10.6,13.4,18.4,22.2,22.5,17.5,13.1,6.2,1.2,10.1
25,1914,-0.2,-0.2,5.8,8.5,16.0,20.0,24.2,25.1,21.1,12.7,9.7,2.0,12.1
26,1915,-1.1,-0.2,2.3,8.7,13.9,21.0,24.1,24.5,21.4,15.4,8.4,1.2,11.6
27,1916,0.9,0.6,1.3,10.1,15.4,22.2,22.9,24.9,20.8,13.7,8.5,3.2,12.0
28,1917,-2.6,-1.2,2.5,9.6,13.1,18.8,25.1,24.1,20.8,14.1,4.7,-0.1,10.7
29,1918,-4.7,-2.1,2.7,9.6,14.0,18.6,25.3,23.9,19.8,13.0,6.5,0.3,10.6
30,1919,-1.3,-0.3,4.0,9.9,14.2,18.6,22.6,23.5,19.7,13.6,7.9,0.7,11.1
31,1920,-1.0,-1.6,3.4,9.3,14.0,19.3,24.5,24.7,19.4,13.1,8.5,1.1,11.2
32,1921,-1.1,-2.8,1.2,11.6,13.7,17.6,23.1,24.2,18.9,12.7,4.5,0.8,10.4
33,1922,-4.3,2.5,2.0,10.4,14.9,19.9,24.1,25.1,21.3,13.8,7.5,-0.5,11.4
34,1923,-3.4,-0.8,4.2,8.9,15.5,18.5,22.2,25.5,21.1,13.3,8.3,2.2,11.3
35,1924,-2.0,-0.4,-0.1,11.6,13.7,18.8,25.6,25.5,18.8,12.6,5.3,0.5,10.8
36,1925,-1.9,-2.1,1.0,8.1,13.9,19.0,22.6,24.3,20.6,12.8,7.5,2.5,10.7
37,1926,-2.9,-0.5,1.5,6.8,15.0,17.8,23.1,24.1,19.9,11.1,5.1,-1.4,10.0
38,1927,-2.4,-3.0,1.5,9.7,13.8,19.1,24.2,23.7,18.5,13.1,6.9,1.3,10.5
39,1928,-0.5,-2.0,2.6,9.0,15.8,18.4,22.8,24.0,22.3,13.4,7.9,0.7,11.2
40,1929,-3.6,-2.7,2.0,8.8,13.4,19.5,24.7,24.5,17.8,13.8,7.0,4.3,10.8
41,1930,-1.6,0.7,4.2,10.9,14.8,19.1,24.6,25.6,18.2,13.1,5.6,1.1,11.4
42,1931,-1.4,-2.0,3.0,8.3,13.6,18.8,20.5,24.9,20.0,12.2,7.7,2.5,10.7
43,1932,1.4,-0.5,2.1,8.1,15.5,19.2,23.5,24.9,19.7,12.4,7.0,1.8,11.3
44,1933,-1.6,-1.7,1.1,9.6,16.5,20.3,25.2,25.0,19.8,12.6,6.7,1.5,11.3
45,1934,-3.8,-2.8,0.8,8.0,14.8,19.8,22.9,23.2,19.4,11.6,6.2,1.4,10.1
46,1935,-1.4,0.0,2.7,9.5,14.2,19.5,23.5,22.9,19.0,13.0,6.7,0.4,10.8
47,1936,-3.4,-3.5,0.4,8.3,14.3,20.4,23.1,24.6,21.3,12.4,6.9,2.1,10.6
48,1937,-0.1,1.5,3.1,9.4,14.4,18.3,24.4,25.2,19.4,12.8,7.4,-0.2,11.3
49,1938,-2.6,-2.1,4.8,9.5,15.9,19.2,23.1,24.9,19.2,13.6,5.5,1.0,11.0
50,1939,-3.2,-1.8,2.4,9.5,14.4,19.6,25.2,24.3,21.1,14.4,8.2,1.2,11.3
51,1940,-2.9,-2.4,2.4,9.4,14.9,19.5,24.1,23.6,19.4,14.1,8.5,1.5,11.0
52,1941,0.3,-0.4,3.7,8.7,15.1,19.7,22.6,24.2,18.4,12.6,8.2,2.6,11.3
53,1942,-2.8,-2.1,5.5,9.3,13.8,19.6,25.9,25.0,20.8,12.3,5.7,0.4,11.1
54,1943,-3.3,-1.9,1.5,7.4,14.9,20.2,25.4,25.7,21.0,13.5,6.4,1.3,11.0
55,1944,-3.6,-2.7,1.3,6.9,16.4,20.4,23.8,25.6,20.2,13.3,7.0,-0.5,10.7
56,1945,-4.9,-4.6,2.3,9.4,13.0,19.6,20.9,25.8,19.7,14.1,6.7,-0.4,10.1
57,1946,-1.7,-1.6,2.1,10.8,14.5,21.2,24.9,24.9,19.6,13.7,8.9,-0.2,11.4
58,1947,-1.2,-2.7,1.6,8.3,14.0,17.7,24.0,24.7,19.6,12.2,5.4,-0.1,10.3
59,1948,-1.0,-0.5,2.6,10.9,15.5,20.2,24.5,24.2,19.6,13.8,7.1,4.5,11.8
60,1949,0.9,1.8,0.7,7.2,15.7,18.7,23.9,25.3,19.9,12.3,6.4,2.0,11.2
61,1950,-0.5,0.1,3.3,11.1,16.7,19.2,24.7,25.2,21.2,12.6,7.6,0.8,11.8
62,1951,-3.1,-0.5,3.6,9.4,15.3,18.5,22.3,25.7,17.6,14.3,6.9,2.6,11.1
63,1952,-1.3,-2.5,2.3,9.6,14.7,19.2,23.2,24.2,19.6,13.3,8.3,1.7,11.0
64,1953,-2.1,-1.5,4.6,8.4,14.9,19.7,22.9,23.2,19.6,13.6,5.3,2.4,10.9
65,1954,-0.7,0.1,3.3,11.0,15.0,17.1,22.0,25.6,22.1,12.5,7.7,2.7,11.5
66,1955,-1.8,0.3,4.4,10.6,15.3,20.6,25.7,24.2,19.5,14.0,6.5,2.3,11.8
