,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1878,　,　,　,　,　,　,26.0,26.6,24.9,19.2,12.1,6.9,19.3 ]
1,1879,5.7,7.7,8.8,14.2,18.6,21.9,26.6,27.6,23.3,17.2,12.1,8.4,16.0
2,1880,4.8,8.3,9.9,14.1,19.4,21.2,25.4,25.8,23.7,18.8,11.7,5.3,15.7
3,1881,4.0,5.9,7.5,14.1,18.8,22.3,26.3,27.8,24.6,18.2,13.6,7.9,15.9
4,1882,7.3,6.7,8.8,14.7,17.9,20.6,25.0,26.4,23.0,19.4,12.3,6.8,15.7
5,1883,5.8,6.9,8.8,14.5,18.3 ),22.2,26.3,27.4,23.3,19.9,12.6,6.5,16.0
6,1884,5.8,4.6,9.6,14.1,17.9,21.5,25.7,25.9,24.6 ),17.3,10.1,5.1,15.2
7,1885,5.0,4.3,8.0,14.6,18.2,21.7,25.1,27.4,24.1,18.7,11.8,8.1,15.6
8,1886,4.3,3.4,9.9,14.6,18.2,21.6,26.0,27.1,23.3,19.1,12.7,6.5,15.6
9,1887,6.8,6.3,8.9,14.5,17.6,21.1,26.1,26.6,23.6,19.1,12.5,7.9,15.9
10,1888,6.5,4.9,10.5,14.7,18.4,20.9,26.2,27.8,23.5,17.7,14.0,9.5,16.2
11,1889,4.7,6.1,9.8,14.8,18.1,23.2,26.0,26.9,22.5,17.8,12.2,8.3,15.9
12,1890,6.4,9.5,10.5,16.8,18.8,22.6,26.7,26.6,24.9,18.2,13.6,11.3,17.2
13,1891,4.8,6.8,10.1,14.8,18.3,21.8,25.5,26.6,25.2,19.2,13.3,8.4,16.2
14,1892,6.0,6.7,7.8,15.3,18.1,22.2,27.4,27.5,24.4,17.6,12.7,6.0,16.0
15,1893,5.3,4.3,9.2,13.9,17.8,21.6,27.9,26.9,25.5,21.0 ],×,6.7 ),15.9 ]
16,1894,6.0,6.9,10.1,15.2,18.5,24.6,27.8,29.1,24.3,18.5,13.7,8.3,16.9
17,1895,4.7,6.4,9.8,14.4,18.7,22.4,25.3,27.6,24.1,18.6,12.8,7.8,16.1
18,1896,5.8,5.7,7.5,16.4,17.6,23.0,25.6,26.5,22.9,18.4,13.2,7.6,15.9
19,1897,7.3,4.9,10.2,13.6,18.1,21.5,25.9,27.6,23.4,16.8,14.1,6.0,15.8
20,1898,7.8,7.4,9.5,13.8,19.0,22.0,26.4,26.8,23.9,19.0,14.4,8.5,16.5
21,1899,4.6,6.5,10.0,13.8,18.8,22.5,25.5,25.6,21.9,15.2,11.1,9.7,15.4
22,1900,4.0,5.3,8.5,14.1,17.3,20.7,23.8,26.4,23.7,18.0,12.9,7.7,15.2
23,1901,7.9,3.2,8.1,14.1,16.5,20.5,23.0,26.1,22.5,18.5,11.7,6.5,14.9
24,1902,6.2,5.4,10.6,12.7,17.5,20.7,23.8,25.0,21.9,17.5,14.4,10.2,15.5
25,1903,6.6,6.5,10.6,14.0,16.9,20.2,23.2,26.8,24.3,17.7,11.4,6.4,15.4
26,1904,4.3,6.9,8.8,15.0,17.0,21.3,26.0,26.7,22.4,17.2,11.2,8.1,15.4
27,1905,8.4,4.7,8.9,13.0,17.8,21.1,25.3,24.4,22.8,18.1,13.1,10.2,15.7
28,1906,5.0,5.0,8.5,13.9,18.0,21.2,25.0,26.3,23.2,17.9,11.7,7.5,15.3
29,1907,6.8,3.8,8.6,13.7,17.6,20.3,24.3,26.4,22.6,18.1,13.3,6.9,15.2
30,1908,7.2,5.4,9.1,14.1,17.4,21.1,24.2,26.2,22.4,18.1,11.3,8.7,15.4
31,1909,6.0,4.8,8.0,14.1,17.1,21.0,25.5,26.5,24.4,17.4,13.2,7.0,15.4
32,1910,6.7,4.2,8.0,13.0,18.4,21.3,25.8,26.2,22.8,17.2,12.3,5.6,15.1
33,1911,5.5,6.5,10.0,13.3,18.0,21.0,24.9,26.3,24.4,17.0,13.2,6.9,15.6
34,1912,4.9,8.6,9.7,14.0,17.4,21.2,24.2,26.2,21.9,16.9,10.6,7.8,15.3
35,1913,5.4,5.3,8.1,15.4,17.2,20.6,24.4,25.8,22.0,17.8,12.6,7.1,15.1
36,1914,6.5,6.8,11.0,13.2,18.4,21.4,27.4,26.8,23.9,17.9,13.3,8.4,16.3
37,1915,5.7,6.2,7.6,13.1,17.4,21.4,25.4,26.4,23.0,19.4,13.9,9.2,15.7
38,1916,7.9,6.6,6.9,14.4,18.1,23.2,25.3,26.7,24.6,18.5,14.2,8.7,16.3
39,1917,3.0,4.6,7.7,13.4,16.5,21.2,26.4,25.9,24.4,18.0,10.3,4.8,14.7
40,1918,2.8,5.9,8.9,13.6,16.9,20.3,24.9,25.5,22.5,17.9,12.1,8.0,14.9
41,1919,5.4,6.7,10.4,14.3,18.3,21.8,25.3,26.2,22.1,17.5,12.8,6.6,15.6
42,1920,5.3,5.3,9.3,13.9,16.8,20.8,26.0,26.4,24.2,18.3,14.4,8.5,15.8
43,1921,6.6,6.5,8.5,14.9,17.6,20.3,24.8,27.0,22.4,17.3,11.1,7.3,15.4
44,1922,3.6,8.1,8.7,14.5,19.1,22.0,24.9,27.9,24.0,18.5,12.2,6.5,15.8
45,1923,5.0,5.1,10.9,13.9,18.6,21.5,24.6,27.6,23.7,17.4,12.3,7.6,15.7
46,1924,6.0,5.8,6.7,14.9,17.5,20.1,26.1,26.4,22.7,18.3,10.9,7.3,15.2
47,1925,5.1,4.4,8.6,12.8,18.0,21.1,24.8,26.9,23.2,17.5,13.9,7.3,15.3
48,1926,5.2,6.1,8.3,12.8,17.6,20.3,25.1,27.1,24.1,16.7,12.4,6.1,15.2
49,1927,5.0,4.6,8.7,13.6,17.0,20.8,26.5,26.1,21.5,17.1,13.7,8.7,15.3
50,1928,5.5,5.6,9.1,14.6,18.8,21.0,24.9,25.8,24.1,18.4,13.1,7.7,15.7
51,1929,5.2,4.4,9.2,13.5,17.7,21.9,25.4,27.1,22.2,17.9,11.5,10.2,15.5
