,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1891,1019.6,1019.0,1016.8,1014.3,1010.2,1006.7,1008.2,1008.8,1007.5,1013.2,1017.9,1021.9,1013.7
1,1892,1020.7,1016.0,1015.5,1014.6,1009.9,1008.3,1006.8,1010.3,1003.5,1012.3,1015.6,1020.8,1012.9
2,1893,1017.8,1018.0,1017.1,1014.0,1011.4,1012.0,1009.8,1008.0,1011.0,1012.8,1020.0,1021.0,1014.4
3,1894,1017.8,1021.2,1016.6,1014.7,1011.1,1010.2,1008.7,1006.6,1009.4,1012.8,1018.0,1019.9,1013.9
4,1895,1019.2,1018.6,1017.6,1014.6,1011.1,1009.4,1006.7,1005.2,1007.2,1013.1,1018.2,1019.9,1013.4
5,1896,1020.6,1019.8,1017.6,1013.6,1011.4,1010.4,1006.6,1007.8,1008.8,1014.4,1016.7,1021.6,1014.1
6,1897,1018.2,1018.8,1016.6,1015.1,1010.3,1005.6,1009.9,1009.9,1010.2,1014.7,1015.6,1022.0,1013.9
7,1898,1020.6,1015.0,1015.6,1015.1,1010.7,1006.3,1011.0,1005.6,1009.8,1012.4,1015.0,1018.6,1013.0
8,1899,1020.3,1018.0,1018.2,1014.7,1011.2,1010.8,1000.6,1008.8,1009.6,1016.2,1018.6,1018.4,1013.8
9,1900,1019.5,1019.2,1017.8,1014.7,1011.6,1009.0,1010.0,1006.2,1008.3,1015.6,1016.7,1020.6,1014.1
10,1901,1019.5,1020.8,1020.4,1013.9,1011.2,1008.2,1009.2,1007.9,1008.0,1011.4,1019.0,1019.2,1014.1
11,1902,1020.0,1024.4,1017.4,1016.3,1010.6,1007.0,1009.1,1007.0,1007.6,1016.7,1018.4,1018.0,1014.4
12,1903,1020.7,1023.0,1015.5,1014.6,1013.1,1008.2,1007.9,1010.8,1011.2,1012.0,1017.1,1020.2,1014.5
13,1904,1022.0,1019.4,1015.1,1015.6,1011.2,1009.4,1006.2,1006.0,1010.6,1015.1,1019.6,1021.5,1014.3
14,1905,1017.2,1018.4,1017.2,1014.7,1013.4,1007.2,1009.0,1007.5,1012.6,1014.0,1017.2,1019.0,1014.0
15,1906,1020.3,1014.4,1018.8,1014.6,1010.4,1008.7,1004.3,1008.3,1011.5,1012.8,1014.2,1019.6,1013.2
16,1907,1019.4,1018.6,1017.4,1014.2,1011.8,1007.8,1006.2,1005.5,1007.1,1014.3,1017.5,1020.4,1013.4
17,1908,1021.6,1018.6,1018.3,1014.2,1011.0,1009.9,1007.2,1004.0,1010.0,1014.8,1019.1,1020.7,1014.1
18,1909,1017.2,1018.3,1017.2,1013.4,1012.2,1008.8,1010.2,1004.6,1007.6,1013.8,1017.1,1020.4,1013.4
19,1910,1018.7,1018.2,1017.0,1013.8,1009.8,1010.8,1006.8,1006.2,1008.7,1011.2,1017.5,1020.4,1013.3
20,1911,1017.9,1020.8,1016.7,1014.3,1010.8,1008.7,1008.4,1004.2,1010.7,1015.4,1018.2,1019.8,1013.8
21,1912,1021.1,1019.0,1016.2,1016.6,1010.6,1005.8,1009.6,1006.3,1007.5,1014.8,1018.3,1020.7,1013.9
22,1913,1021.0,1019.5,1016.8,1013.4,1011.0,1009.0,1007.4,1006.2,1009.8,1013.1,1019.4,1021.6,1014.0
23,1914,1023.0,1019.6,1016.4,1015.2,1012.3,1009.6,1005.0,1005.5,1007.8,1018.0,1017.5,1019.6,1014.1
24,1915,1020.7,1016.6,1018.8,1015.6,1011.0,1011.6,1007.8,1004.8,1008.7,1012.3,1018.3,1018.6,1013.7
25,1916,1020.3,1015.4,1017.9,1015.1,1012.2,1009.0,1009.9,1003.8,1010.3,1014.6,1014.8,1017.6,1013.4
26,1917,1022.2,1019.2,1018.6,1012.0,1011.6,1009.2,1007.9,1008.4,1009.9,1012.3,1018.7,1018.7,1014.1
27,1918,1022.0,1020.7,1017.8,1014.6,1011.4,1010.2,1004.0,1009.8,1005.8,1013.6,1018.8,1019.2,1014.0
28,1919,1019.8,1019.4,1016.7,1013.9,1011.9,1007.8,1006.8,1003.5,1010.7,1014.3,1017.1,1020.0,1013.5
29,1920,1020.6,1020.2,1018.0,1013.5,1008.3,1006.6,1006.2,1004.8,1007.9,1012.8,1017.2,1019.1,1012.9
30,1921,1021.4,1018.7,1017.0,1015.0,1009.5,1007.4,1009.6,1003.8,1010.2,1015.2,1019.6,1020.0,1014.0
31,1922,1020.0,1017.4,1017.0,1014.3,1009.5,1007.4,1007.8,1003.1,1010.0,1014.8,1018.0,1020.7,1013.3
32,1923,1022.2,1017.1,1019.4,1015.1,1010.8,1008.2,1009.1,1005.0,1005.1,1013.2,1016.8,1021.5,1013.6
33,1924,1021.0,1017.2,1019.2,1013.5,1009.2,1008.0,1008.2,1002.2,1010.4,1013.4,1019.0,1020.0,1013.4
34,1925,1017.6,1019.6,1017.6,1016.8,1010.0,1007.8,1008.0,1005.1,1006.8,1014.8,1018.7,1022.4,1013.8
35,1926,1023.1,1022.0,1019.9,1013.9,1012.4,1008.8,1010.8,1010.6,1011.0,1013.6,1018.6,1020.4,1015.4
36,1927,1019.8,1019.1,1016.6,1014.2,1011.8,1008.2,1009.5,1005.6,1007.9,1014.7,1015.9,1019.8,1013.6
37,1928,1021.4,1021.9,1016.6,1014.0,1009.8,1007.5,1006.8,1002.7,1007.1,1013.5,1018.2,1020.0,1013.3
38,1929,1020.0,1018.6,1018.4,1015.6,1011.0,1006.6,1008.4,1007.9,1008.6,1012.0,1018.7,1019.4,1013.8
39,1930,1019.4,1019.4,1017.5,1014.7,1011.5,1010.2,1004.4,1007.0,1012.0,1014.2,1020.8,1020.2,1014.3
40,1931,1019.6,1017.4,1017.0,1015.6,1010.9,1007.5,1010.3,1003.5,1010.4,1013.9,1016.5,1020.5,1013.6
41,1932,1023.5,1019.5,1019.1,1014.7,1011.9,1007.6,1009.0,1005.1,1010.0,1014.7,1017.1,1020.1,1014.4
42,1933,1021.5,1016.9,1016.6,1014.9,1012.6,1007.8,1007.9,1007.0,1009.2,1014.2,1017.2,1017.4,1013.6
43,1934,1020.6,1019.4,1016.7,1014.4,1011.7,1010.4,1008.8,1009.3,1009.3,1014.9,1018.0,1018.7,1014.4
44,1935,1019.5,1019.1,1016.2,1012.8,1011.1,1008.6,1006.4,1006.2,1007.2,1014.6,1017.4,1019.6,1013.2
45,1936,1020.0,1016.7,1020.9,1014.1,1011.3,1008.4,1008.0,1008.2,1008.7,1010.7,1017.9,1019.6,1013.7
46,1937,1019.0,1018.3,1013.9,1014.6,1011.2,1006.3,1006.3,1007.6,1011.5,1014.2,1016.5,1017.8,1013.1
47,1938,1021.6,1018.4,1016.5,1013.9,1011.9,1008.4,1008.5,1005.0,1009.1,1012.3,1018.7,1019.0,1013.6
48,1939,1021.0,1020.1,1015.6,1014.7,1010.6,1008.4,1004.1,1001.8,1010.8,1013.3,1017.2,1022.6,1013.4
49,1940,1019.2,1021.3,1016.7,1015.5,1011.5,1009.0,1006.6,1009.5,1008.1,1014.8,1017.0,1020.3,1014.1
50,1941,1018.3,1019.6,1016.4,1014.1,1011.9,1008.0,1007.0,1003.0,1009.3,1017.0,1017.4,1017.7,1013.3
51,1942,1020.3,1018.0,1017.3,1016.7,1010.3,1009.3,1008.8,1006.3,1010.3,1013.7,1018.6,1018.7,1014.0
52,1943,1020.8,1020.5,1015.2,1015.6,1011.5,1007.2,1004.1,1007.0,1010.3,1013.8,1017.3,1021.3,1013.7
53,1944,1021.2,1020.1,1017.8,1015.2,1011.6,1008.0,1010.1,1009.4,1009.8,1014.1,1015.0,1018.8,1014.3
54,1945,　,　,　,　,　,　,　,　,　,　,　,　,　
55,1946,1020.2,1020.0,1017.1,1016.3,1011.0,1010.0,1006.4,1006.9,1010.9,1015.3,1016.6,1018.5,1014.1
56,1947,1018.0,1018.8,1017.6,1014.0,1010.4,1007.5,1007.7,1009.9,1010.2,1014.5,1016.9,1019.6,1013.8
57,1948,1021.1,1018.6,1018.4,1014.5,1012.0,1008.3,1010.2,1006.0,1010.8,1014.8,1018.2,1019.1,1014.3
