,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,　,　,　,　,204.0,89.3,152.4,179.7,149.0,183.8,115.4,110.8,1184.4 ]
1,1954,83.1,135.5,182.2,175.5,153.1,100.3,120.7,261.0,156.1,120.8,162.2,105.6 ),1756.1
2,1955,108.4,137.5,92.6,156.8,167.0,148.5,247.5,222.5,161.6,98.9,147.9,151.9,1841.1
3,1956,120.2,143.7,131.6,200.9,135.4,123.2,192.1,200.3,135.9,98.8,125.9,135.9,1743.9
4,1957,101.9,108.2,155.8,175.3,160.3,110.2,76.7,194.7,101.1,165.3,144.6,105.5,1599.6
5,1958,112.3,126.3,145.4,141.1,177.3,179.1,146.9,219.2,152.4,135.6,149.8,135.6,1821.0
6,1959,127.5,107.5,170.2,170.1,203.1,192.8,186.5,213.2,195.8,150.9,145.8,137.3,2000.7
7,1960,131.4,162.5,165.5,195.9,195.6,146.9,222.7,224.1,135.0,180.6,126.4,139.9,2026.5
8,1961,125.5,116.2,187.9,204.5,178.0,150.0,227.2,207.9,208.0,126.7,134.6,145.9,2012.4
9,1962,137.4,141.6,201.7,201.7,188.7,119.4,192.7,238.3,222.0,182.2,124.0,175.2,2124.9
10,1963,154.9,124.7,202.3,172.9,94.0,137.6,227.4,188.6,158.8,175.1,167.6,158.2,1962.1
11,1964,107.3,103.1,173.4,158.6,272.1,181.2,214.3,247.4,157.1,160.8,168.3,144.2,2087.8
12,1965,139.9,152.9,201.9,170.3,206.6,175.9,154.1,291.1,167.9,240.6,147.3,120.1,2168.6
13,1966,138.7,146.3,146.2,163.3,206.9,153.4,192.6,203.8,183.2,171.7,161.5,107.3,1974.9
14,1967,130.7,125.8,170.6,142.9,265.4,217.1,150.3,204.9,170.1,144.5,135.0,130.3,1987.6
15,1968,97.0,138.7,150.9,187.2,189.7,172.8,146.6,169.7,143.5,124.5,183.9,121.2,1825.7
16,1969,120.9,84.6,130.1,191.5,239.7,170.1,171.3,198.9,153.6,168.0,137.0,156.4,1922.1
17,1970,145.5,128.4,131.4 ),145.0,195.9,92.0,175.4,196.5,138.2,133.4,145.8,128.2,1755.7
18,1971,134.1,109.3,178.9,206.5,172.2,100.0,137.2,193.5,111.8,126.5,141.7,131.3,1743.0
19,1972,102.0,90.8,163.2,180.9,192.1,157.0,176.3,200.7,170.8,187.4,148.3,132.4,1901.9
20,1973,129.6,116.0,165.8,175.3,235.7,174.9,270.1,185.9,141.9,147.3,155.2,140.0,2037.7
21,1974,139.8,106.2,163.7,201.8,245.5,195.0,155.9,249.5,171.7,157.1,182.4,108.3,2076.9
22,1975,126.6,120.0,210.8,160.2,217.1,170.3,219.7,230.0,203.8,133.6,166.8,124.6,2083.5
