,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1896,　,　,　,　,　,　,　,　,　,　,18.8 ],15.4,15.4 ]
1,1897,16.5,13.6,18.4,18.7,21.9,23.9,26.8,27.3,26.4,22.2,20.4,15.4,21.0
2,1898,15.6,15.5,17.7,19.5,23.2,24.6,26.9,27.4,26.2,23.3,20.9,16.0,21.4
3,1899,13.8,14.8,15.8,19.0,21.8,24.7,26.6,27.1,25.6,20.5,18.3,17.4,20.5
4,1900,14.0,14.7,15.6,20.6,21.6,24.5,27.6,27.6,26.4,23.0,20.0,16.3,21.0
5,1901,16.2,11.0,14.4,19.1,21.3,24.7,27.5,27.2,25.4,23.4,18.2,15.1,20.3
6,1902,14.3,12.9,16.8,19.9,22.4,23.7,27.0,27.4,24.6,22.0,20.4,16.8,20.7
7,1903,14.3,14.2,18.3,19.8,21.2,24.0,26.9,27.8,26.2,23.3,18.4,14.7,20.8
8,1904,13.4,14.0,16.6,20.1,21.5,25.3,27.4,26.8,25.1,22.6,17.7,15.3,20.5
9,1905,15.6,13.5,16.7,19.1,22.7,26.1,28.0,27.8,25.6,22.8,19.7,17.7,21.3
10,1906,14.0,15.0,15.5,18.8,23.1,26.2,27.7,28.4,27.3,23.6,19.5,15.3,21.2
11,1907,15.1,13.2,16.1,19.0,21.0,23.7,26.8,26.7,25.7,23.3,20.4,15.8,20.6
12,1908,15.3,13.6,16.0,19.8,20.7,24.8,27.7,27.1,25.7,22.8,17.9,16.9,20.7
13,1909,15.2,14.4,16.8,19.0,20.5,26.3,27.6,27.1,26.6,23.1,19.7,15.7,21.0
14,1910,14.9,13.1,16.0,18.6,22.3,26.7,27.8,27.0,26.5,22.8,18.7,14.8,20.8
15,1911,14.2,15.3,17.2,18.9,22.0,26.1,27.1,27.1,26.4,21.9,19.0,16.3,21.0
16,1912,14.0,15.1,16.9,20.1,21.6,24.6,27.7,27.5,26.3,22.3,18.7,16.9,21.0
17,1913,14.1,14.2,14.9,21.2,21.9,26.3,27.0,28.0,26.3,22.7,19.4,15.7,21.0
18,1914,13.9,14.8,18.2,19.0,22.9,26.1,28.3,27.8,25.9,22.4,19.7,16.2,21.3
