,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1880,1010.5,1019.6,1013.7,1015.2,1011.3,1012.8,1011.1,1010.5,1015.7,1017.7,1012.9,1006.1,1013.1
1,1881,1004.4,1010.0,1017.1,1012.5,1012.0,1011.7,1012.0,1011.6,1015.2,1012.5,1013.5,1013.9,1012.2
2,1882,1017.3,1020.1,1014.1,1016.5,1013.3,1011.6,1015.1,1019.3,1020.5,1020.8,1018.7,1018.3,1017.1
3,1883,1004.4,1015.1,1008.7,1010.1,1011.3,1010.3,1010.4,1012.0,1013.2,1017.1,1016.0,1006.5,1011.3
4,1884,1011.7,1012.3,1012.0,1013.9,1011.1,1012.5,1010.3,1010.7,1017.5,1014.5,1009.3,1010.4,1012.2
5,1885,1012.3,1009.9,1010.7,1015.7,1009.7,1009.3,1012.0,1010.5,1012.9,1016.7,1012.9,1010.0,1011.9
6,1886,1006.9,1007.6,1013.7,1015.5,1013.6,1010.4,1010.4,1011.5,1013.5,1016.9,1017.9,1007.3,1012.1
7,1887,1016.0,1012.1,1007.5,1010.0,1014.8,1011.7,1010.5,1011.3,1008.8,1018.0,1013.7,1007.9,1011.9
8,1888,1007.7,1012.5,1011.2,1011.9,1008.5,1006.7,1008.8,1008.3,1010.9,1013.5,1016.7,1009.3,1010.5
9,1889,1011.7,1008.5,1012.8,1014.8,1012.9,1009.5,1009.7,1009.6,1012.4,1011.9,1015.7,1012.7,1011.9
10,1890,1013.7,1015.6,1019.1,1010.4,1010.4,1008.9,1011.2,1012.8,1014.0,1014.9,1016.9,1012.8,1013.4
11,1891,1008.3,1015.2,1014.3,1014.5,1006.5,1014.3,1008.1,1011.1,1013.7,1013.6,1012.7,1014.7,1012.3
12,1892,1013.2,1011.7,1011.1,1011.6,1012.5,1008.8,1010.4,1010.1,1012.1,1015.6,1012.5,1010.4,1011.7
13,1893,1007.5,1010.9,1011.6,1014.5,1015.5,1010.5,1008.9,1011.5,1014.4,1018.8,1013.5,1007.9,1012.1
14,1894,1010.3,1013.6,1015.5,1016.8,1014.8,1010.3,1010.0,1007.2,1016.5,1020.0,1015.1,1010.8,1013.4
15,1895,1011.6,1009.9,1015.5,1012.3,1012.7,1009.9,1010.9,1012.1,1015.5,1015.5,1012.3,1012.0,1012.5
16,1896,1004.5,1018.9,1013.9,1016.0,1012.1,1011.5,1008.8,1012.9,1013.3,1014.4,1012.1,1010.9,1012.4
17,1897,1016.3,1011.5,1017.9,1015.6,1010.1,1011.5,1011.3,1010.0,1013.9,1012.5,1014.9,1012.1,1013.1
18,1898,1015.5,1010.1,1013.9,1014.5,1007.6,1010.0,1008.7,1011.7,1014.0,1012.4,1016.8,1011.5,1012.2
19,1899,1008.8,1018.7,1012.3,1012.7,1012.3,1010.0,1008.9,1011.2,1015.7,1011.6,1010.3,1011.6,1012.0
20,1900,1013.5,1013.7,1013.2,1015.1,1007.3,1011.9,1007.5,1010.7,1012.7,1016.7,1015.1,1011.3,1012.4
21,1901,1016.5,1008.0,1012.4,1018.0,1012.0,1010.5,1009.9,1011.6,1012.4,1016.1,1011.2,1008.5,1012.3
22,1902,1009.5,1014.7,1013.3,1007.7,1011.2,1008.9,1010.1,1013.5,1014.4,1017.6,1017.6,1012.1,1012.6
23,1903,1014.9,1015.1,1017.6,1016.9,1012.8,1009.3,1008.1,1010.5,1016.3,1016.4,1013.9,1008.7,1013.4
24,1904,1012.0,1015.7,1015.1,1018.7,1010.1,1008.3,1009.7,1012.5,1012.9,1014.9,1009.7,1011.2,1012.6
25,1905,1012.3,1009.6,1017.6,1014.5,1011.5,1011.5,1010.5,1012.7,1012.8,1018.1,1016.1,1013.2,1013.4
26,1906,1010.9,1013.9,1010.7,1009.6,1011.3,1012.4,1010.5,1011.1,1012.7,1015.7,1015.3,1007.9,1011.8
27,1907,1017.1,1012.5,1014.1,1014.8,1007.2,1009.2,1010.7,1012.0,1016.5,1013.6,1017.2,1007.7,1012.7
28,1908,1016.3,1012.4,1013.3,1015.3,1013.5,1009.3,1011.3,1011.6,1017.6,1014.5,1007.9,1010.1,1012.8
29,1909,1016.7,1008.5,1016.5,1015.6,1012.8,1010.9,1012.1,1011.6,1012.4,1013.5,1012.9,1012.3,1013.0
30,1910,1013.7,1005.6,1009.6,1014.8,1012.3,1009.3,1011.7,1013.7,1012.1,1020.9,1014.0,1011.9,1012.5
31,1911,1015.1,1015.2,1015.1,1012.5,1012.7,1010.0,1010.5,1012.3,1014.5,1013.6,1016.4,1012.7,1013.4
32,1912,1010.8,1012.5,1011.2,1009.9,1012.7,1011.5,1008.1,1014.3,1013.9,1017.3,1013.6,1017.3,1012.8
33,1913,1013.9,1011.5,1010.1,1013.5,1009.5,1008.5,1011.3,1009.3,1012.8,1015.5,1015.7,1013.3,1012.1
34,1914,1010.8,1015.7,1014.7,1010.8,1012.4,1008.7,1007.5,1011.1,1014.8,1016.0,1016.1,1010.5,1012.4
35,1915,1014.0,1012.3,1011.5,1012.8,1012.5,1010.1,1010.1,1009.6,1015.1,1015.6,1017.7,1010.1,1012.6
36,1916,1012.5,1011.9,1009.2,1014.0,1013.5,1012.0,1012.1,1011.6,1012.9,1018.3,1021.5,1012.9,1013.5
37,1917,1008.7,1009.1,1015.7,1010.4,1006.8,1008.9,1011.3,1011.9,1016.0,1015.2,1011.7,1004.8,1010.9
38,1918,1005.2,1014.9,1012.3,1015.7,1010.5,1008.5,1009.9,1012.3,1012.8,1016.3,1016.3,1012.5,1012.3
39,1919,1010.8,1015.1,1009.9,1010.8,1011.2,1009.1,1012.5,1011.6,1013.6,1016.3,1016.3,1009.1,1012.2
40,1920,1008.4,1018.1,1019.6,1016.3,1011.6,1009.9,1011.3,1011.3,1015.3,1015.1,1015.2,1014.5,1013.9
41,1921,1011.5,1010.9,1010.1,1016.3,1011.6,1011.2,1012.3,1009.5,1016.3,1018.7,1008.9,1011.6,1012.4
42,1922,1011.6,1018.3,1011.3,1013.7,1014.0,1009.7,1011.2,1007.1,1014.8,1015.2,1013.3,1006.0,1012.2
43,1923,1012.0,1013.5,1017.5,1011.2,1013.7,1010.9,1007.6,1009.9,1011.6,1014.3,1011.7,1013.1,1012.3
44,1924,1012.1,1007.6,1014.4,1015.1,1007.1,1011.7,1010.3,1010.7,1013.6,1015.3,1010.1,1012.5,1011.7
45,1925,1008.7,1013.6,1009.5,1014.4,1013.6,1009.3,1011.6,1013.5,1014.1,1014.0,1013.3,1009.1,1012.1
46,1926,1008.5,1012.7,1010.8,1004.8,1014.1,1010.4,1007.3,1009.1,1011.5,1011.6,1012.3,1008.1,1010.1
47,1927,1008.7,1011.2,1013.3,1018.7,1009.3,1008.1,1008.8,1008.7,1011.9,1014.9,1012.8,1008.3,1011.2
48,1928,1013.3,1012.3,1011.9,1013.2,1011.6,1010.5,1013.5,1013.1,1013.9,1017.3,1014.4,1010.4,1013.0
49,1929,1008.1,1009.9,1010.1,1010.1,1013.9,1010.5,1008.9,1008.8,1012.7,1017.2,1017.3,1018.7,1012.2
50,1930,1014.7,1016.9,1018.0,1013.9,1012.1,1009.7,1009.7,1011.3,1015.2,1015.2,1013.7,1014.0,1013.7
51,1931,1012.8,1015.3,1010.8,1009.7,1012.0,1013.3,1009.8,1010.8,1014.9,1014.9,1017.0,1014.1,1013.0
52,1932,1017.3,1014.6,1009.2,1009.7,1010.6,1014.9,1010.5,1011.6,1015.8,1013.7,1014.0,1014.2,1013.0
53,1933,1015.6,1012.2,1013.4,1015.3,1013.3,1010.4,1011.4,1012.0,1010.9,1014.5,1014.4,1006.9,1012.5
54,1934,1007.3,1007.0,1007.2,1012.1,1012.2,1009.8,1010.4,1009.7,1014.1,1018.8,1010.8,1016.5,1011.3
55,1935,1008.9,1012.8,1009.3,1013.6,1009.6,1009.2,1009.2,1009.2,1014.4,1013.8,1016.9,1012.2,1011.6
56,1936,1004.1,1008.6,1014.0,1010.0,1014.2,1009.3,1009.2,1010.0,1014.1,1010.5,1014.5,1013.8,1011.0
57,1937,1013.0,1014.0,1008.5,1015.6,1008.5,1012.8,1009.8,1011.6,1014.1,1015.7,1013.4,1005.8,1011.9
58,1938,1012.5,1007.8,1015.0,1006.6,1011.7,1008.6,1012.8,1015.8,1010.4,1015.6,1013.7,1010.2,1011.7
59,1939,1010.4,1011.3,1011.2,1014.1,1010.8,1011.3,1010.5,1011.0,1012.4,1016.2,1013.6,1013.8,1012.2
