,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1931,8.8,9.2,6.8,7.4,6.9,7.3,8.6,7.0,7.2,7.8,6.9,8.2,7.7
1,1932,8.0,8.8,8.4,7.5,6.4,8.0,7.3,6.8,8.6,6.9,7.8,9.0,7.8
2,1933,9.0,9.0,8.9,7.3,6.8,7.1,5.9,6.7,6.0,7.9,6.5,8.5,7.5
3,1934,8.7,9.4,8.6,7.3,6.6,7.7,8.3,7.5,8.7,6.9,8.2,6.9,7.9
4,1935,9.0,8.4,7.9,6.1,7.5,7.6,8.1,7.3,8.6,6.6,7.7,9.3,7.8
5,1936,9.4,9.0,8.3,7.6,7.9,7.8,7.6,8.2,7.2,6.0,8.1,8.8,8.0
6,1937,9.1,8.6,8.1,7.5,6.8,6.8,8.5,5.0,7.6,6.9,8.5,8.7,7.7
7,1938,9.4,9.0,7.8,6.4,8.0,8.0,7.9,4.6,7.6,7.4,6.9,9.1,7.7
8,1939,9.4,9.3,8.1,6.5,6.6,6.1,5.1,4.2,6.6,7.9,7.0,8.1,7.1
9,1940,9.2,9.0,7.1,5.9,5.6,6.2,7.9,5.5,6.3,5.3,6.7,8.4,6.9
10,1941,8.8,8.2,7.9,6.1,6.9,7.6,8.9,7.9,7.7,6.5,6.1,7.9,7.5
11,1942,9.4,9.3,7.1,6.0,7.3,6.5,7.0,5.9,8.0,6.4,7.8,9.0,7.5
12,1943,8.7,8.7,7.3,6.8,6.7,7.0,6.4,4.4,8.5,7.2,7.4,8.3,7.3
13,1944,8.5,8.7,7.8,7.8,6.9,7.8,7.9,5.1,6.6,8.1,8.8,9.5,7.8
14,1945,9.2,8.8,7.8,5.7,7.0,8.1,8.9,5.8,8.5,8.2,8.0,9.1,7.9
15,1946,8.5,8.6,8.6,6.6,7.7,6.8,6.5,4.6,6.6,6.6,7.7,9.4,7.4
16,1947,8.7,8.9,8.2,6.2,7.2,7.7,7.1,5.8,8.0,7.8,7.3,9.2,7.7
17,1948,8.1,8.2,6.7,6.8,6.5,7.7,7.4,6.4,8.2,7.7,7.9,8.6,7.5
18,1949,8.6,8.4,8.3,7.0,6.9,8.2,6.9,5.1,7.6,7.5,8.1,8.7,7.6
19,1950,8.8,8.5,7.6,6.5,6.2,8.6,5.9,4.9,7.1,7.3,7.6,8.8,7.3
20,1951,8.9,9.4,8.2,7.4,7.1,6.6,7.7,6.2,7.6,7.0,8.0,8.3,7.7
21,1952,9.6,9.6,8.2,7.5,7.2,8.1,7.4,7.0,7.5,7.3,7.2,9.1,8.0
22,1953,8.7,8.8,8.8,5.9,6.5,8.2,7.4,8.1,7.0,5.1,8.1,8.0,7.6
23,1954,8.1,8.6,8.1,6.5,7.0,8.8,7.4,6.3,6.3,8.0,6.5,8.2,7.5
24,1955,9.2,8.4,8.9,7.2,7.5,8.3,5.0,5.7,7.9,8.1,7.2,7.8,7.6
25,1956,9.5,9.0,8.6,6.4,7.1,8.4,7.5,6.8,6.8,8.2,8.3,9.2,8.0
26,1957,8.5,9.3,8.5,7.2,7.6,7.8,9.1,6.4,7.7,6.8,6.7,8.8,7.9
27,1958,8.8,8.1,7.5,7.3,5.6,6.5,8.2,7.8,8.3,7.3,7.3,8.2,7.6
28,1959,8.8,8.1,7.9,6.7,7.2,7.3,8.1,6.9,7.6,6.9,7.0,8.5,7.6
29,1960,9.1,7.8,7.3,6.7,7.7,7.3,7.2,6.0,7.2,6.5,8.2,9.2,7.5
30,1961,9.3,8.8,7.1,6.4,7.0,7.6,8.0,6.3,6.7,8.0,7.1,8.5,7.6
31,1962,8.9,8.3,8.0,6.8,6.1,8.1,7.2,5.5,6.7,6.4,8.1,8.1,7.4
32,1963,9.2,8.7,5.9,6.7,7.5,8.8,8.0,6.0,7.2,7.0,7.7,7.9,7.6
33,1964,8.9,9.4,7.7,7.8,6.2,7.8,7.7,6.2,7.7,6.6,7.5,9.0,7.7
34,1965,9.0,9.0,8.0,6.6,6.2,6.7,8.6,4.1,7.1,5.8,7.7,8.7,7.3
35,1966,8.9,7.8,7.8,6.8,7.0,7.8,8.5,5.5,7.4,7.2,7.5,8.9,7.6
36,1967,8.5,8.0,6.8,7.2,5.3,6.3,7.1,6.5,7.2,7.4,8.1,9.1,7.3
37,1968,9.2,8.9,7.8,6.8,6.8,6.4,6.0,7.3,6.5,8.2,6.8,8.5,7.4
38,1969,9.3,9.2,8.2,7.2,5.7,7.6,7.9,7.1,7.4,7.2,8.0,8.9,7.8
39,1970,8.8,8.6,8.3,7.0,6.6,8.0,7.1,6.7,6.9,6.2,7.8,8.6,7.6
40,1971,8.7,8.5,7.8,5.8,6.4,7.8,8.2,5.8,8.5,7.6,6.8,8.1,7.5
41,1972,8.7,8.5,7.5,6.5,7.8,7.8,7.7,6.8,6.6,6.8,8.2,8.8,7.6
42,1973,8.4,8.2,7.9,7.5,6.2,8.0,5.6,6.9,8.2,7.5,8.2,9.0,7.6
43,1974,9.1,9.0,8.3,7.5,6.9,8.2,8.7,5.3,7.2,7.9,7.1,9.1,7.9
44,1975,8.8,8.6,7.5,7.1,7.3,7.6,7.0,4.8,5.7,7.6,7.1,8.7,7.3
45,1976,8.6,7.7,7.5,6.5,6.4,8.3,6.5,8.0,7.5,7.2,7.6,8.6,7.5
46,1977,9.3,8.4,7.8,7.1,6.9,8.3,7.2,7.9,7.1,4.5,8.0,8.7,7.6
47,1978,9.2,8.8,7.0,6.6,5.9,7.8,5.8,4.7,7.8,6.7,7.9,7.5,7.1
48,1979,8.6,8.5,8.1,7.8,6.3,8.4,7.2,6.6,7.6,6.4,8.2,8.2,7.7
49,1980,8.9,8.9,7.9,6.7,6.7,7.6,8.9,7.5,7.4,7.2,6.5,8.9,7.8
50,1981,9.1,9.1,7.4,6.4,6.8,8.4,7.1,6.7,7.2,7.6,9.2,8.4,7.8
51,1982,8.5,8.6,7.7,6.4,7.1,7.1,6.4,7.5,7.8,5.0,8.4,9.0,7.5
52,1983,8.7,9.2,7.7,6.6,5.6,7.4,8.3,6.5,7.0,7.3,7.5,8.5,7.5
53,1984,9.5,9.2,8.4,7.0,7.1,7.7,7.4,4.3,7.6,7.0,7.0,8.9,7.6
54,1985,9.2,9.0,8.3,6.6,7.5,7.9,7.1,3.8,8.0,7.6,8.9,8.9,7.7
55,1986,9.3,8.7,8.3,7.1,7.1,7.3,7.5,6.3,6.6,7.9,7.7,8.5,7.7
56,1987,9.4,8.2,8.6,6.4,6.6,5.7,8.4,7.5,7.2,6.3,7.2,7.7,7.4
