,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1944,-10.8,-10.3,-7.2,-2.3,5.0,9.9,14.2,15.3,10.8,4.8,-0.3,-7.3,1.8
1,1945,-11.8,-12.2,-7.4,-0.9,2.4,9.4,11.7,15.4,11.4,6.2,-0.6,-7.0,1.4
2,1946,-8.5,-9.3,-6.9,0.6,3.7 ),9.9,14.5,14.2,9.9,4.5,1.2,-6.7,2.3
3,1947,-8.4,-11.1,-7.2,-1.7,3.5,8.6,14.7,15.4,10.5,3.4,-2.6,-8.3,1.4
4,1948,-8.2,-8.6,-7.0,0.0,3.4,9.4,14.8,14.2,11.3,5.0,-0.8,-3.6,2.5
5,1949,-7.0,-5.8,-7.3,-2.2,3.9,8.2,13.4,14.4,10.8,3.7,-1.8,-5.1,2.1
6,1950,-6.9,-8.4,-5.2,0.5,5.8,10.9,14.4,15.4,11.6,4.1,-0.5,-6.5,2.9
7,1951,-9.1,-8.5,-4.7,-0.6,3.9,7.8,12.9,14.9,8.9,5.5,-1.0,-4.6,2.1
8,1952,-7.5,-9.5,-4.7,0.2,3.1,9.6,14.3,15.6,11.6,4.6,0.2,-5.2,2.7
9,1953,-8.7,-8.2,-2.7,-1.4,4.3,10.8,14.0,15.1,11.8,4.8,-1.2,-2.9,3.0
10,1954,-6.7,-6.9,-4.8,1.6,4.8,7.6,12.4,15.6,13.4,4.4,0.4,-4.0,3.2
11,1955,-7.9,-6.5,-2.7,0.8,5.1,11.1,15.6,14.9,10.7,7.0,-1.2,-3.4,3.6
12,1956,-7.3,-9.0,-3.7,-0.2,5.3,11.0,14.0,14.2,11.6,6.4,0.4,-6.4,3.0
13,1957,-7.2,-8.1,-7.5,1.0,3.9,8.2,14.5,16.1,10.6,5.0,0.7,-3.4,2.8
14,1958,-7.0,-7.1,-4.0,0.9,4.5,10.0,14.2,15.4,12.7,4.7,-0.3,-3.0,3.4
15,1959,-8.6,-4.3,-3.3,1.8,6.0,8.9,15.0,15.4,13.1,6.4,1.2,-3.8,4.0
16,1960,-7.1,-6.3,-3.5,0.0,5.9,9.5,13.6,15.3,12.4,4.9,1.5,-4.8,3.5
17,1961,-8.8,-8.7,-4.4,1.2,7.0,9.7,15.8,15.4,13.3,7.6,1.0,-4.4,3.7
18,1962,-8.4,-7.6,-4.8,0.5,5.2,9.7,14.5,15.8,12.2,5.0,0.0,-4.5,3.1
19,1963,-9.4,-8.8,-5.4,0.9,7.3,12.2,14.7,15.3,9.7,4.9,0.3,-3.4,3.2
20,1964,-7.4,-9.1,-6.3,3.3,4.9,9.0,15.2,16.2,11.1,3.9,-1.2,-4.7,2.9
21,1965,-8.4,-8.2,-7.4,-2.4,4.2,10.2,14.1,14.1,10.2,3.3,0.2,-5.6,2.0
22,1966,-8.5,-6.0,-3.9,0.4,3.9,8.5,14.2,15.0,11.9,5.9,-0.5,-6.6,2.9
23,1967,-8.8,-8.5,-5.3,0.5,4.9,9.3,15.1,15.5,11.9,4.2,-0.6,-6.4,2.7
24,1968,-8.5,-10.3,-4.4,0.7,4.2,9.3,13.6,15.6,10.3,4.0,-0.1,-2.5,2.7
25,1969,-6.8,-6.5,-6.2,0.2,4.3,9.0,13.8,14.8,10.3,4.3,0.1,-6.1,2.6
26,1970,-9.7,-7.8,-9.4,-0.8,5.6,8.6,13.5,14.9,11.3,4.0,-1.1,-6.5,1.9
27,1971,-8.9,-7.8,-6.8,-0.7,4.4,9.0,14.7,14.8,10.8,3.5,-1.4,-5.2,2.2
28,1972,-5.9,-7.7,-5.2,-0.5,4.5,8.6,14.0,14.5,10.5,3.9,-0.5,-4.5,2.6
29,1973,-6.8,-7.0,-7.3,1.9,3.8,9.1,14.0,16.1,11.1,3.6,-2.1,-7.4,2.4
30,1974,-9.6,-8.6,-6.9,0.3,4.3,10.1,13.4,15.3,10.7,5.3,-2.3,-6.2,2.2
31,1975,-9.5,-9.7,-6.5,0.3,4.1,10.5,14.0,14.5,12.1,4.8,0.2,-6.3,2.4
32,1976,-9.3,-6.9,-4.3,-0.5,4.5,9.6,12.4,13.0,10.0,4.3,-1.4,-6.0,2.1
33,1977,-10.3,-9.8,-4.2,1.0,4.8,9.8,14.0,14.1,12.1,5.2,2.1,-3.7,2.9
34,1978,-7.5,-9.6,-5.8,-0.9,5.1,11.7,15.3,15.3,10.5,3.6,-0.7,-5.3,2.6
35,1979,-7.0,-4.7,-4.4,-0.1,3.8,11.9,12.9,15.3,11.9,6.2,1.4,-3.2,3.7
36,1980,-8.0,-8.8,-5.7,-0.7,4.8,11.6,13.7,14.0,11.0,5.3,-0.2,-5.8,2.6
37,1981,-9.9,-9.2,-5.0,-0.6,4.4,9.2,14.7,14.3,9.7,3.9,-2.2,-6.0,1.9
38,1982,-8.3,-9.0,-4.6,-0.4,6.0,8.7,11.8,15.4,10.3,3.3,1.2,-3.6,2.6
39,1983,-7.8,-8.7,-5.4,1.7,4.8,8.0,13.3,15.7,11.3,3.5,-1.4,-7.4,2.3
40,1984,-10.4,-12.2,-11.1,-2.4,3.9,10.9,14.9,15.1,10.3,4.1,-1.8,-6.3,1.3
41,1985,-10.4,-6.9,-4.4,0.4,5.4,8.9,13.9,15.4,11.8,4.5,0.2,-5.9,2.7
42,1986,-9.8,-10.4,-6.2,-0.5,3.4,8.9,13.5,14.8,11.4,3.2,-1.3,-4.8,1.9
43,1987,-8.1,-7.5,-5.1,-0.7,4.5,9.0,15.4,15.7,10.9,5.9,-0.4,-5.0,2.9
44,1988,-6.2,-9.7,-5.7,-1.3,3.9,10.0,12.6,16.0,12.6,3.3,-2.7,-5.6,2.3
45,1989,-5.3,-6.4,-4.7,1.0,4.4,8.9,12.9,15.2,13.2,4.0,1.1,-4.7,3.3
46,1990,-8.8,-4.7,-4.0,0.3,4.7,11.3,14.5,15.8,11.9,5.8,1.4,-3.5,3.7
47,1991,-7.2,-8.2,-3.4,1.7,4.7,12.0,14.9,14.3,12.7,6.9,-0.2,-4.1,3.7
48,1992,-6.5,-7.3,-3.2,0.1,4.0,9.0,13.7,15.0,9.6,4.7,-0.2,-4.5,2.9
49,1993,-6.4,-7.1,-5.7,-1.1,3.7,10.0,13.4,14.2,11.2,4.0,1.1,-4.9,2.7
50,1994,-8.3,-7.8,-6.4,0.0,5.5,10.5,16.2,16.3,12.8,7.4,0.2,-4.5,3.5
51,1995,-8.0,-8.1,-4.9,0.1,5.9,9.2,15.2,16.2,10.0,5.8,-1.7,-6.4,2.8
52,1996,-8.2,-9.2,-5.3,-2.7,4.0,11.0,14.3,13.8,9.0,4.1,0.1,-4.8,2.2
53,1997,-8.2,-8.2,-4.8,1.0,5.7,10.3,14.7,14.9,11.4,3.5,0.5,-4.5,3.0
54,1998,-8.1,-7.0,-4.3,3.4,7.7,10.5,14.3,15.9,13.2,7.8,0.0,-3.8,4.1
55,1999,-7.5,-8.6,-3.6,0.9,5.3,10.3,15.2,16.5,14.1 ),6.0,0.4,-4.8,3.7
56,2000,-6.0,-9.5,-6.3,0.1,5.9,10.5,14.8,15.9,12.8,5.9,0.4,-5.5,3.3
57,2001,-9.6,-8.8,-5.3,-0.4,6.0,10.8,15.5,15.2,10.9,4.8,-1.0,-5.3,2.7
58,2002,-7.2,-6.9,-3.2,1.7,5.5,10.0,16.3,15.6,10.7,5.2,-2.5,-6.3,3.2
59,2003,-9.4 ),-8.8,-6.3,0.9,5.4,11.0,12.8,15.3,12.0,3.5,2.0,-4.9,2.8
60,2004,-8.5,-7.1,-5.0,0.7,6.9,11.0,15.7,14.2,12.6,5.4,1.9,-3.9,3.7
61,2005,-8.3,-8.5,-6.2,0.2,3.9,11.4,14.3,16.1,12.7,6.8,-0.9,-8.4,2.8
62,2006,-9.0,-6.9,-5.0,-0.7,5.4,10.6,14.7,15.4,11.3,6.4,0.9,-3.7,3.3
63,2007,-7.3,-6.3,-4.8,-0.5,5.1,10.0,13.7,15.7,13.2,5.0,-0.3,-4.4,3.3
64,2008,-8.1,-10.1,-3.4,1.5,5.3,9.1,14.8,14.8 ),11.6,5.3,-0.5,-4.0,3.0
65,2009,-7.3,-6.0,-5.1 ),0.5,6.6,10.2,15.4,14.7,10.3,5.3,0.2,-4.3,3.4
66,2010,-7.7,-6.6,-4.5 ),-1.4,4.6,10.5,15.9 ),17.0,12.7,7.0,-0.3,-4.3,3.6
67,2011,-9.9,-8.0,-7.5,-1.5,5.1,11.0 ),15.3,15.8,12.6,5.5,1.9,-5.4,2.9
68,2012,-8.9,-8.7,-4.8,0.2,5.3,9.4,15.0,15.5,13.4,4.9,-0.8,-6.2,2.9
69,2013,-8.4,-8.7,-2.9,-0.4,5.1,10.8,15.3,15.8,11.4,7.7,-0.3,-5.5,3.3
70,2014,-9.1,-8.6,-5.0 ),-0.6,5.3,10.9,14.8,15.7,9.3,5.5,1.6,-6.0,2.8
71,2015,-7.1,-7.6,-4.1,1.3,6.3,10.1,15.5,15.4,11.1,5.2,2.3,-3.0,3.8
72,2016,-7.0,-7.0,-3.8,1.9,6.6,10.1,14.5,15.9,13.8,6.0,-0.6,-4.2,3.9
73,2017,-7.8,-7.9,-4.8,-0.4,6.5,8.8,15.7,16.1,10.5,5.9,-0.9,-6.5,2.9
74,2018,-8.4,-9.0,-3.0,2.1,6.0,10.6,16.2,16.1,11.9,6.7,1.3,-4.3,3.9
75,2019,-8.1,-6.5,-3.8 ],　,　,　,　,　,　,　,　,　,-7.3 ]
