,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,　,　,　,　,　,116.3,218.3,224.0,181.5,176.6,171.0,219.5,1307.2 ]
1,1962,233.5,196.9,227.0,195.4,174.5,109.3,159.9,223.5,183.8,198.9,163.4,199.1,2265.2
2,1963,255.7,221.9,223.3,143.1,87.3,144.0,234.1,169.2,150.5,229.3,205.5,216.1,2280.0
3,1964,170.3,162.9,216.3,103.1,220.6,121.2,310.1,218.8,191.5,184.4,236.3,178.2,2313.7
4,1965,229.5,198.2,261.4,221.1,209.1,127.7,217.9,256.2,179.0,249.1,187.9,171.1,2508.2
5,1966,218.1,183.0,187.0,160.8,225.3,171.6,268.9,169.4,199.8,202.6,198.3,176.7,2361.5
6,1967,223.4,184.5,204.9,121.5,201.3,211.2,172.1,284.3,218.9,180.5,132.8,201.1,2336.5
7,1968,224.0,230.5,217.9,206.8,215.6,184.8,160.9,225.3,135.1,185.4,229.1,177.7,2393.1
8,1969,157.7,139.6,163.2,207.3,237.2,210.6,203.7,258.7,174.2,184.3,198.7,196.7,2331.9
9,1970,230.5,196.6,199.8,155.9,168.8,80.3,218.9,178.4,141.8,127.3,204.8,181.9,2085.0
10,1971,235.5,181.7,257.7,218.0,228.1,95.7,255.2,172.6,161.9,157.3,199.0,184.8,2347.5
11,1972,183.3,160.8,211.3,188.0,227.4,187.1,163.2,281.2,219.3,200.2,154.8,200.0,2376.6
12,1973,157.3,164.5,206.5,180.8,188.7,182.1,220.7,294.8,161.9,181.6,234.3,246.2,2419.4
13,1974,240.1,182.6,214.7,222.8,181.4,218.6,199.8,260.7,169.7,153.9,183.4,172.2,2399.9
14,1975,201.2,184.6,246.9,176.7,177.5,190.5,220.6,158.3,203.6,140.0,210.9,188.9,2299.7
15,1976,244.5,167.4,201.1,167.6,165.4,150.7,175.6,237.3,181.9,209.0,194.9,190.7,2286.1
16,1977,182.4,212.6,193.3,202.5,137.2,143.2,286.2,225.2,188.6,230.2,188.5,184.6,2374.5
17,1978,207.3,209.3,241.1,211.1,189.9,181.9,279.2,224.2,141.3,189.7,198.0,218.7,2491.7
18,1979,207.5,189.2,177.1,202.9,235.0,120.0,186.0,207.2,186.5,237.1,144.0,200.6,2293.1
19,1980,173.5,208.0,170.5,187.5,189.1,149.3,158.0,153.5,195.4,202.0,212.5,246.4,2245.7
20,1981,238.7,191.2,186.4,221.4,242.4,173.1,250.9,247.1,164.9,179.5,165.1,222.4,2483.1
21,1982,231.5,167.0,203.1,210.7,237.6,230.0,139.0,243.2,176.0,206.1,146.2,189.7,2380.1
22,1983,207.3,210.0,144.8,177.9,221.1,153.3,236.4,225.8,165.1,181.7,223.2,245.2,2391.8
23,1984,217.9,189.5,201.9,165.5,198.8,78.1,224.6,238.5,157.3,201.5,166.4,175.3,2215.3
24,1985,193.2,139.0,131.2,223.4,188.8,108.3,245.5,197.1,211.1,180.3,210.8,201.1,2229.8
25,1986,205.1,213.0,204.2,164.4,196.0,147.9,187.1,225.7,139.3,202.5,134.8,198.9,2218.9
26,1987,204.8,177.3,146.9,150.2,148.3,180.6,165.1,181.9,149.5,179.1,137.3,197.1,2018.1
27,1988,172.7,181.5,122.7,179.2,183.5,129.2,187.2,193.2,149.8,184.0,220.3,223.3,2126.6
28,1989,146.3,155.6,197.0,168.4,146.9,170.6,157.0,198.1,133.3,230.3,169.9,221.3,2094.7
29,1990,181.9,105.4,181.9,196.1,154.7,210.8,276.6,226.3,139.8,167.6,173.3,196.9,2211.3
30,1991,198.9,178.1,158.7,149.5,112.0,74.5,202.6,188.2,158.6,150.9,206.7,152.8,1931.5
31,1992,163.8,167.4,84.1,200.7,191.8,141.4,204.7,121.1,162.6,209.8,168.8,185.3,2001.5
32,1993,161.0,201.7,174.8,234.1,143.7,139.4,86.4,169.1,117.2,185.1,136.3,188.1,1936.9
33,1994,190.1,168.2,198.7,174.3,208.2,150.7,288.1,233.1,219.7,185.5,163.8,128.2,2308.6
34,1995,218.4,167.6,196.2,150.5,199.6,132.2,249.1,265.1,179.8,170.4,195.3,218.0,2342.2
35,1996,187.2,206.8,142.5,223.1,219.1,119.1,188.6,176.1,164.5,149.1,153.8,214.1,2144.0
36,1997,205.8,188.5,180.2,186.0,200.8,160.8,183.7,193.3,156.8,246.0,164.6,150.6,2217.1
37,1998,161.4,132.2,152.5,157.6,117.8,115.1,205.5,258.7,134.7,142.9 ),171.9,195.7,1946.0
38,1999,213.3,209.7,103.9,187.4,224.5,99.8,97.4,165.1,97.6,166.5,157.6,192.0,1914.8
39,2000,153.8,206.2 ),220.2,194.5,210.2,146.1,211.1,208.7,179.5,117.2 ),113.4,187.1,2148.0
40,2001,182.8,138.8 ),204.0 ),201.3,149.6,120.3 ),228.2 ),194.7 ),130.8,188.1,209.1,197.2,2144.9
41,2002,191.5,187.5,208.8,136.6 ),136.0,186.5,162.2,245.6,205.6,193.8,183.0,153.0,2190.1
42,2003,213.7,172.9 ),192.5,163.1,113.6,111.1,138.1 ),172.4,221.6 ),216.9,131.1,228.8,2075.8
43,2004,228.0,207.8,188.4,235.8,136.6,167.4,296.6,159.8,94.0,189.6,213.2,183.6,2300.8
44,2005,185.4 ),143.0,201.4,233.6,219.4,168.7,183.2,208.8,185.3,156.8,180.5,229.1 ),2295.2
45,2006,169.1,149.6 ),211.8,188.6,114.8,134.8 ),128.5 ],215.6,152.0 ),230.4,151.7,174.0,2020.9 ]
46,2007,165.9,185.1,232.8,166.7,243.8,122.6,167.6,220.0,165.9,174.3,184.6,173.0,2202.3
47,2008,165.4,224.2,223.6,191.7,180.8 ),79.4,254.0,147.9 ],138.0 ),152.2,133.9 ),208.5,2099.6 ]
48,2009,183.2,151.5 ),163.2,212.7 ),226.6 ),143.4,154.3,154.8,161.6,170.7,139.9,202.3,2064.2
49,2010,211.3,145.9 ),143.7 ),142.7,215.3,109.2,150.9 ),225.7,205.7,117.2,188.7,196.2,2052.5
50,2011,214.1,162.9,234.9,256.3,125.5,100.4,164.2,159.6,132.3,147.3,135.9,212.5,2045.9
51,2012,193.7,148.0,188.2,197.4,197.6,67.9,173.1 ),142.1,177.4,206.2,161.5,163.8,2016.9
52,2013,211.1,174.4,199.7,229.1,234.6,74.8,254.8,258.0,175.9,167.8,197.7,203.9,2381.8
53,2014,210.9 ),149.9 ),216.2 ),183.4,243.5,97.4,176.2,119.7,139.7,174.2,155.7,197.6,2064.4
54,2015,200.3,176.8,185.5,136.7,196.7,78.4,113.9,202.4,168.7,252.2,125.4,177.8,2014.8
55,2016,156.9,188.5,205.7,143.1,198.1,98.1,213.9,284.4,130.6,124.7,173.5,187.9,2105.4
56,2017,223.0,207.7,206.0,197.5,228.4,167.5,199.8,191.7 ),139.1,130.0,155.4,208.5,2254.6
57,2018,221.7,181.1,209.0,241.2,179.1,155.2,180.7 ),198.9 ),120.3,200.5,199.4,138.1,2225.2
58,2019,196.0,140.2,105.2 ],　,　,　,　,　,　,　,　,　,441.4 ]
