,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,8.5,13.0,18.3,19.3 ),22.5,20.6 ),17.5 ),16.3,14.7,11.4,9.7,6.7,14.9
1,1962,8.2 ),12.4,17.8,20.0 ),21.0 ),21.1 ),16.9 ),14.7,14.1,13.0,9.3,7.4,14.7
2,1963,7.3 ),10.5,17.2 ),19.6,24.2,19.1 ),17.2,12.9,16.7,11.4,8.9,6.7,14.3
3,1964,7.9,11.3,16.5,17.2,20.3,18.2,15.1,12.3 ),13.6,12.2,7.4,6.3,13.2
4,1965,7.1,12.4,15.7,21.0 ),20.3,20.5,17.5,15.1,12.4 ),12.7,8.6,6.3,14.1
5,1966,7.9,11.0,16.4,18.9,20.4,17.5,16.1,12.1,14.0,9.6,8.7,7.2,13.3
6,1967,7.1,11.6 ),14.6,18.2,17.9,18.2,17.1,16.6,11.1,13.4 ),9.6,6.8 ),13.5
7,1968,9.3,13.1,15.6,16.0,14.3,20.3,17.6,13.6,12.4,12.6,8.1,6.7 ),13.3
8,1969,8.9,13.1,17.2,16.9,17.8,18.7,17.2,13.2,18.2,13.6,8.8,7.7 ),14.3
9,1970,8.7,13.4,19.0 ),21.5 ),20.6,20.4,19.1,15.7 ),16.3,12.6,8.6,8.2,15.3
10,1971,8.0 ),11.8 ),19.0,20.7,19.7,20.8,14.8 ),15.3,12.4,12.7 ),10.0 ),8.1,14.4
11,1972,7.9 ),13.2 ),18.7,19.0,19.8 ),19.6 ),17.9,18.7,14.1,12.0,8.5 ),7.0,14.7
12,1973,8.0,12.3 ),17.7,19.1,20.7 ),20.1,17.4,15.8,14.1,10.6 ),9.5,8.0,14.4
13,1974,8.6,11.4 ),15.1,17.0 ),19.4,12.2,14.8,13.5,11.6,9.6,7.9,6.3,×
14,1975,7.6,10.3,13.5,16.9,15.6,14.8,14.2,15.9,12.6,10.2,6.7,6.2,12.1
15,1976,8.0,10.8,14.7,17.9,20.1,13.4,18.8,14.2,11.7,9.4,7.3,5.9,12.7
16,1977,7.9,11.6,14.1,17.3,18.3,16.8,14.1,12.2,12.3,10.9,6.4,5.7,12.3
17,1978,7.3,11.6,15.9,15.4,17.2,19.1,17.1,15.6,14.0,10.2,7.5,5.6,13.1
18,1979,7.1,10.4,14.9,16.5,18.3,18.6,15.0,17.7,13.4,9.0,6.7,5.2,12.7
19,1980,7.1,11.5,15.7,15.4,17.5,17.4,14.1,11.6,12.2,9.5,7.2,5.2,12.1
