,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1963,　,　,　,　,　,　,　,8.5,7.5,6.2,6.1,6.6,7.0 ]
1,1964,6.4,6.8,6.1,7.4,7.0,8.0,8.4,8.6,8.2,6.6,6.0,6.6,7.2
2,1965,5.7,5.4,7.0,6.5,6.5,7.2,9.2,6.1,7.6,5.3,5.9,6.0,6.5
3,1966,6.2,6.1,7.5,7.6,6.4,8.3,8.6,7.7,7.7,6.5,5.8,4.4,6.9
4,1967,5.4,4.9,5.6,7.2,5.8,6.4,8.5,7.5,8.5,6.7,6.0,5.6,6.5
5,1968,4.9,4.9,6.9,7.0,8.0,8.0,8.6,8.9,8.3,6.5,4.5,6.0,6.9
6,1969,6.5,7.3,7.2,7.3,5.9,7.9,8.4,8.1,7.7,5.8,6.7,4.8,7.0
7,1970,5.3,6.1,5.9,5.9,6.5,8.3,6.7,7.8,7.5,6.1,6.2,5.6,6.5
8,1971,6.4,5.7,6.4,5.7,7.5,7.8,8.0,7.4,8.7,6.6,4.8,5.6,6.7
9,1972,6.0,6.5,6.0,7.1,7.1,7.6,8.3,7.3,7.6,6.1,6.2,5.6,6.8
10,1973,6.0,5.4,6.5,6.5,6.2,8.7,6.9,8.1,8.2,5.7,5.9,5.5,6.6
11,1974,4.3,6.5,7.3,6.8,6.9,8.4,9.3,6.9,7.4,6.5,4.6,4.8,6.6
12,1975,5.2,7.1,6.5,6.9,7.5,9.0,7.9,5.3,6.7,6.9,6.3,4.7,6.7
13,1976,5.6,5.9,6.1,7.0,6.5,8.6,7.8,9.3,8.0,6.3,6.2,5.6,6.9
14,1977,5.0,6.2,7.3,6.2,7.1,8.1,8.3,8.9,7.4,5.2,5.5,6.0,6.8
15,1978,5.9,6.2,6.3,6.6,6.7,7.6,6.3,6.7,8.1,6.2,6.0,5.6,6.5
16,1979,5.6,6.7,6.3,8.2,6.6,8.2,8.3,7.2,8.1,7.0,6.7,5.0,7.0
17,1980,6.4,5.5,6.4,7.3,7.8,7.1,9.0,8.5,8.0,6.3,5.5,5.9,7.0
18,1981,4.5,6.6,5.7,6.4,6.8,9.0,7.8,7.2,6.4,6.3,6.0,6.4,6.6
19,1982,5.2,5.4,6.1,7.2,7.6,7.3,7.4,8.7,8.0,5.1,6.3,5.5,6.7
20,1983,5.6,6.3,6.8,5.9,5.8,8.4,8.8,7.3,8.7,5.3,4.9,5.5,6.6
21,1984,5.6,6.1,5.5,6.7,7.9,8.8,8.7,5.8,7.5,6.1,4.4,5.5,6.6
22,1985,4.6,6.3,6.6,7.6,6.7,7.8,7.3,6.4,8.2,6.2,6.6,5.0,6.6
23,1986,5.6,5.3,7.1,6.1,6.9,7.5,8.0,7.8,6.7,6.4,5.3,6.0,6.6
24,1987,5.8,6.8,7.1,5.7,6.5,7.2,7.8,8.3,7.9,6.0,5.6,6.0,6.7
25,1988,5.8,5.2,7.1,6.1,7.8,8.1,9.3,8.6,8.7,6.1,6.0,5.8,7.1
26,1989,5.9,5.9,6.9,6.0,7.4,7.9,8.5,7.3,8.7,5.7,6.8,6.1,6.9
27,1990,6.1,7.8,6.4,6.5,6.2,8.3,8.7,6.6,8.5,6.2,6.5,5.6,7.0
28,1991,6.2,6.4,6.9,5.3,6.7,8.4,9.1,7.9,8.4,8.1,6.0,6.4,7.2
29,1992,5.9,5.6,6.5,6.9,8.2,7.5,8.0,8.0,6.9,7.1,5.6,6.8,6.9
30,1993,7.5,7.3,6.1,6.4,7.3,8.8,9.2,8.2,8.3,6.7,6.0,6.9,7.4
31,1994,6.7,6.3,6.1,5.3,6.6,7.7,7.2,6.1,7.9,7.1,4.4,5.6,6.4
32,1995,4.7,5.2,7.3,6.9,7.6,8.9,8.0,8.2,7.3,7.0,4.8,5.0,6.7
33,1996,4.9,5.1,6.1,6.2,7.2,8.3,8.5,8.1,7.1,6.1,6.4,5.6,6.6
34,1997,5.1,5.0,5.5,6.5,7.6,7.4,7.1,7.8,8.1,5.9,5.4,5.4,6.4
35,1998,6.1,5.8,5.4,7.5,7.3,8.8,8.6,8.9,8.6,7.3,6.1,5.7,7.2
36,1999,5.3,5.9,6.9,7.2,5.7,7.9,7.8,7.4,8.0,6.4,5.0,5.4,6.6
37,2000,6.3,6.2,6.5,7.3,8.1,7.6,8.0,7.6,8.5,6.6,6.5,5.2,7.0
38,2001,6.3,6.5,6.8,5.9,7.8,8.3,7.5,8.8,7.8,5.8,4.2,5.1,6.7
39,2002,6.0,5.5,5.8,6.7,7.3,8.0,8.8,8.3,7.8,6.1,6.4,6.1,6.9
40,2003,5.9,7.2,6.4,6.8,7.1,8.1,9.1,9.2,8.0,6.5,6.7,6.1,7.3
41,2004,5.4,6.7,6.9,6.0,8.2,7.2,7.2,7.6,8.1,7.1,6.0,5.9,6.9
42,2005,6.4,6.1,6.7,5.8,7.7,7.7,8.6,7.7,7.6,7.6,4.5,6.0,6.9
43,2006,5.1,7.2,5.9,7.7,7.6,8.5,9.3,7.7,7.7,　,　,　,7.4 ]
44,2007,　,　,　,　,　,　,　,　,　,　,　,　,　
45,2008,　,　,　,　,　,　,　,　,　,　,　,　,　
46,2009,　,　,　,　,　,　,　,　,　,　,　,　,　
47,2010,　,　,　,　,　,　,　,　,　,　,　,　,　
48,2011,　,　,　,　,　,　,　,　,　,　,　,　,　
49,2012,　,　,　,　,　,　,　,　,　,　,　,　,　
50,2013,　,　,　,　,　,　,　,　,　,　,　,　,　
51,2014,　,　,　,　,　,　,　,　,　,　,　,　,　
52,2015,　,　,　,　,　,　,　,　,　,　,　,　,　
53,2016,　,　,　,　,　,　,　,　,　,　,　,　,　
54,2017,　,　,　,　,　,　,　,　,　,　,　,　,　
55,2018,　,　,　,　,　,　,　,　,　,　,　,　,　
56,2019,　,　,　,　,　,　,　,　,　,　,　,　,　
