,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1887,×,67,70,73,79,81,81,83,81,79,72,61,75 ]
1,1888,63,74,79,85,80,80,86,81,79,75,76,74,78
2,1889,69,65,74,82,82,87,90,85,86,78,73,71,79
3,1890,74,78,79,79,79,79,81,79,83,76,72,74,78
4,1891,66,73,72,75,72,79,86,87,87,79,72,70,77
5,1892,66,74,75,78,82,90,89,89,88,77,76,72,80
6,1893,75,73,72,82,80,84,81,86,92,79,78,77,80
7,1894,81,71,85,87,82,84,90,84,87,83,78,78,83
8,1895,76,78,81,87,80,87,88,84,89,87,78,80,83
9,1896,74,81,84,87,85,91,88,88,93,92,86,76,85
10,1897,84,75,80,78,86,91,82,84,84,73,77,66,80
11,1898,79,74,81,75,82,86,83,88,85,83,82,75,81
12,1899,67,74,78,78,86,83,84,82,86,77,74,81,79
13,1900,77,77,72,82,76,80,85,83,85,79,81,76,79
14,1901,84,68,79,84,80,86,90,80,83,84,76,74,81
15,1902,74,76,75,79,83,82,82,87,86,81,82,76,80
16,1903,75,79,83,85,83,86,88,86,88,87,84,80,84
17,1904,73,72,79,81,78,88,82,80,78,77,71,74,78
18,1905,80,71,85,86,87,90,89,92,84,81,73,79,83
19,1906,74,78,77,80,88,90,89,91,89,79,77,70,82
20,1907,76,71,75,78,71,83,89,84,89,79,77,68,78
21,1908,73,74,77,81,77,82,86,87,85,80,69,71,79
22,1909,73,67,74,73,78,86,85,89,88,79,78,73,79
23,1910,77,67,70,79,82,86,84,81,85,77,77,64,77
24,1911,74,73,78,76,82,86,82,83,85,74,78,71,79
25,1912,69,74,77,77,75,81,84,81,82,79,74,73,77
26,1913,70,66,68,81,77,83,80,81,79,77,78,73,76
27,1914,66,75,77,76,81,86,80,79,80,79,78,70,77
28,1915,68,71,70,80,76,87,79,80,85,83,79,73,78
29,1916,74,75,71,80,81,83,84,85,85,80,80,74,79
30,1917,65,68,75,77,77,84,83,83,85,82,73,62,76
31,1918,59,70,71,80,78,87,86,84,82,82,76,75,78
32,1919,72,76,78,76,78,85,84,85,80,76,78,70,78
33,1920,71,74,79,78,78,85,84,84,83,78,81,76,79
34,1921,71,71,72,83,80,90,84,82,83,75,69,72,78
35,1922,68,78,72,76,79,81,85,80,84,80,78,69,78
36,1923,72,72,76,81,85,84,84,79,84,84,78,72,79
37,1924,71,73,69,79,80,82,84,83,82,79,70,72,77
38,1925,68,69,64,72,81,83,83,82,85,76,77,65,75
39,1926,65,71,69,68,79,77,80,76,78,72,73,69,73
40,1927,68,68,74,75,73,79,81,86,84,78,77,71,76
41,1928,71,68,72,76,79,83,84,83,84,76,77,72,77
42,1929,65,65,71,72,80,83,84,78,78,76,76,80,76
43,1930,71,73,74,81,78,81,83,85,81,76,72,72,77
44,1931,73,74,73,75,75,79,86,81,82,77,78,71,77
45,1932,72,69,66,75,76,80,82,83,80,76,74,74,76
46,1933,67,68,72,81,80,81,82,85,77,76,77,71,76
