,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1969,　,　,　,　,21.8,22.3,26.4,26.4,26.4,22.5,19.1,14.9,22.5 ]
1,1970,12.7,14.4,14.0,17.6,21.2,23.7,25.9,26.8,25.8,23.7,19.7,16.6,20.2
2,1971,12.5,13.8,15.2,18.4,21.3,25.6,27.7,25.8,25.3,22.9,19.8,16.6,20.4
3,1972,16.3,15.1,15.6,18.6,21.6,24.5,27.2 ),27.2 ),24.7,23.1,20.4,17.2,21.0
4,1973,15.8,16.7,17.1,19.8 ),20.8,23.2,25.4 ),25.8,24.2,23.0,18.4,13.9,20.3
5,1974,14.2,14.3,14.0,17.5,20.9,22.8,25.4,26.1,24.1,23.0,19.8,17.3,20.0
6,1975,13.7,13.9,15.0,18.7,20.6,23.3,25.3,25.7,24.9,24.0,19.5,15.3,20.0
7,1976,12.4,15.2,15.1,18.6,21.6,23.7 ),24.3,26.0,24.2,21.7,18.1,15.5,19.7
8,1977,13.4,11.9,15.6,18.8,21.9,24.0,26.2,26.4,25.8 ),23.6,20.0,16.9,20.4
9,1978,13.0,12.9,14.8,17.6,20.5,23.6,25.3,25.4,25.3,23.1,19.8,16.5,19.8
10,1979,14.5,14.3,15.7,18.3,18.8,23.4,26.6,26.4 ),25.4,22.2,18.7,17.0,20.1
11,1980,14.2,13.2,16.0,17.9,21.1,25.2,26.4,26.3,25.7,22.9,19.9,14.1,20.2
12,1981,12.4,13.6,16.0,18.2,19.6,23.8,25.8,26.5,24.7,22.4,18.6,14.9,19.7
13,1982,12.2,14.5,16.7,17.5,21.6,22.6 ),25.6,25.6,24.5,21.9,20.3,15.7,19.9
14,1983,14.5,13.7,15.6,19.7,21.4,23.2,25.5,26.2,25.8,23.7,18.6,14.0,20.2
15,1984,12.4,12.5,14.0,18.0,20.5,24.1,26.0,26.2,24.7,22.0,20.1,15.7,19.7
16,1985,13.0,14.5,16.8,17.4,21.4,23.2,25.8,25.7,25.3,23.1,18.3,15.1,20.0
17,1986,12.2,11.8,14.5,18.3,20.8,23.6,26.1,26.0,25.2,21.6,19.4,15.8,19.6
18,1987,13.0,13.2,15.8,18.5,21.0,23.1,26.2,26.6,24.7,23.5,20.8,16.3,20.2
19,1988,15.5,14.4,16.2,17.7,21.1,23.9,27.2,26.0,25.4,23.2,17.6,15.4,20.3
20,1989,15.7,15.4,15.3,18.7,20.9,23.8,25.8,25.4,25.7,22.1,19.3,15.7,20.3
21,1990,13.9,15.9,16.1,17.2,20.2,23.9,26.5 ),26.4,25.4,22.2,20.1,15.9,20.3
22,1991,14.6,13.4,17.3,18.7,20.9,25.6,27.0,26.1,25.6,22.1,18.9,16.4,20.6
23,1992,14.2,13.2,17.5,18.1,20.0,22.9,25.0,25.7,25.4,22.3,18.8,16.6,20.0
24,1993,14.7,13.6,15.0,17.1,21.1,23.9,26.4,26.1,24.7,22.6,20.5,16.0,20.1
25,1994,14.4,13.8,13.9,19.4,20.2,23.6,26.9,26.4,24.2,22.4,20.1,17.4,20.2
26,1995,13.5,13.2,14.3,18.2,20.4,23.2,26.1,26.4,25.1,23.9,18.0,15.0,19.8
27,1996,14.3,13.1,15.6,16.7,20.2,24.3,26.7,25.5,25.5,22.6,20.9,15.0,20.0
28,1997,13.6,14.3,16.7,18.7,21.1,23.0,25.4,26.4,24.5,21.9,20.2,17.1,20.2
29,1998,15.2,15.5,16.8,20.5,23.4,24.6,26.1,27.0,25.7,24.0,20.5,17.7,21.4
30,1999,14.9,13.8,17.7,18.5,20.2,24.4,25.6,25.5,25.6,23.8,19.7,15.4,20.4
31,2000,14.6,13.3,15.3,17.0,20.0,23.6,25.4,24.8,23.9,23.1,21.1,16.6,19.9
32,2001,14.1,14.8,13.9,17.6,20.5,23.9,26.6,26.5,25.3,23.0,19.0,15.8,20.1
33,2002,13.5,13.6,15.6,18.2 ),21.4,24.0,25.9,26.0,24.4,21.6,18.1,16.4,19.9
34,2003,12.5,14.6,15.2,19.4,21.5,23.7,27.3,27.0,26.0,22.2,21.1,15.3,20.5
35,2004,13.7,13.9,16.2,18.6,21.8,24.0,26.2,27.0,25.6,22.8,19.8,17.8,20.6
36,2005,13.2,14.8,13.1,17.8,20.6,23.6,27.0,26.9,26.0,24.0,20.1,14.1,20.1
37,2006,15.4,15.3,14.9,17.7,21.7,23.9,27.3,27.1,25.2,24.0,20.1,16.9,20.8
38,2007,14.4,14.3,16.7,17.4,19.5,23.5,26.9 ),26.3,25.9,24.1,19.8,16.6,20.5
39,2008,15.9,13.2,15.1,17.8,20.7,24.4,26.8,26.4,25.5,23.4,19.9,15.7 ),20.4
40,2009,13.2,16.2,15.8,17.8,20.5 ),22.8,26.7,27.1,26.4,22.8,19.9,15.0 ),20.4
41,2010,13.7,15.2 ),16.2,18.0,20.9,24.3,26.4,26.8,26.1,23.3,19.2,14.7,20.4
42,2011,12.1,14.5,14.3,17.3,20.6,25.2,26.6,26.1,25.7,22.8,21.5,16.1,20.2
43,2012,14.3,14.0 ),16.2 ),18.4,20.8,24.2,26.6,26.3,24.8,22.5,18.3,15.5,20.2
44,2013,13.6,15.1,17.0,17.3,20.9,24.1,26.6,27.2,26.4,23.1 ),18.5,14.5,20.4
45,2014,13.8,15.3,15.7,18.1,20.2 ),23.5,26.6 ),26.7,26.3,23.4,20.4,15.2,20.4
46,2015,13.7,13.5 ),16.4 ),19.5,21.7,25.4,26.2,26.4,25.3,23.2,21.5,17.5,20.9
47,2016,14.7,14.1,15.9,19.6,22.2,25.2,27.2,26.8,26.2,25.5,20.3,17.7,21.3
48,2017,15.0 ),13.9,15.4 ),18.5,20.6,23.4,27.0,27.8,26.4,24.9,20.3,15.2,20.7
49,2018,14.4,13.3,17.0,18.9,22.4,24.6,26.1,26.4 ),25.9,21.6,20.2,17.4,20.7
50,2019,14.9,16.6,16.7 ],　,　,　,　,　,　,　,　,　,15.8 ]
