,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1932,7.9,6.7,8.1,11.2,15.9,19.9,27.9,29.7,24.7,15.9,12.1,8.4,15.7
1,1933,6.4,5.7,8.0,12.9,17.3,23.6,30.7,32.3,25.1,18.0,12.7,7.9,16.7
2,1934,4.8,4.9,6.9,12.1,16.3,20.4,27.6,29.1,24.1,15.3,10.1,8.5,15.0
3,1935,6.4,6.7,7.9,12.9,15.5,21.6,27.6,29.5,24.0,16.9,11.5,7.3,15.7
4,1936,4.4,5.2,6.7,11.5,15.7,21.3,25.9,28.5,25.6,15.6,10.9,8.5,15.0
5,1937,6.8,8.4,8.7,12.5,15.9,18.8,28.3,30.3,23.7,16.1,11.9,6.0,15.6
6,1938,5.5,4.8,10.4,11.3,17.2,21.6,27.5,27.3,22.4,17.6,9.5,6.9,15.2
7,1939,5.1,5.6,7.5,12.0,15.5,20.5,28.0,27.9,24.1,17.1,11.9,6.9,15.2
8,1940,4.9,5.3,7.6,12.1,15.9,21.9,29.6,26.8,24.0,17.9,13.6,8.0,15.6
9,1941,6.7,6.8,8.9,12.4,18.1,22.9,27.6,29.9,23.3,16.7,13.6,8.5,16.3
10,1942,5.1,6.1,11.1,12.0,16.8,22.4,30.9,30.3,26.3,15.2,9.6,6.9,16.1
11,1943,4.7,5.1,8.1,11.2,16.9,21.6,26.9,28.4,25.6,16.1,10.3,7.6,15.2
12,1944,5.9,5.2,7.2,10.1,16.4,21.7,25.3,28.7,23.1,16.4,11.2,5.7,14.7
13,1945,4.3,4.9,8.1,12.7,15.1,21.3,24.1,29.9,25.9,19.7,12.3,6.5,15.4
14,1946,6.1,6.0,7.6,13.2,15.3,22.3,28.0,27.3,22.8,17.6,12.8,6.3,15.4
15,1947,6.9,4.8,6.9,10.9,15.7,20.3,28.0,29.9,24.4,15.9,10.7,6.4,15.1
16,1948,6.4,6.3,8.1,13.1,15.7,21.2,28.0,28.4,25.9,18.9,13.2,10.1,16.3
17,1949,6.5,7.7,6.9,11.2,16.4,20.4,27.3,30.1,23.7,16.9,12.4,8.4,15.7
18,1950,6.9,6.9,8.0,13.2,17.7,23.0,28.4,29.5,24.3,15.5,12.0,6.7,16.0
19,1951,5.8,6.5,8.1,11.7,16.2,20.2,27.2,29.7,21.1,17.5,10.9,8.0,15.2
20,1952,6.0,5.9,8.0,12.6,16.1,21.2,26.1,29.5,25.3,16.1,13.0,7.1,15.6
21,1953,5.6,6.2,9.0,10.2,15.6,22.3,26.5,28.2,24.6,16.4,9.9,8.8,15.3
22,1954,7.7,7.1,8.1,13.4,16.0,18.8,24.1,29.3,26.2,14.4,11.1,7.7,15.3
23,1955,5.1,6.8,9.9,13.1,16.7,23.0,30.0,29.0,24.1,17.8,10.3,8.4,16.2
24,1956,6.1,5.4,9.9,12.4,16.8,22.1,27.2,26.9,25.1,18.0,11.4,5.9,15.6
25,1957,6.9,5.8,6.2,13.1,15.5,20.5,26.7,30.7,22.2,16.9,12.5,8.3,15.4
26,1958,6.3,6.8,9.1,13.3,16.4,21.7,26.8,28.9,24.9,16.1,11.9,8.7,15.9
27,1959,6.1,9.4,9.4,13.0,16.6,20.7,29.2,30.6,26.2,17.5,13.4,8.4,16.7
28,1960,6.1,6.7,9.2,12.6,17.4,21.5,28.1,30.1,27.6,16.9,12.9,7.5,16.4
29,1961,5.2,5.4,9.1,13.3,18.3,22.4,29.9,31.2,26.5,20.5,12.0,7.6,16.8
30,1962,5.4,6.0,7.8,11.9,16.6,21.5,28.4,30.4,25.1,16.4,12.3,7.7,15.8
31,1963,4.0,4.8,8.1,13.2,18.3,23.6,28.5,29.2,20.9,16.5,11.0,8.0,15.5
32,1964,7.8,6.2,7.4,15.7,16.7,20.8,27.5,30.4,24.8,16.7,10.6,8.2,16.1
33,1965,6.1,5.8,5.9,10.5,16.7,22.8,28.2,27.7,22.0,14.8,12.8,7.5,15.1
34,1966,5.6,7.8,9.3,13.2,15.7,21.3,27.0,29.4,24.7,15.9,11.2,6.2,15.6
35,1967,5.5,6.4,8.8,12.7,17.3,21.9,28.8,29.7,23.5,15.5,13.0,5.9,15.8
36,1968,5.2,4.7,9.1,13.2,16.2,21.5,26.8,30.3,22.2,15.4,11.0,9.7,15.4
37,1969,7.3,7.5,8.0,12.8,16.6,20.4,26.3,28.1,24.2,15.1,11.2,6.2,15.3
38,1970,5.2,6.2,6.0,11.7,17.2,20.5,26.7,28.6,25.4,16.5,10.8,7.2,15.2
39,1971,5.8,6.6,7.5,11.9,16.2,21.1,27.0,28.8,23.0,15.0,11.0,7.7,15.1
40,1972,8.1,7.4,8.7,12.8,15.8,20.4,27.2,28.4,22.0,16.1,11.0,8.0,15.5
41,1973,6.8,6.9,6.7,14.3,14.9,20.0,27.8,31.0,22.2,15.9,9.3,5.4,15.1
42,1974,4.2,6.5,7.6,12.5,16.5,22.2,26.1,28.9,22.9,16.4,10.1,7.5,15.1
43,1975,5.7,5.5,6.8,12.7,15.6,21.9,27.0,27.2,24.7,16.7,11.6,7.2,15.2
44,1976,5.1,7.7,8.5,12.5,16.3,22.3,25.4,27.4,22.0,15.8,10.6,7.0,15.1
45,1977,4.9,4.9,9.1,12.7,15.1,21.5,27.8,26.8,24.4,17.3,13.0,8.3,15.5
46,1978,6.1,5.2,7.2,11.9,17.0,23.7,27.9,29.6,23.5,16.0,11.1,8.4,15.6
47,1979,6.7,7.6,7.9,11.3,15.0,23.5,26.1,28.7,24.5,17.4,12.8,8.7,15.9
48,1980,6.4,4.8,8.1,12.0,17.0,23.2,26.3,26.3,23.8,16.8,12.3,6.4,15.3
49,1981,4.6,6.3,8.5,11.8,15.8,22.2,28.6,27.7,21.6,15.3,9.7,7.0,14.9
50,1982,5.8,5.8,8.5,11.8,18.2,20.5,23.7,28.8,22.1,16.1,13.6,7.6,15.2
51,1983,6.1,5.4,8.5,14.5,16.7,20.6,26.1,30.3,25.5,16.8,10.1,5.8,15.5
52,1984,4.9,5.0,6.0,11.4,15.9,23.1,28.6,30.0,22.6,14.9,11.7,7.9,15.2
53,1985,4.9,6.6,9.5,13.0,18.0,20.8,27.9,29.2,24.5,16.3,10.7,6.5,15.7
54,1986,4.5,4.4,7.7,12.2,15.6,19.9,25.8,28.0,23.9,14.2,10.4,8.1,14.6
55,1987,6.1,6.6,8.4,11.4,16.2,19.5,27.0,28.7,22.0,17.1,12.1,7.6,15.2
