,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,2.6,2.5,3.8,5.9,8.1,11.6,16.4,21.6,13.1,8.6,5.6,4.2,8.7
1,1952,3.1,2.6,3.5,5.9,7.7,12.4,16.9,18.9,14.1,9.5,4.7,2.7,8.5
2,1953,2.6,2.6,4.2,5.6,8.3,11.7,17.5,17.6,14.2,8.9,4.4,3.8,8.5
3,1954,2.8,3.5,3.7,5.7,7.6,10.0,13.2,16.8,15.3,8.5,5.0,4.1,8.0
4,1955,2.7,3.3,4.1,5.5,8.4,12.2,20.4,19.4,13.4,9.9,5.6,4.2,9.1
5,1956,2.9,3.2,4.0,5.5,8.2,11.6,14.0,16.2,15.2,9.9,5.7,3.7,8.3
6,1957,3.3,3.0,3.7,5.7,8.3,11.2,16.4,18.1,13.6,9.6,6.2,4.2,8.6
7,1958,3.3,3.3,3.8,5.5,8.0,12.4,16.9,17.9,14.8,9.1,5.6,4.4,8.8
8,1959,2.8,3.4,4.7,6.4,8.7,12.4,17.2,18.3,15.1,9.5,5.7,3.4,9.0
9,1960,2.6,3.1,3.8,5.2,8.2,11.3,15.6,20.3,15.1,8.6,5.7,3.3,8.6
10,1961,2.4,2.9,3.9,6.0,8.1,12.8,19.1,19.6,16.4,8.4,5.6,4.1,9.1
11,1962,3.3,2.8,3.9,6.4,9.0,12.2,16.3,17.4,15.0,7.9,5.6,3.8,8.6
12,1963,3.3,3.2,4.2,6.2,7.8,12.1,16.8,17.6,13.3,8.9,6.0,4.2,8.6
13,1964,3.1,2.2,4.1,5.6,8.5,11.8,14.9,18.1,12.7,8.5,5.7,3.9,8.3
14,1965,3.7,3.1,3.8,5.0,8.4,12.3,14.5,17.8,14.3,9.0,5.3,3.9,8.4
15,1966,3.1,3.1,4.4,5.5,7.7,11.8,15.0,18.3,12.7,10.8,6.0,3.4,8.5
16,1967,2.7,2.9,4.0,5.7,9.8,11.4,16.3,18.8,13.5,8.6,4.9,4.0,8.6
17,1968,3.3,2.9,4.8,6.0,8.6,12.0,16.6,17.7,13.5,8.0,6.8,4.5,8.7
18,1969,2.8,2.8,3.5,5.4,7.5,11.1,17.4,16.1,12.9,8.4,5.4,3.2,8.0
19,1970,2.8,3.2,3.4,5.4,9.3,12.3,17.1,18.0,13.3,8.9,6.2,3.3,8.6
20,1971,2.7,2.8,3.5,5.0,8.5,11.4,15.8,16.9,13.4,9.7,5.7,3.9,8.3
21,1972,3.1,3.2,4.2,6.3,8.4,12.4,17.3,18.7,13.9,9.7,5.6,4.3,8.9
