,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1910,　,　,　,　,165.9,123.5,221.9,479.5,169.4,187.9,43.8,39.5,1431.4 ]
1,1911,63.6,45.8,77.4,199.2,101.9,327.2,378.0,239.7,124.6,150.3,109.0,52.8,1869.5
2,1912,41.0,110.0,93.6,102.6,133.6,248.9,152.2,100.5,361.5,69.9,86.3,97.2,1597.3
3,1913,76.5,51.4,53.6,91.8,191.0,109.4,157.0,211.9,190.7,179.7,139.2,52.9,1505.1
4,1914,33.0,38.4,196.2,193.9,139.8,120.7,96.1,115.1,135.6,193.7,32.8,36.9,1332.2
5,1915,102.0,183.7,89.9,164.7,210.0,141.9,19.9,104.9,138.4,240.6,40.1,34.7,1470.8
6,1916,9.9,155.6,22.2,62.7,220.4,153.0,286.7,189.7,181.8,348.9,162.9,71.5,1865.3
7,1917,29.7,12.3,154.0,108.5,121.3,172.9,37.9,129.5,223.0,416.0,114.9,16.5,1536.5
8,1918,27.4,39.8,180.5,116.2,138.6,100.5,122.3,72.5,192.2,153.6,172.8,43.3,1359.7
9,1919,70.3,102.2,104.0,105.6,91.6,139.6,79.6,103.8,172.7,322.6,121.9,130.2,1544.1
10,1920,94.2,133.9,132.8,260.1,256.2,234.9,94.3,74.4,229.1,299.1,65.6,91.3,1965.9
11,1921,74.6,90.4,90.7,124.7,239.5,83.3,73.3,115.1,273.0,262.0,8.5,40.5,1475.6
12,1922,30.8,245.3,66.6,93.9,91.3,179.0,136.3,133.9,182.1,264.3,99.2,7.6,1530.3
13,1923,42.2,92.0,105.3,117.7,134.1,321.5,112.5,8.2,248.4,167.2,224.2,27.5,1600.8
14,1924,6.2,23.5,77.9,142.0,112.9,156.5,6.0,302.8,393.7,154.0,36.8,41.5,1453.8
15,1925,28.7,54.6,78.5,97.7,130.6,152.2,47.5,361.2,218.8,166.3,133.8,103.2,1573.1
16,1926,13.7,43.0,48.0,118.8,106.9,54.2,57.5,134.0,142.5,128.2,18.7,80.6,946.1
17,1927,36.4,38.4,229.2,149.9,215.4,66.8,152.4,92.4,333.3,111.0,65.3,42.7,1533.2
18,1928,60.0,101.1,137.6,128.5,80.1,203.8,203.4,79.6,114.3,234.2,47.0,73.4,1463.0
19,1929,2.1,6.8,67.7,133.4,409.2,42.5,90.0,79.7,424.8,315.9,160.3,64.8,1797.2
20,1930,34.2,111.8,137.0,158.7,114.0,146.7,126.4,124.4,311.3,167.4,192.4,29.3,1653.6
21,1931,77.2,41.7,102.7,121.0,203.2,167.6,193.0,27.4,112.4,242.9,111.2,48.8,1449.1
22,1932,24.5,129.2,121.1,156.0,76.6,135.6,107.8,113.1,271.3,166.0,258.4,63.1,1622.7
23,1933,40.7,31.3,143.9,112.8,73.5,75.7,82.5,59.3,84.9,305.6,88.9,61.9,1161.0
24,1934,28.8,40.7,51.2,131.8,113.9,134.5,106.0,85.4,160.2,174.9,112.1,42.6,1182.1
25,1935,68.4,66.2,95.3,129.7,137.2,106.8,81.6,158.9,287.4,163.9,140.2,26.0,1461.6
26,1936,45.7,90.0,78.1,177.6,177.5,135.7,230.2,45.6,232.9,190.2,39.4,42.5,1485.4
27,1937,62.0,208.0,192.5,123.2,149.4,63.6,125.9,47.6,160.1,153.2,52.8,75.0,1413.3
28,1938,41.7,94.0,88.1,85.5,201.1,465.5,217.7,110.2,97.9,220.9,15.8,84.4,1722.8
29,1939,55.6,41.8,73.7,171.5,85.9,106.7,48.5,244.8,141.9,78.6,76.9,6.8,1132.7
30,1940,4.9,59.6,50.3,166.2,87.5,78.1,57.0,158.0,144.7,110.8,80.6,41.7,1039.4
31,1941,19.9,38.0,169.3,100.9,182.2,143.5,589.9,83.6,195.8,68.7,124.9,77.7,1794.4
32,1942,4.5,76.0,125.7,153.7,124.0,158.5,35.3,147.4,187.4,144.6,101.1,18.3,1276.5
