,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1883,8.0,7.9,11.1,17.1,21.6,26.3,31.2,32.6,28.7,22.4,15.2,10.3,19.4
1,1884,7.8,7.0,11.2,17.3,22.6,25.8,29.0,30.3,28.5,21.5,13.3,9.1,18.6
2,1885,6.2,6.9,9.9,17.5,21.9,25.5,29.3,32.3,29.1,23.0,15.9,11.1,19.1
3,1886,7.3,6.2,12.3,18.3,22.1,26.5,31.5,32.3,28.3,22.9,15.9,10.0,19.5
4,1887,8.2,9.1,12.2,19.0,21.8,25.7,30.3,32.3,27.7,24.2,17.4,11.5,20.0
5,1888,9.5,8.0,13.6,18.8,23.3,25.1,30.4,31.5,27.6,22.1,18.4,11.5,20.0
6,1889,7.3,8.4,12.7,17.7,21.0,26.8,29.1,32.0,26.6,21.9,16.8,11.6,19.3
7,1890,9.7,12.9,14.5,19.8,23.0,27.5,30.3,32.6,30.6,22.5,17.9,15.0,21.4
8,1891,8.0,9.4,14.0,19.2,24.4,26.7,30.0,31.4,29.8,23.9,17.3,12.0,20.5
9,1892,9.2,9.3,10.8,18.5,22.1,26.0,31.5,32.5,28.1,21.7,15.4,8.7,19.5
10,1893,7.5,6.4,11.6,18.1,21.4,25.0,32.4,32.5,29.0,22.0,14.9,10.4,19.3
11,1894,8.3,8.9,13.1,19.5,23.2,28.8,32.7,33.3,28.4,21.9,18.2,11.0,20.6
12,1895,7.7,9.0,13.0,19.5,23.3,26.4,28.6,32.8,28.6,22.8,16.4,10.7,19.9
13,1896,8.7,8.7,10.6,19.5,22.5,27.1,29.3,31.6,27.0,21.7,16.8,10.6,19.5
14,1897,9.4,8.3,11.7,17.0,22.4,26.0,29.8,33.1,27.2,21.2,17.3,9.8,19.4
15,1898,9.5,9.8,11.2,17.7,23.0,26.7,31.4,33.5,28.9,23.2,18.0,13.0,20.5
16,1899,9.2,10.3,14.1,19.1,24.7,27.9,30.3,31.1,25.5,19.6,14.9,12.0,19.9
17,1900,7.1,8.6,11.6,18.7,23.6,26.7,28.9,32.2,28.7,22.4,16.9,10.9,19.7
18,1901,10.0,7.8,12.5,19.5,22.8,26.4,28.1,32.3,28.4,23.3,15.8,10.7,19.8
19,1902,8.4,9.0,14.2,16.8,22.3,26.0,28.3,30.5,28.1,22.2,17.7,13.3,19.7
20,1903,9.9,9.4,14.3,19.0,21.2,26.0,27.6,32.9,29.7,22.0,15.3,9.7,19.8
21,1904,7.6,10.4,11.6,19.4,21.8,26.5,31.1,32.7,27.5,21.5,14.9,11.8,19.7
22,1905,10.1,8.2,12.1,17.2,23.0,26.5,31.2,29.5,28.2,23.2,17.4,13.1,20.0
23,1906,7.7,7.8,12.7,18.7,22.8,25.7,30.5,32.5,26.5,21.7,15.1,11.0,19.4
24,1907,10.1,7.5,11.8,18.9,22.8,25.5,29.8,31.6,27.8,22.2,17.3,10.6,19.7
25,1908,9.4,8.8,11.9,18.1,22.7,27.1,29.4,31.4,26.3,23.0,15.1,11.8,19.6
26,1909,8.2,7.6,11.1,19.5,23.2,25.6,30.8,33.6,28.6,21.2,17.0,10.7,19.8
27,1910,9.9,7.3,11.0,17.7,23.2,26.6,31.4,31.1,26.0,21.1,16.5,10.0,19.3
28,1911,8.4,8.9,12.6,16.9,21.6,24.9,29.1,30.8,28.5,21.5,17.8,11.1,19.3
29,1912,8.1,11.1,12.3,17.9,22.1,26.0,28.5,31.9,26.0,22.0,15.4,11.4,19.4
30,1913,8.0,8.9,11.0,19.2,21.3,24.9,29.3,31.0,26.4,22.1,16.5,10.9,19.1
31,1914,9.3,9.5,14.3,16.3,22.5,25.7,31.8,32.6,29.4,22.3,18.5,12.2,20.4
32,1915,9.1,9.3,11.3,17.5,22.0,26.6,30.6,31.8,29.3,24.1,17.9,12.4,20.2
33,1916,11.3,10.1,10.7,17.6,22.8,27.8,30.7,32.2,30.0,22.3,17.8,12.6,20.5
34,1917,7.3,9.1,11.3,17.9,21.7,25.6,32.0,31.3,28.8,22.1,14.4,9.5,19.3
35,1918,6.9,9.1,12.0,18.1,22.2,24.9,31.1,31.4,27.6,22.5,15.9,10.4,19.3
36,1919,8.3,9.0,13.5,19.0,22.9,25.8,30.0,31.6,27.6,23.2,17.1,11.3,19.9
37,1920,9.0,7.8,12.6,18.7,22.4,26.3,31.6,31.7,28.5,23.1,17.9,11.5,20.1
38,1921,9.6,9.7,11.4,18.3,22.8,23.4,30.2,32.8,27.0,22.6,15.1,11.6,19.5
39,1922,6.8,11.3,11.9,19.0,24.1,27.8,31.0,33.9,30.5,23.3,17.1,10.5,20.6
40,1923,7.2,9.0,14.1,17.6,23.2,25.5,29.7,33.9,28.9,22.8,17.1,11.8,20.1
41,1924,9.2,9.2,10.4,19.0,21.9,26.2,32.4,32.7,28.0,22.0,15.6,11.1,19.8
42,1925,8.6,7.9,11.9,16.4,22.8,26.3,29.5,32.0,28.6,22.8,17.8,11.9,19.7
43,1926,8.6,9.3,11.3,17.3,21.9,25.5,29.4,32.9,29.7,21.4,15.9,10.0,19.4
44,1927,8.9,7.8,11.5,18.4,22.1,26.4,31.4,31.6,26.9,22.6,17.7,11.9,19.8
45,1928,8.7,8.5,12.5,18.6,23.7,25.6,30.4,30.7,30.2,22.6,17.7,10.8,20.0
46,1929,8.0,8.4,12.2,18.4,21.7,26.8,31.5,33.1,26.8,21.9,15.9,13.5,19.9
47,1930,8.3,10.0,13.8,19.3,23.0,26.9,32.5,33.4,28.2,23.3,15.6,11.9,20.5
48,1931,8.6,8.5,13.7,17.5,22.1,27.2,27.7,32.4,29.1,21.7,17.9,12.4,19.9
49,1932,11.4,8.8,12.0,16.5,22.9,26.2,31.6,32.0,27.0,21.9,17.1,11.8,19.9
50,1933,8.8,8.7,10.6,18.1,24.1,28.1,33.2,32.4,28.9,22.0,16.9,11.2,20.3
51,1934,6.3,8.5,12.1,17.8,24.6,27.6,32.5,33.2,28.0,20.9,15.5,11.8,19.9
52,1935,9.1,10.1,12.8,18.4,23.3,27.1,30.9,31.1,26.5,23.0,17.0,10.7,20.0
53,1936,6.1,6.6,10.2,17.9,22.2,27.6,29.9,32.4,29.9,22.0,16.5,12.8,19.5
54,1937,8.7,10.9,13.5,19.2,23.3,26.0,31.9,33.8,27.8,22.7,16.7,10.2,20.4
55,1938,7.7,8.1,14.9,19.4,23.8,27.1,30.9,31.6,28.3,23.2,15.9,11.1,20.2
56,1939,7.4,8.7,12.3,18.8,23.4,26.9,32.3,33.3,29.6,22.8,18.0,11.5,20.4
57,1940,8.3,7.4,12.6,19.0,24.3,27.2,32.2,31.0,28.9,24.0,18.5,12.4,20.5
58,1941,9.9,9.4,13.9,18.7,24.3,27.0,29.9,31.6,26.2,23.3,18.2,12.3,20.4
59,1942,8.4,7.9,16.0,19.4,22.7,26.9,34.0,33.8,29.9,22.4,15.8,10.4,20.6
60,1943,7.7,8.3,12.4,18.2,24.1,27.3,30.5,32.7,30.0,22.9,17.0,12.1,20.3
61,1944,8.6,8.7,11.9,17.8,25.4,28.8,32.5,33.1,29.6,22.5,16.9,9.3,20.4
62,1945,6.7,6.8,12.8,20.7,21.7,27.7,29.6,33.5,29.1,23.0,17.2,10.1,19.9
63,1946,9.4,9.4,11.4,19.8,23.0,27.5,32.4,32.6,28.4,23.5,19.0,10.1,20.5
64,1947,8.7,7.5,11.4,19.4,22.4,26.2,32.0,34.5,29.6,21.3,15.9,9.4,19.9
65,1948,9.3,9.7,12.3,20.2,24.4,27.6,31.4,32.9,29.1,23.7,17.3,14.2,21.0
66,1949,10.1,11.4,11.7,17.2,24.6,26.6,30.5,32.7,28.6,21.7,16.1,11.6,20.2
67,1950,9.8,9.3,13.0,20.4,24.9,26.6,31.4,32.2,28.7,21.9,16.8,10.2,20.4
68,1951,8.5,10.3,13.1,18.3,24.4,26.5,29.8,33.9,26.7,24.6,16.6,13.1,20.5
69,1952,8.9,8.3,12.6,19.1,24.4,27.1,30.5,33.6,28.8,22.8,18.7,12.0,20.6
70,1953,8.8,9.0,14.1,18.2,23.5,26.3,30.1,31.9,28.4,23.8,15.9,12.9,20.2
