,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1939,6.4,5.6,7.5,10.8,14.7,19.1,26.4,25.7,23.1,16.5,11.9,7.3,14.6
1,1940,4.9,5.7,7.7,10.9,14.1,19.7,27.3,24.8,21.6,16.5,12.7,8.1,14.5
2,1941,6.9,6.4,8.3,11.5,15.6,20.1,24.9,26.3,21.2,15.5,12.3,8.3,14.8
3,1942,5.3,5.9,10.0,11.2,14.4,20.4,27.9,26.7,25.1,14.4,9.5,6.8,14.8
4,1943,4.9,5.5,7.1,9.5,15.3,20.3,24.4,26.5,24.1,16.0,10.4,7.9,14.3
5,1944,5.6,5.2,6.5,9.5,15.5,20.4,24.4,27.6,22.8,16.3,11.7,6.8,14.4
6,1945,4.7,4.8,8.1,11.5,14.0,×,×,×,×,×,×,6.5,8.3 ]
7,1946,6.5,6.5,7.9,12.8,15.1,22.0,28.3,27.2,21.7,16.5,12.7,6.7,15.3
8,1947,6.5,4.9,7.2,10.4,14.9,18.8,26.1,27.9,22.9,14.1,9.9,6.7,14.2
9,1948,6.8,6.7,7.6,12.1,15.5,20.3,26.1,25.6,22.9,16.8,11.7,9.6,15.1
10,1949,6.7,7.1,6.8,9.6,15.3,18.0,24.9,26.1,21.9,15.1,10.8,7.6,14.2
11,1950,7.0,6.8,7.9,12.6,17.5,22.0,26.6,27.7,23.4,15.3,12.2,7.1,15.5
12,1951,6.0,6.6,8.6,11.5,15.8,19.7,25.6,28.0,20.5,17.1,10.9,8.3,14.9
13,1952,6.5,6.0,8.1,12.1,14.6,20.4,24.9,28.4,24.2,15.9,12.4,7.6,15.1
14,1953,5.9,6.3,9.2,10.2,14.8,20.8,25.6,27.0,23.8,16.0,10.2,9.2,14.9
15,1954,7.3,7.3,8.2,13.0,15.5,18.1,22.3,28.0,25.3,14.4,11.3,8.3,14.9
16,1955,5.8,7.1,9.8,12.7,16.2,21.8,28.5,27.5,22.5,17.1,10.4,8.3,15.6
17,1956,6.1,5.8,9.5,11.7,15.7,21.3,25.2,25.4,23.3,17.2,11.4,6.4,14.9
18,1957,7.2,6.1,6.5,12.4,14.2,19.1,25.3,28.7,20.6,16.0,12.2,8.6,14.7
19,1958,6.5,6.8,8.6,12.5,15.4,20.6,25.2,27.2,23.4,15.4,11.4,8.7,15.1
20,1959,6.4,9.1,8.6,12.4,15.5,19.1,27.4,28.5,24.6,16.6,13.0,8.5,15.8
21,1960,6.4,7.1,8.7,11.0,16.2,20.4,26.0,27.7,24.5,15.6,12.7,7.7,15.3
22,1961,5.7,5.5,8.4,12.5,17.0,21.0,27.4,28.7,25.2,18.7,12.0,7.7,15.8
23,1962,5.6,6.2,7.6,11.2,15.7,20.2,26.7,28.6,24.1,15.0,11.5,7.9,15.0
24,1963,4.3,5.1,7.7,12.0,17.6,21.8,26.1,27.3,20.0,15.0,11.2,8.4,14.7
25,1964,7.4,6.0,7.2,14.6,15.9,19.7,26.2,28.8,23.2,15.2,10.3,8.1,15.2
26,1965,6.3,5.8,6.0,9.3,15.6,21.3,26.0,26.1,21.4,14.3,12.7,7.6,14.4
27,1966,5.9,8.0,9.1,12.5,14.6,19.5,25.6,26.8,23.9,16.0,11.6,6.9,15.0
28,1967,5.9,6.5,8.3,11.7,16.3,20.4,27.0,28.1,22.9,15.1,12.1,6.3,15.1
29,1968,5.6,4.8,9.1,11.9,14.6,19.3,25.0,28.1,20.7,14.8,11.5,9.8,14.6
30,1969,7.0,7.4,7.9,12.1,15.9,19.5,24.6,27.4,22.1,15.0,11.5,7.1,14.8
31,1970,5.6,6.4,6.1,11.3,15.3,19.0,24.9,26.9,24.3,15.9,11.0,7.2,14.5
32,1971,5.7,6.4,7.4,10.8,15.0,20.1,26.2,27.2,21.9,14.6,10.4,8.2,14.5
33,1972,8.1,7.1,8.2,11.9,15.5,19.7,25.8,26.8,21.9,16.5,11.0,8.2,15.1
34,1973,6.8,7.1,6.8,13.6,14.2,18.6,25.6,28.5,21.8,15.2,9.5,5.6,14.4
35,1974,4.7,6.4,7.3,12.0,15.7,21.1,24.1,27.4,22.4,16.3,10.1,7.5,14.6
