,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1943,86.0,115.7,47.2,38.3,35.9,31.1,113.5,62.0,153.1,119.9,258.1,155.7,1216.5
1,1944,171.4,86.5,45.2,21.4,23.0,53.8,119.0,44.2,165.7,112.8,95.4,133.1,1071.5
2,1945,140.7,126.2,90.7,46.4,64.0,53.3,65.8,75.5,82.1,129.2,167.0,158.9,1199.8
3,1946,231.6,105.3,67.0,40.5,50.7,85.9,96.8,17.0,82.8,190.8,127.4,202.1,1297.9
4,1947,109.1,52.3,104.7,166.5,64.4,36.4,67.3,116.1,209.3,88.6,231.3,225.7,1471.7
5,1948,142.1,89.4,71.8,33.9,73.3,53.8,56.6,89.5,159.3,82.8,78.0,153.2,1083.7
6,1949,116.5,89.9,153.4,56.3,38.5,27.7,16.8,26.2,128.3,114.3,146.8,167.9,1082.6
7,1950,98.8,81.8,68.5,15.2,79.7,34.3,78.6,54.1,127.8,91.6,207.0,161.4,1098.8
8,1951,129.1,102.2,60.7,61.4,36.5,92.7,43.9,31.4,114.8,88.4,189.3,90.9,1041.3
9,1952,135.5,63.1,61.1,72.4,60.9,73.6,78.6,44.3,95.6,142.3,121.7,118.2,1067.3
10,1953,110.4,85.9,73.0,93.2,78.6,65.6,141.0,103.4,129.0,176.7,234.1,119.6,1410.5
11,1954,182.4,92.3,45.0,59.0,82.7,30.2,71.0,162.6,141.2,94.2,108.2,163.2,1232.0
12,1955,172.4,117.2,141.2,84.2,72.0,73.0,103.3,204.2,119.8,170.4,179.6,110.1,1547.4
13,1956,115.5,62.9,113.5,118.2,21.5,123.8,59.9,227.7,16.3,80.1,141.3,183.7,1264.4
14,1957,128.1,84.5,105.9,47.5,68.1,59.7,22.5,203.7,320.7,148.1,40.1,175.7,1404.6
15,1958,154.5,124.6,114.6,40.2,28.2,38.1,110.6,95.2,97.6,132.6,87.1,81.1,1104.4
16,1959,101.0,76.2,43.1,132.4,53.3,51.8,58.7,60.2,146.3,99.1,89.7,135.4,1047.2
17,1960,147.0,62.5,70.3,102.2,49.3,87.1,53.5,36.3,86.9,79.6,139.2,104.2,1018.1
18,1961,103.5,96.6,65.1,59.3,129.3,25.2,242.6,133.0,154.5,101.3,106.5,100.1,1317.0
19,1962,176.9,80.0,100.5,63.1,44.9,60.6,122.9,379.8,163.2,58.7,90.5,111.9,1453.0
20,1963,90.7,81.1,81.0,80.4,42.8,81.5,108.1,135.6,148.1,95.3,154.1,148.9,1247.6
21,1964,90.9,125.0,34.7,102.8,59.3,56.2,117.1,115.6,82.1,91.6,130.5,160.7,1166.5
22,1965,103.3,197.1,93.2,76.2,58.5,50.2,75.1,45.6,333.2,74.4,181.7,157.0,1445.5
23,1966,226.9,119.6,129.6,58.7,43.0,84.8,88.9,104.0,146.1,157.0,118.8,222.8,1500.2
24,1967,136.3,72.6,121.2,44.2,73.9,160.1,68.0,44.2,239.6,125.9,101.0,102.3,1289.3
25,1968,236.5,121.5,62.5,36.0,40.5,23.0,88.0,80.5,163.0,96.0,159.0,87.5,1194.0
26,1969,138.0,76.5,42.0,42.0,84.0,75.5,73.0,174.5,135.0,119.5,139.5,130.5,1230.0
27,1970,121.5,133.0,136.5,55.5,39.0,71.0,118.0,80.5,115.0,230.0,166.5,103.5,1370.0
28,1971,125.5,64.5,65.0,31.0,62.5,40.0,87.5,31.0,115.0,213.0,96.5,162.5,1094.0
29,1972,142.5,189.0,68.5,54.5,85.0,85.0,23.0,91.0,150.5,118.0,217.0,123.5,1347.5
30,1973,89.0,97.5,71.0,87.5,35.0,13.5,32.5,320.5,131.5,156.5,191.0,116.0,1341.5
31,1974,107.0,106.0,50.0,96.5,50.0,92.0,25.0,171.0,76.0,195.5,82.0,112.5,1163.5
32,1975,124.5,52.0,93.0,33.0,34.0,50.5,89.5,228.0,126.5,223.5,144.5,98.5,1297.5
33,1976,139.0,91.5,79.0,43.0,33.5,46.5,29.5,101.0,89.0,126.0,157.0,96.5,1031.5
34,1977,107.0,87.0,68.0,100.5,71.0,13.5,58.0,116.0,146.0,37.0,113.0,132.5,1049.5
35,1978,106.5,74.0,93.5,58.0,89.0,100.0,92.5,83.5,91.0,135.5,90.5,114.5,1128.5
36,1979,82.0,98.0,117.5,44.5,53.0,55.5,104.5,38.0,99.5,203.0,143.0,83.5,1122.0
37,1980,127.0,139.5,85.0,94.5,30.0,116.0,26.5,126.5,55.0,175.5,110.0,155.0,1240.5
38,1981,203.5,96.5,108.0,63.0,101.0,64.0,59.5,366.0,215.0,161.5,158.0,125.5,1721.5
39,1982,136.5,118.5,108.0,94.0,60.5,63.5,35.5,44.0,108.0,88.0,149.0,115.0,1120.5
40,1983,81.0,110.5,86.0,16.0,42.5,66.0,56.0,40.5,102.5,152.5,73.5,79.5,906.5
41,1984,105.5,125.5,54.5,28.5,35.5,45.5,32.5,15.5,25.5,142.0,78.5,62.0,751.0
42,1985,138.0,91.5,44.5,30.0,34.0,13.0,126.5,70.0,192.5,197.5,133.5,166.5,1237.5
43,1986,153.5,52.5,83.5,60.0,51.0,13.5,61.0,42.0,147.0,271.0,166.0,98.5,1199.5
44,1987,163.0,102.0,98.0,64.0,86.5,27.5,91.0,81.5,54.0,137.0,109.0,149.0,1162.5
