,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1938,　,　,　,　,　,　,　,　,　,14.5,5.5,2.2,7.4 ]
1,1939,-0.8,0.2,2.9,9.1,13.0,17.3 ),21.9,21.7,18.8,13.3,8.6,0.8,10.6
2,1940,-0.2,-0.8,2.6,7.0,11.4,16.3,22.1,21.0,19.0,13.6,9.0,2.8,10.3
3,1941,0.8,-0.1,3.4,6.8,12.5,17.7,21.7,22.0,17.9,12.0,9.0,3.5,10.6
4,1942,-0.8,0.4,6.2,6.9,11.2,17.7,22.9,23.0,19.9,11.2,4.9,0.5,10.3
5,1943,-1.7,-2.0,1.9,5.4,11.8,18.0,21.5,21.4,20.0,13.3,6.0,1.8,9.8
6,1944,-1.0,-0.7,1.3,6.7,13.8,16.8,21.1,21.6,17.8,12.7,7.2,0.7,9.8
7,1945,-1.9,-2.0,2.7,7.4,10.0,16.9,18.8,22.0,19.0,14.1,6.2,0.8,9.5
8,1946,-0.1,-0.7,2.7,8.9,12.9,18.4,21.8,21.8,18.6,13.1,9.7,2.3,10.8
9,1947,0.4,-1.3,1.6,6.6,11.3,16.4,21.6,21.9,19.4,11.0,4.9,0.8,9.6
10,1948,0.3,0.1,3.2,9.1,13.1,16.7,22.0,21.5,19.1,13.5,7.5,4.8,10.9
11,1949,0.9,2.6,1.7,5.4,11.6,16.7,20.7,21.7,19.0,11.3,6.7,3.1,10.1
12,1950,2.1,0.7,3.3,9.6,14.1,17.7,21.6,22.4,19.2,12.8,8.1,1.8,11.1
13,1951,0.2,1.3,2.9,8.2,12.1,16.1,21.0,22.6,16.6,13.9,6.8,3.4,10.4
14,1952,0.2,0.7,3.9,8.7,11.8,17.1,20.8,22.1,19.3,12.1,9.1,2.4,10.7
15,1953,0.7,1.1,5.2,6.2,12.5,18.4,21.4,22.6,19.6,13.5,7.6,5.0,11.2
16,1954,3.3,2.0,3.6,9.9,13.4,16.3,19.9,22.8,20.7,13.4,8.3,4.1,11.5
17,1955,0.4,2.3,6.4,10.0,12.8,18.6,22.4,22.0,19.2,14.2,6.1,4.3,11.6
18,1956,1.1,0.7,5.4,8.5,13.5,17.8,21.1,21.3,20.0,15.5,7.3,1.2,11.1
19,1957,1.8,0.4,2.2,9.2,12.3,16.7,22.0,23.0,18.3,12.5,8.5,3.6,10.9
20,1958,1.4,2.1,4.5,10.1,13.2,17.7,21.8,22.1,19.8,13.4,8.2,4.7,11.6
21,1959,0.9,5.3,5.6,10.3,13.5,17.1,22.5,22.3,20.6,14.5,9.3,4.0,12.2
22,1960,1.0,2.2,5.5,8.7,13.8,17.6,21.9,23.4,20.4,14.1,9.4,3.0,11.8
23,1961,0.3,0.1,4.4,9.3,14.2,17.8,22.9,23.3,21.2,16.7,9.7,3.7,12.0
24,1962,0.5,1.5,3.7,8.6,12.9,17.9,22.1,22.6,19.3,13.6,8.5,3.2,11.2
25,1963,-1.0,-1.2,3.1,10.3,15.9,19.4,22.3,22.4,17.5,13.0,7.7,3.5,11.1
26,1964,1.4,0.6,2.7,13.9,12.6,17.0,22.2,23.3,20.3,13.2,5.8,2.9,11.3
27,1965,0.2,0.1,1.1,6.3,12.5,17.4,22.4,21.2,17.3,10.9,7.4,2.3,9.9
28,1966,-0.1,2.4,5.1,9.4,12.0,17.1,21.0,23.0,19.2,12.7,6.9,1.6,10.9
29,1967,-0.3,0.6,3.5,9.9,13.6,17.3,22.2,23.1,19.5,12.7,7.8,0.6,10.9
