,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1943,-5.3,-5.9,-2.1,3.6,9.2,15.0,20.7,22.0,17.8,10.6,2.7,-2.6,7.1
1,1944,-6.6,-6.6,-1.6,2.9,10.0,14.7,20.0,21.9,17.0,10.4,2.5,-5.6,6.6
2,1945,-7.8,-6.7,-2.0,4.9,7.4,12.7,15.8,20.3,15.4,10.8,4.3,-4.2,5.9
3,1946,-5.3,-5.3,-2.7,5.1,8.7,15.9,20.1,22.9,16.6,11.4,5.4,-2.8,7.5
4,1947,-4.4,-6.2,-2.5,4.4,9.4,13.3,18.7,19.9,14.8,9.6,2.8,-4.3,6.3
5,1948,-2.0,-3.8,-0.9,6.6,12.3,14.9,20.3,22.2,16.2,10.5,4.1,0.1,8.4
6,1949,-1.6,-2.1,-2.9,3.2,11.4,14.0,18.8,22.3,17.2,10.3,2.6,-3.0,7.5
7,1950,-5.0,-4.0,-0.7,5.3,10.7,15.8,21.2,23.3,16.7,8.1,3.4,-2.3,7.7
8,1951,-6.1,-5.4,-1.3,4.4,10.4,14.2,18.4,23.0,14.7,10.1,3.9,0.0,7.2
9,1952,-4.6,-6.6,-2.2,4.5,9.7,15.3,18.9,20.4,16.2,11.1,1.6,-5.5,6.6
10,1953,-7.5,-6.5,-0.2,4.3,9.8,14.5,19.2,19.6,16.8,10.5,0.5,-1.7,6.6
11,1954,-6.2,-3.0,-1.8,5.4,9.2,13.0,16.6,19.7,17.7,9.1,3.5,-0.9,6.9
12,1955,-5.7,-3.8,-1.1,5.3,9.3,14.9,21.7,21.5,15.5,10.3,3.7,0.4,7.7
13,1956,-5.3,-4.8,-0.9,5.6,12.3,13.6,17.7,18.0,17.1,11.5,3.6,-3.7,7.1
14,1957,-4.3,-5.4,-2.7,5.3,10.7,13.1,19.2,20.5,15.3,11.0,5.3,-0.7,7.3
15,1958,-3.9,-3.5,-0.9,5.0,10.0,14.7,18.8,19.7,16.7,9.9,4.5,-0.2,7.6
16,1959,-5.8,-2.6,1.2,7.6,11.3,15.0,19.3,20.2,16.8,10.9,3.4,-2.5,7.9
17,1960,-6.6,-3.6,-1.3,4.2,9.5,14.0,18.2,21.6,17.8,9.3,4.1,-2.7,7.0
18,1961,-6.1,-4.7,-0.7,6.3,11.0,16.1,20.3,21.3,18.9,11.0,4.5,-2.0,8.0
19,1962,-4.3,-4.9,-1.6,7.1,11.3,14.2,18.9,19.6,17.0,9.6,3.4,-1.5,7.4
20,1963,-5.7,-3.8,0.1,5.5,11.3,14.6,19.3,20.1,15.1,10.0,4.7,-0.3,7.6
21,1964,-5.3,-7.6,-0.7,4.7,11.2,14.4,17.3,20.3,14.8,9.1,3.5,-1.9,6.7
22,1965,-3.6,-5.4,-2.1,3.5,10.0,14.3,17.5,20.6,16.4,10.1,3.5,-1.8,6.9
23,1966,-5.0,-3.9,0.4,4.4,10.5,14.9,17.5,20.7,14.9,11.8,4.9,-4.0,7.3
24,1967,-6.7,-4.8,0.1,4.9,12.1,14.1,19.5,20.9,15.4,10.3,2.5,-2.4,7.2
25,1968,-4.0,-6.2,1.4,6.1,11.2,15.4,19.0,20.1,16.6,8.6,5.7,0.4,7.9
26,1969,-5.4,-5.6,-2.1,4.5,9.6,13.5,19.0,18.6,15.4,9.2,3.5,-3.5,6.4
27,1970,-6.5,-3.9,-3.4,4.4,12.3,14.2,20.0,20.3,16.6,10.5,4.6,-2.1,7.3
28,1971,-6.0,-4.6,-0.4,5.4,9.8,13.4,18.6,19.2,15.1,10.5,4.2,-0.6,7.1
29,1972,-4.3,-4.0,0.1,6.4,10.7,15.3,19.9,21.2,16.3,11.8,3.2,-0.2,8.0
30,1973,-3.0,-3.2,-2.4,5.8,10.4,14.5,19.2,22.0,16.2,9.9,3.8,-1.1,7.7
31,1974,-4.1,-4.2,-1.6,5.4,10.5,15.4,18.9,20.3,16.9,9.7,3.1,-4.1,7.2
32,1975,-4.1,-5.4,-1.0,5.7,10.3,15.5,18.5,21.1,17.6,10.0,3.9,-3.8,7.4
33,1976,-4.2,-3.5,-1.2,4.5,11.1,14.3,18.8,18.2,15.2,10.2,2.6,-2.3,7.0
34,1977,-8.4,-6.9,-0.7,4.2,9.7,14.6,20.2,19.6,17.1,10.7,5.0,-0.9,7.0
35,1978,-5.4,-8.2,-1.7,5.2,11.0,15.9,22.1,22.1,16.5,9.6,3.7,-1.2,7.5
36,1979,-4.8,-3.1,-1.3,3.8,9.7,15.7,18.2,21.3,16.2,11.9,4.1,0.6,7.7
37,1980,-4.0,-6.2,-0.5,3.3,10.6,16.1,18.4,18.1,16.0,9.9,4.8,-1.4,7.1
38,1981,-6.3,-4.8,-1.6,5.3,9.1,13.9,19.3,19.7,15.3,10.5,1.6,-0.7,6.8
39,1982,-5.4,-6.2,-0.4,4.7,10.5,13.5,18.7,21.9,16.6,11.3,5.0,-0.1,7.5
40,1983,-3.5,-5.8,-1.4,8.2,10.3,12.3,16.9,20.5,16.5,9.2,4.4,-2.7,7.1
41,1984,-5.7,-6.9,-3.1,3.5,9.5,16.9,21.0,22.0,16.3,9.6,3.2,-2.6,7.0
42,1985,-8.8,-3.1,-0.8,5.8,9.9,13.3,18.5,22.7,15.7,10.4,3.8,-3.6,7.0
43,1986,-6.6,-6.3,-1.6,5.4,9.6,14.1,17.2,21.2,16.7,8.1,3.2,-1.8,6.6
44,1987,-5.8,-5.0,-0.8,4.9,10.2,15.0,19.1,19.5,16.9,11.4,3.1,-2.2,7.2
45,1988,-3.3,-6.0,-0.8,5.3,9.8,15.5,17.9,22.4,16.6,10.2,2.3,-0.2,7.5
46,1989,-2.6,-2.2,1.5,5.9,9.9,13.8,21.0,21.7,17.3,11.2,5.7,-1.3,8.5
47,1990,-5.6,-1.6,1.5,6.7,11.1,16.0,20.1,21.5,17.0,11.9,6.7,1.6,8.9
48,1991,-1.9,-4.2,-0.6,6.4,11.3,16.6,19.4,20.3,16.8,11.9,4.5,-1.5,8.3
49,1992,-3.2,-3.3,-0.2,5.4,9.9,14.9,19.2,19.7,15.1,10.3,4.3,-0.8,7.6
50,1993,-2.6,-2.6,0.1,4.5,10.1,14.5,18.0,18.9,16.6,10.9,4.8,-0.9,7.7
51,1994,-5.3,-2.2,-1.2,5.5,11.5,15.1,20.3,23.0,18.7,11.5,4.4,-1.9,8.3
52,1995,-4.0,-4.2,-0.2,6.3,12.3,14.6,19.6,20.4,16.0,11.8,5.5,-0.5,8.1
53,1996,-4.0,-4.0,-0.5,4.4,9.1,14.4,18.8,19.6,16.7,10.7,3.5,-1.6,7.3
54,1997,-3.6,-2.5,-0.7,5.2,10.2,13.9,19.7,19.1,15.6,10.0,6.2,0.1,7.8
55,1998,-6.4,-5.0,0.6,7.2,11.6,14.7,19.0,20.3,17.8,12.0,3.1,-1.9,7.8
56,1999,-3.6,-4.1,-1.5,4.8,10.1,16.0,20.4,23.3,18.4,10.8,4.6,-1.8,8.1
57,2000,-4.7,-5.6,-1.0,4.9,12.2,14.8,20.7,22.7,17.7,11.2,3.1,-3.3,7.7
58,2001,-6.8,-5.7,-1.2,6.0,11.6,14.7,19.6,19.8,15.8,10.7,4.8,-3.8,7.1
59,2002,-3.6,-1.6,1.3,8.1,12.1,14.3,19.1,18.8,16.2,10.5,2.6,-3.2,7.9
60,2003,-4.3,-5.0,-0.8,6.3,11.2,15.6,16.9,19.5,16.2,10.7,4.9,-0.8,7.5
61,2004,-3.8,-2.3,0.0,4.8,12.3,16.0,19.5,20.1,16.9,11.3,6.9,-0.8,8.4
62,2005,-4.6,-4.9,-0.4,4.7,9.1,16.4,19.0,21.9,17.1,12.1,4.8,-3.7,7.6
63,2006,-4.9,-3.5,0.2,3.8,10.7,14.7,19.7,22.9,17.1,10.4,5.4,-0.6,8.0
64,2007,-2.5,-2.6,-0.3,4.6,10.6,16.8,18.2,21.6,17.7,10.6,4.2,-1.2,8.1
