,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1890,　,　,　,　,　,　,　,22.4,20.0,12.9,7.8,6.2,13.9 ]
1,1891,-0.3,2.5,4.1,8.9,12.4,16.7,22.0,22.9,21.2,13.1,7.1,2.5,11.1
2,1892,0.8,1.5,3.0,9.8,12.9,18.8,24.0,22.9,20.2,11.4,6.5,0.5,11.0
3,1893,1.0,-0.5,2.7,8.3,13.2,17.4,22.9,22.9,21.1,13.0,4.9,1.3,10.7
4,1894,0.6,1.2,5.3,11.2,13.4,21.1,23.8,23.9,19.9,13.1,7.2,3.4,12.0
5,1895,0.2,1.3,5.1,9.3,14.1,19.0,21.8,23.9,20.1,13.4,6.5,3.0,11.5
6,1896,0.1,1.1,2.8,11.6,12.7,20.1,22.3,23.1,18.0,13.2,7.6,3.0,11.3
7,1897,3.6,1.0,5.9,8.9,13.2,17.3,23.0,24.2,19.9,11.4,8.9,0.3,11.5
8,1898,3.6,3.2,5.1,8.4,14.9,18.2,23.6,23.8,19.7,13.8,9.6,3.6,12.3
9,1899,-0.3,2.1,5.1,8.6,15.0,20.1,22.7,22.7,18.1,9.5,5.4,4.0,11.1
10,1900,0.3,0.8,3.8,9.9,13.6,16.9,21.7,23.5,20.3,12.4,7.9,2.7,11.2
11,1901,3.4,-0.3,2.7,10.2,12.7,18.0,20.9,22.4,18.3,14.3,5.1,0.7,10.7
12,1902,0.4,-0.2,6.0,8.6,13.8,17.3,21.1,21.9,18.3,11.7,9.0,5.9,11.2
13,1903,2.2,2.0,7.1 ),10.2,12.8,17.7,21.5,23.8,20.3,13.1,6.0,1.4,11.5
14,1904,-0.6,0.9,4.7,10.5,13.0,18.5,22.9,23.2,17.7,12.1,4.8,3.0,10.9
15,1905,3.0,0.8,5.5,8.3,14.2,18.8,23.0,22.1,19.4,12.5,7.1,5.8,11.7
16,1906,0.5,2.0,4.0,7.9,14.8,18.3,22.6,23.0,19.3,12.9,7.1,2.3,11.2
17,1907,2.0,-0.1,4.4,8.6,12.9,16.8,21.6,22.9,19.2,13.1,8.3,0.9,10.9
18,1908,1.5,0.5,4.1,9.2,12.8,18.4,21.6,23.1,18.2,12.8,5.8,3.2,10.9
19,1909,2.1,0.4,3.5,8.9,12.6,18.9,22.3,23.7,21.5,12.0,7.3,1.8,11.3
20,1910,2.7,0.2,3.7,8.2,14.0,19.2,23.1,22.8,19.6,12.5,6.4,1.4,11.2
21,1911,0.8,1.6,5.6,8.4,13.5,18.9,22.5,23.4,21.0,12.1,7.7,2.8,11.5
22,1912,1.5,3.6,5.8,9.0,13.4,17.6,22.2,22.8,18.3,11.6,5.9,3.2,11.2
23,1913,0.7,1.2,2.8,11.5,12.5,18.2,21.2,22.2,16.9,12.8,6.6,3.3,10.8
24,1914,0.5,2.5,6.6,8.9,14.4,18.6,24.9,23.1,19.5,12.4,8.1,3.5,11.9
25,1915,1.1,2.3,2.7,9.7,12.4,19.2,22.6,23.3,19.6,15.3,9.7,3.4,11.8
26,1916,3.1,2.1,2.4,9.9,13.6,19.9,22.7,23.1,21.4,13.9,9.5,2.9,12.0
27,1917,-0.9,0.2,3.5,8.2,11.5,18.3,23.5,22.6,21.2,13.9,4.7,0.4,10.6
28,1918,-2.2,0.6,3.9,9.3,12.3,18.3,22.5,22.3,17.7,12.9,7.2,3.7,10.7
29,1919,1.6,2.2,5.7,8.5,13.0,19.7,22.2,22.3,17.8,11.7,7.3,1.4,11.1
30,1920,0.7,2.0,5.5,8.8,12.6,17.9,23.4,22.7,20.5,12.6,9.6,3.9,11.7
31,1921,1.6,1.6,3.5,10.2,13.2,17.9,21.9,23.3,18.1,11.9,4.4,1.9,10.8
32,1922,-0.7,3.7,3.1,9.2,13.5,17.6,22.0,23.7,19.8,12.5,5.5,0.7,10.9
33,1923,0.1,0.9,5.0,8.9,14.5,17.4,21.5,23.7,19.4,11.9,7.0,2.9,11.1
34,1924,1.0,1.8,1.3,9.6,13.0,16.4,23.4,22.6,17.9,12.1,4.8,1.2,10.4
35,1925,0.6,-0.2,2.0,6.9,13.4,18.5,22.3,22.8,19.6,11.9,8.6,2.6,10.8
36,1926,0.6,1.4,3.1,6.7,13.8,16.4,22.9,24.6,20.4,11.4,6.7,2.1,10.8
37,1927,0.8,1.1,3.8,8.5,11.6,17.3,24.0,23.6,18.3,12.1,7.9,3.2,11.0
38,1928,2.0,1.4,4.2,9.2,14.3,18.2,22.8,22.4,20.7,13.0,7.6,3.4,11.6
39,1929,0.9,0.1,4.6,7.9,13.5,18.3,22.9,23.5,18.1,12.0,6.0,5.7,11.1
40,1930,1.1,3.5,6.2,11.2,13.7,19.0,24.5,23.5,17.8,11.8,5.9,3.0,11.8
41,1931,2.6,2.6,5.0,8.5,12.2,18.0,22.0,23.9,19.6,11.8,9.2,4.2,11.6
42,1932,2.4,1.6,2.7,7.5,13.0,17.7,23.6,23.6,18.2,10.0,7.2,4.2,11.0
43,1933,1.1,0.6,3.6,9.4,14.3,19.7,23.9,23.2,18.8,12.5,7.7,4.6,11.6
44,1934,-0.6,0.6,2.9,8.2,13.6,18.7,24.1,23.3,18.2,11.6,6.2,4.5,10.9
45,1935,1.7,2.4,4.7,9.0,13.2,17.0,23.2,23.4,18.7,12.7,8.5,2.9,11.5
46,1936,-0.7,0.2,1.5,8.7,12.7,18.8,22.5,23.4,19.5,12.2,6.6,4.5,10.8
47,1937,2.4,4.3,5.0,9.2,13.8,17.8,23.6,23.7,19.6,12.9,9.8,2.5,12.1
48,1938,0.3,0.3,5.7,8.7,15.2,18.7,22.5,23.1,17.5,14.7,5.5,2.9,11.3
49,1939,-0.2,1.2,4.5,9.3,13.1,18.2,23.9,22.7,18.4,13.0,7.8,1.1,11.1
50,1940,-1.1,0.4,3.0,7.0,11.8,17.3,24.2,22.6,19.4,13.1,7.6,2.3,10.6
51,1941,1.0,1.3,4.3,7.3,13.8,19.4,22.0,22.3,17.9,10.7,8.0,3.4,11.0
52,1942,-0.5,1.3,6.7,7.7,12.1,18.2,24.6,24.0,20.1,11.6,4.9,1.5,11.0
53,1943,-1.8,0.4,3.5,7.5,13.2,18.7,22.6,23.1,19.6,12.3,6.3,1.9,10.6
54,1944,-0.1,0.3,2.5,7.7,14.1,18.4,23.9,23.1,19.0,12.6,8.7,1.2,11.0
55,1945,-1.4,-0.9,3.8,8.5,11.8,17.8,22.1,23.4,20.6,13.4,6.9,1.7,10.6
56,1946,0.2,0.9,4.6,9.8,13.4,19.9,23.3,23.2,18.7,12.2,8.7,2.0,11.4
57,1947,2.3,-1.0,2.4,6.7,11.7,16.0,23.7,23.6,19.5,11.1,5.0,1.5,10.2
58,1948,0.6,2.1,4.5,9.9,13.1,18.1,23.3,22.7,19.9,14.2,7.1,6.0,11.8
59,1949,1.3,3.4,3.4,7.3,13.7,17.2,21.9,23.2,19.8,11.9,7.8,3.9,11.2
60,1950,2.9,2.7,4.1,9.7,14.0,17.8,23.3,22.5,19.4,12.8,8.2,1.7,11.6
61,1951,0.3,2.8,3.5,8.8,13.1,16.5,21.7,23.9,16.6,13.0,6.8,3.3,10.9
