,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,4.5,5.4,4.3,4.6,3.5,3.7,4.4,4.9,3.7,4.1,3.9,4.1,4.3
1,1952,4.4,4.4,4.8,4.5,3.5,4.2,3.3,4.1,3.3,3.4,4.0,4.5,4.0
2,1953,4.5,4.4,4.5,3.8,4.9,3.7,3.7,4.4,3.4,3.7,4.4,4.4,4.2
3,1954,4.9,4.6,4.7,4.0,3.9,4.9,3.7,3.6,4.9,4.6,4.7,4.7,4.4
4,1955,5.1,5.1,4.7,4.5,3.7,4.3,3.8,4.5,4.6,4.6,4.3,4.2,4.5
5,1956,5.6,5.1,4.0,4.8,3.7,3.9,3.6,3.8,4.0,4.1,3.8,4.6,4.3
6,1957,4.1,5.0,4.5,4.0,3.4,3.9,4.8,4.3,4.3,3.9,3.8,4.6,4.2
7,1958,5.4,4.9,4.3,4.1,3.7,3.4,4.0,4.2,4.4,3.7,4.1,4.2,4.2
8,1959,4.8,4.4,4.7,4.3,4.2,3.6,4.8,4.5,4.7,3.9,4.2,4.3,4.4
9,1960,4.4,4.8,4.2,4.0,3.9,4.1,3.4,4.5,3.9,4.7,3.3,4.7,4.2
10,1961,3.9,3.8,3.6,3.9,3.4,3.0,4.1,3.0,3.5,4.8,4.0,3.9,3.7
11,1962,3.5,3.9,4.2,3.5,2.9,2.8,3.6,3.6,3.5,3.1,3.8,3.9,3.5
12,1963,4.8,3.1,4.5,3.6,3.7,3.3,3.8,3.6,3.6,3.3,3.3,4.2,3.7
13,1964,4.1,3.9,3.7,4.3,3.0,4.2,4.7,3.9,4.2,3.0,3.7,3.4,3.8
14,1965,3.8,3.5,4.0,3.6,3.9,3.2,4.4,3.4,3.4,3.1,4.1,4.4,3.7
15,1966,4.0,4.2,4.5,3.5,3.9,3.1,4.2,3.4,4.2,3.5,3.4,3.1,3.8
16,1967,3.9,3.6,3.6,4.3,2.8,3.1,3.5,3.5,3.9,3.8,3.6,4.4,3.7
17,1968,4.3,3.8,3.5,2.7,3.4,2.9,3.8,3.5,3.9,4.0,3.3,4.0,3.6
18,1969,4.5,4.2,3.9,4.3,3.6,3.0,3.5,3.4,3.8,3.5,3.9,4.2,3.8
19,1970,3.6,4.4,3.5,4.3,3.2,3.1,3.2,3.8,3.4,3.1,3.9,3.7,3.6
20,1971,3.8,3.6,3.9,3.5,3.9,3.0,3.8,4.3,3.2,3.4,3.1,3.6,3.6
21,1972,3.9,4.2,2.8,3.8,3.4,3.2,3.9,3.4,3.4,3.5,4.2,3.8,3.6
22,1973,3.9,3.2,3.5,3.4,3.3,3.3,2.9,3.6,3.0,3.4,4.3,4.4,3.5
23,1974,3.2,3.3,3.6,4.2,3.3,2.9,2.9,3.8,3.2,3.3,3.5,3.4,3.4
24,1975,2.9,3.1,3.0,3.0,2.4,2.3,2.9,2.8,2.6,3.1,3.4,3.5,2.9
25,1976,3.9,2.8,2.7,2.9,3.0,2.9,2.6,2.8,3.2,2.5,3.4,3.4,3.0
26,1977,2.9,3.1,3.5,3.3,2.7,2.9,2.2,3.4,2.5,2.8,3.5,2.9,3.0
27,1978,3.9,3.5,3.1,3.5,2.6,2.5,2.3,2.9,3.1,2.9,3.0,3.0,3.0
28,1979,4.1,3.4,3.0,3.8,2.9,2.7,2.7,3.1,3.1,3.0,2.9,2.5,3.1
29,1980,3.7,3.2,2.7,2.9,2.7,2.7,2.5,2.6,2.9,3.5,2.8,3.6,3.0
30,1981,2.9,2.9,3.3,3.1,2.8,2.3,2.8,2.9,3.0,2.9,3.1,2.9,2.9
31,1982,2.9,2.4,3.1 ),2.6,3.3,2.7,2.4,3.3,3.5,2.5,3.3,3.0,2.9
32,1983,3.0,3.4,3.4,3.2,2.9,2.8,3.3,2.9,2.7,2.8,3.1,2.8,3.0
33,1984,2.9,3.2,3.3,3.0,2.7,2.7,3.1,2.9,3.2,3.4,3.2,3.4,3.1
34,1985,3.3,3.7,3.2,2.9,2.6,2.7,2.7,2.6,3.2,3.0,3.7,3.1,3.1
35,1986,3.4,3.0,3.3,2.8,3.1,2.8,2.4,3.2,2.7,2.9,2.7,3.5,3.0
36,1987,3.6,3.9,3.3,2.8,2.5,2.7,2.7,2.8,3.2,3.4,3.1,3.9,3.2
37,1988,4.1,3.8,3.9,3.6,3.1,3.0,3.3,2.7,3.4,3.2,4.1,3.5,3.5
38,1989,3.5,3.1,3.5,3.1,3.4,3.2 ),3.1,3.5,2.8,2.9,3.1,3.6,3.2
39,1990,3.4,3.6,3.5,3.6,3.1,3.3,2.9,3.0,3.4,2.8,3.4,4.1,3.3
40,1991,3.6,3.7,3.5,2.9,3.6,3.2,4.0,3.5,3.3,3.2,2.9,3.5,3.4
41,1992,3.5,3.5,3.6,3.8,3.4,2.7,3.7,3.2,3.3,3.1,3.4,3.6,3.4
42,1993,3.8,4.3,2.9,3.9,3.3,2.9,3.4,2.7,2.4,3.2,3.6,3.4,3.3
43,1994,3.1,3.2,3.3,3.1,3.5,2.9,3.5,3.1,2.9,3.4,3.6,3.7,3.3
44,1995,3.6,2.9,4.0,3.6,3.0,2.9,3.6,3.4,3.1,3.0,3.8,3.7,3.4
45,1996,3.8,3.8,3.6,3.2,2.9,3.4,3.1 ),3.0,2.6,2.9,3.6,3.4,3.3
46,1997,4.0,3.3,3.6,3.3,3.6,2.6,4.0,3.0,3.7,3.4,3.1,3.5,3.4
47,1998,4.1,3.8,3.4,3.3 ),2.9,3.8,3.6,3.4,2.9,3.0,3.8,3.9,3.5
48,1999,3.7 ),3.4,3.6,3.5,3.6,2.9,3.1,3.2,3.4,2.8,3.1,3.8,3.3
49,2000,3.9,3.4,3.7,3.9,3.2,2.7,3.8,2.9,3.8,3.0,3.4,3.7,3.5
50,2001,4.1,3.4,4.0,3.7,3.2,3.7,3.0,3.1,3.6,3.2,3.0,3.4,3.5
51,2002,4.5,3.0,3.7,3.7,3.1,2.8,3.2,3.5 ),3.2,3.4,4.1,3.9,3.5
52,2003,3.9,3.0,3.2,3.2,3.0,2.8,2.9,3.0,3.2,2.8,4.0 ),3.9,3.2
53,2004,3.5,4.1,3.3,3.7,3.1,2.6,3.8,3.4,3.6,3.5 ),2.8,3.2,3.4
54,2005,3.9,3.6,3.9,4.3,2.8,3.1,3.0,3.0,3.9,3.2,3.0,4.3,3.5
55,2006,3.1,3.7,3.8,4.3,3.4,2.9,3.1,2.9,3.7,2.8,4.1,3.2,3.4
56,2007,2.9,3.7,3.8,3.2,3.8,3.0,3.0,2.9,3.3,3.2,3.6,3.7,3.3
57,2008,3.3,3.4,3.4,3.6,3.3,3.1,2.9,3.6 ),2.8,2.8,3.7,3.8,3.3
58,2009,3.9 ),3.4,3.7,3.4,3.0,3.2,3.7,3.2,3.0,3.2,3.5,4.0,3.4
59,2010,3.7,3.7,4.1,3.7,3.4,2.6,2.8,2.9,3.0,3.3,3.2,4.3 ),3.4
60,2011,3.4,3.3,3.0,3.9,3.7,3.5,3.0,3.0,3.2,2.9,2.9,3.4,3.3
61,2012,3.1,3.2,3.7,3.9,2.9,2.8,2.6,3.0,2.6,2.8,3.9 ),3.9,3.2
62,2013,3.3,3.3,3.7,3.8,2.9,2.5,4.7,2.9,2.6,3.3,4.1,3.9,3.4
63,2014,3.3,3.3,3.6,2.9,3.3,2.6,3.0,3.0,2.3,3.3,3.0,4.3,3.2
