,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1883,7.2,6.8,10.5,16.2,20.1,23.9,29.4,30.8,25.9,21.0,14.2,8.6,17.9
1,1884,6.9,5.4,9.9,15.7,20.4,23.9,28.1,28.2,25.4,18.8,12.3,7.0,16.8
2,1885,5.3,4.7,8.4,15.5,20.4,23.3,26.7,30.8,26.6,21.0,14.4,10.3,17.3
3,1886,5.7,4.7,11.5,16.0,20.1,25.9,30.2,31.8,26.0,20.5,14.6,8.5,18.0
4,1887,7.2,7.2,10.5,16.6,18.8,23.9,28.7,30.6,25.5,21.6,15.9,10.3,18.1
5,1888,7.2,5.5,11.9,16.1,21.6,23.6,29.7,30.5,24.8,21.0,16.5,11.7,18.3
6,1889,5.3,6.7,11.2,15.8,20.2,25.6,26.5,30.2,23.9,20.6,14.8,10.0,17.6
7,1890,8.1,10.7,11.8,17.2,21.1,25.9,28.9,29.9,27.6,19.7,16.2,13.5,19.2
8,1891,5.8,7.0,12.5,16.3,23.7,24.1,27.2,29.7,28.0,22.2,16.2,11.2,18.7
9,1892,6.9,8.0,8.7,17.1,20.8,25.3,31.1,30.8,27.5,20.5,14.7,7.3,18.2
10,1893,5.9,5.6,10.8,16.7,20.0,24.6,30.9,31.6,28.7,20.5,13.9,9.6,18.2
11,1894,7.3,8.2,11.8,17.7,21.6,28.2,32.2,32.2,25.6,20.9,17.3,10.4,19.5
12,1895,6.0,7.7,11.5,18.0,23.3,24.4,26.2,30.5,27.0,21.8,16.1,9.7,18.5
13,1896,7.6,7.1,9.1,18.6,22.3,26.5,27.6,30.3,25.5,21.1,16.3,9.4,18.5
14,1897,8.7,7.0,10.1,15.1,21.3,23.9,28.8,31.6,25.5,20.9,16.6,8.1,18.1
15,1898,9.6,8.3,10.4,16.1,22.0,24.9,30.4,30.9,26.1,21.9,16.7,10.9,19.0
16,1899,7.6,8.5,12.4,17.3,22.8,26.8,29.4,29.6,24.7,18.7,14.4,11.8,18.7
17,1900,5.5,7.3,10.5,16.2,22.0,24.9,27.0,30.8,26.4,21.0,16.0,9.7,18.1
