,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1937,4.9,5.3,6.0,8.5,12.0,17.1,25.9,27.9,17.9,12.3,9.5,5.5,12.7
1,1938,4.8,4.7,6.8,8.8,14.4,18.3,25.7,27.2,19.6,13.2,8.8,5.5,13.2
2,1939,4.5,4.7,5.6,8.9,12.1,17.1,24.9,25.5,20.9,14.1,8.7,5.9,12.7
3,1940,4.4,4.7,5.7,8.0,11.2,17.1,24.9,23.5,18.1,12.9,10.0,6.1,12.2
4,1941,5.3,4.8,5.9,7.6,11.9,17.1,21.5,23.7,17.1,12.1,8.4,6.0,11.8
5,1942,4.7,4.3,6.5,8.0,11.3,18.0,25.9,24.3,19.5,12.0,7.7,5.7,12.3
6,1943,4.3,4.7,5.2,7.9,12.4,17.9,25.2,27.9,22.0,13.5,8.4,5.6,12.9
7,1944,4.4,4.4,5.6,8.1,12.9,19.1,24.5,26.3,18.1,12.3,8.5,5.3,12.5
8,1945,4.1,4.0,5.5,8.1,11.5,17.7,19.9,28.0,19.6,14.3,8.7,5.7,12.3
9,1946,5.2,5.1,5.5,9.3,12.0,19.2,24.7,26.4,18.5,13.5,10.1,5.6,12.9
10,1947,5.1,4.5,5.5,8.0,11.9,16.3,24.8,26.1,18.7,11.5,7.7,5.1,12.1
11,1948,5.3,4.8,5.9,9.3,12.7,18.4,25.6,25.9,19.2,12.4,8.3,7.2,12.9
12,1949,6.1,6.1,5.1,8.1,13.3,16.9,23.3,25.5,19.9,12.9,8.3,6.1,12.6
13,1950,5.4,5.3,6.0,9.0,13.8,19.1,25.6,26.8,21.5,11.6,9.1,6.1,13.3
14,1951,4.7,5.3,6.2,8.9,12.7,17.3,23.3,26.7,16.4,13.4,8.8,7.4,12.6
15,1952,5.4,4.4,6.0,8.8,12.2,18.4,24.1,26.0,19.3,12.8,8.6,5.8,12.7
16,1953,5.0,4.8,6.9,8.4,12.2,17.8,23.9,23.9,19.0,12.9,7.8,6.6,12.4
17,1954,5.3,6.0,6.3,9.8,12.5,15.6,20.7,25.0,21.3,11.6,8.2,6.1,12.4
18,1955,5.1,5.4,6.4,8.8,12.8,18.7,26.2,25.0,17.9,13.3,8.3,6.9,12.9
19,1956,5.1,4.8,6.3,8.0,12.6,17.6,22.8,22.9,19.8,13.1,8.8,5.4,12.3
20,1957,5.2,4.8,5.3,8.8,12.4,15.5,22.6,25.6,17.1,12.8,8.7,6.5,12.1
21,1958,5.1,5.5,6.0,8.3,11.5,17.2,23.7,24.4,19.5,12.1,8.3,6.9,12.4
22,1959,4.9,5.9,7.0,9.3,12.7,17.4,23.1,24.4,20.0,13.3,8.9,6.5,12.8
23,1960,5.2,5.7,6.4,8.2,12.8,17.7,23.3,25.8,20.1,12.5,9.6,6.4,12.8
24,1961,5.0,4.9,5.7,8.6,13.4,18.2,26.2,25.6,21.9,13.4,9.1,6.6,13.2
25,1962,5.6,5.3,5.9,9.0,13.1,17.0,24.7,25.8,20.5,12.1,8.7,6.6,12.9
26,1963,5.1,5.4,5.7,9.2,13.5,18.4,24.5,25.2,16.9,12.4,8.9,6.8,12.7
27,1964,5.4,4.9,5.9,10.1,13.1,17.2,23.6,27.1,18.0,11.8,8.6,6.2,12.7
