,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1891,40,37,53,46,47,39,36,36,34,42,32,29,40
1,1892,29,44,38,46,51,47,43,44,34,45,37,38,42
2,1893,28,39,48,35,24,30,39,42,53,54,25,29,37
3,1894,32,34,41,47,42,53,41,44,44,45,38,31,42
4,1895,38,31,38,47,40,39,53,56,48,53,34,38,44
5,1896,29,41,43,54,53,43,35,30,32,46,30,26,39
6,1897,30,42,47,48,47,31,40,56,42,46,34,35,42
7,1898,20,26,30,54,40,45,32,34,36,52,33,24,37
8,1899,31,37,51,46,56,37,44,32,60,43,25,32,42
9,1900,30,39,42,49,37,54,43,40,40,42,30,29,41
10,1901,20,34,50,56,55,29,39,35,35,55,40,35,41
11,1902,42,35,36,47,40,43,39,52,46,55,43,19,42
12,1903,27,37,45,51,39,40,31,47,49,48,27,31,40
13,1904,40,50,46,66,55,44,40,63,48,47,31,26,47
14,1905,29,35,56,48,47,33,54,44,49,53,38,35,44
15,1906,39,41,43,41,44,46,42,49,59,45,37,19,43
16,1907,30,47,48,38,33,36,48,33,37,42,22,22,37
17,1908,33,46,38,53,34,40,39,49,42,52,26,29,41
18,1909,41,33,46,42,39,53,40,51,46,43,39,37,43
19,1910,42,41,56,55,46,43,44,47,39,60,29,41,46
20,1911,35,50,47,47,54,43,35,40,53,34,26,33,42
21,1912,32,35,42,53,53,36,33,44,46,42,34,28,41
22,1913,36,43,45,57,48,35,23,52,49,46,29,20,41
23,1914,16,45,41,57,54,42,45,36,44,57,28,32,42
24,1915,37,35,44,46,50,45,29,46,50,40,40,31,42
25,1916,26,35,46,49,41,37,59,67,45,52,38,27,45
26,1917,35,40,48,43,46,45,33,59,46,46,32,43,43
27,1918,35,40,42,53,39,38,35,40,33,55,29,31,39
28,1919,29,40,34,53,53,42,58,48,35,42,34,30,43
29,1920,20,43,52,42,27,45,46,32,52,49,36,36,40
30,1921,31,39,44,46,50,53,35,45,37,46,37,32,42
31,1922,47,36,40,63,45,50,36,35,50,44,34,23,43
32,1923,35,49,45,53,47,40,34,53,32,47,33,31,42
33,1924,28,34,41,48,53,45,53,58,48,43,23,30,44
34,1925,21,43,37,48,49,64,51,47,45,46,32,28,44
35,1926,24,28,36,41,46,50,37,49,37,34,25,20,37
36,1927,35,42,43,45,40,53,37,42,50,47,34,21,42
37,1928,21,41,43,60,42,37,53,61,31,46,38,28,43
38,1929,31,38,40,44,45,40,39,41,51,41,36,28,40
39,1930,36,31,35,55,50,41,46,37,45,53,32,36,42
40,1931,27,43,38,35,35,32,23,43,45,56,37,18,36
41,1932,40,40,41,44,47,53,25,37,36,58,34,29,41
42,1933,29,41,45,56,53,47,43,45,41,42,35,31,43
43,1934,35,28,43,54,38,32,48,43,42,50,34,33,41
44,1935,39,23,34,48,49,33,38,37,47,38,29,26,38
45,1936,31,23,39,40,38,40,30,40,40,49,35,28,37
46,1937,38,36,36,52,36,53,31,46,50,46,35,26,41
47,1938,36,36,44,42,43,51,49,58,42,52,27,36,44
48,1939,28,36,39,50,44,40,46,53,44,46,42,32,42
49,1940,45,34,51,49,44,29,32,53,43,56,39,41,43
50,1941,34,47,45,51,50,51,30,27,41,42,49,38,42
51,1942,45,47,43,50,49,46,45,41,47,54,38,36,45
52,1943,40,45,51,56,41,62,49,49,38,46,39,35,47
53,1944,35,41,43,53,52,39,48,53,44,54,44,39,46
54,1945,36,36,41,49,33,42,35,41,52,36,28,26,38
55,1946,22,40,41,54,37,46,47,66,62,47,48,44,47
56,1947,41,41,43,36,55,51,45,40,43,46,41,37,44
57,1948,34,33,48,50,56,50,35,64,43,46,44,36,46
58,1949,36,31,40,40,48,48,42,51,48,51,35,33,43
59,1950,21,34,46,63,53,41,50,57,38,43,35,24,44
60,1951,35,29,42,39,46,37,49,55,51,50,33,37,43
61,1952,37,51,48,47,54,50,38,38,46,48,39,34,45
62,1953,24,45,39,48,44,51,37,52,57,55,34,32,44
63,1954,31,35,45,53,44,46,47,31,42,52,49,24,42
64,1955,28,40,45,51,43,47,59,48,46,35,36,37,44
65,1956,39,43,38,60,64,37,30,46,58,47,38,31,45
66,1957,35,43,46,59,66,48,49,33,49,52,51,40,48
67,1958,30,37,55,54,53,52,51,47,51,48,44,32,47
68,1959,37,39,38,54,54,45,32,52,45,57,35,31,44
69,1960,33,42,43,54,41,42,45 ),57,55,51,42,36,×
70,1961,48,35,49,49,53,55,51,46,51 ),41,36,28,46
71,1962,31,42,40,55,48,47,41,27,39,58 ),37,34,42
72,1963,32,45,43,44,61,40,31,28,53,49,33,28 ),41
73,1964,35 ),38,41 ),47,50,35,30,28,51,46,31,28,39
74,1965,30,26 ),45,50,44 ),47,32,41,45,51,32,22,40
75,1966,34,40,33,42,46,44,34,37,45,39,42,28,39
76,1967,32,48,48,50,47,37,37,53,39,57,45,35,44
77,1968,38,53,45,54,35,53,48,40,48,48,43,36,45
78,1969,46,48,56,45,42,34,48,30,59,53,47,41,45
79,1970,48,44,46,63,53,49,45,48,60,55,41,47,50
80,1971,41,48,47,55,43,47,30,46,52,53,36,39,45
81,1972,37,45,64,59,47,39,51,41,50,53,33,30,46
82,1973,36,43,52,58,47,53,42,45,49,40,36,37,45
83,1974,45,41,54,41,50,36,53,43,41,39,42,45,44
84,1975,38,44,47,51,43,43,21,46,47,49,42,35,42
85,1976,44,35,45,52,56,42,52,47,42,48,29,41,45
86,1977,46,46,47,44,49,54,40,45,45,55,38,35,46
87,1978,32,49,48,35,49,46,49,50,54,45,46,40,46
88,1979,34,44,38,41,46,41,47,55,49,47,40,37,44
89,1980,39,42,51,36,48,45,39,32,51,46,51,34,43
90,1981,46,47,44,51,43,38,42,36,56,59,43,31,45
91,1982,38,50,46,55,47,58,61,50,54,65,36,35,50
92,1983,46,39,52,61,48,33,38,46,44,54,41,43,45
93,1984,54,43,59,58,52,50,42,54,57,51,50,43,51
94,1985,42,37,51,52,60,54,37,58,54,49,41,45,49
95,1986,36,42,38,42,36,50,29,43,50,43,32,34,40
96,1987,27,35,34,44,45,51,32,20,40,53,35,39,38
97,1988,29,42,48,47,41,35,49,43,41,42 ),39,28,41
98,1989,37,42,31,41,48,48,44,51,32,42,31,32,41
99,1990,37,33,57,50,49,36 ),45,39,43,53,31,24,42
100,1991,29,33,33,45,56,45,30,49,44,36,31,26,39
101,1992,22,39,41,37,43,36,34,32,35,46,34,28,36
102,1993,27,23,40,41,38,28,44,41,38,42,33,23,35
103,1994,45,23,31,50,51,48,47,42,37,52,37,31,42
104,1995,31,44,50,40,35,32,29,25,46,38,28,29,35
105,1996,28,36 ),40,36,31,36,26,41,40,40,36,32,35
106,1997,35,34,44,48,35,36,44,26,39,41,27,30,37
107,1998,31,42 ),46,51,49,38,32,23,39,45,32,25,38
108,1999,21,31,32,40,37,42,28,49,44,40,34,30 ),36
109,2000,31,40 ),35,35,32,37,29,45,30,44,36,34,36
110,2001,39,33,39,50 ),47,42,26,48,39,38,34,25,39
111,2002,26,43,38,48,49,42,28,24,47,37,28,38 ),38
112,2003,35,37,43,40 ),51 ),48,40,35,39,40,36,30,40
113,2004,30,35,38,42,39,41,35,39,40,41,38,25,37
114,2005,25,33,37,31,39,43,34,47,42 ),49 ),36,40,38
115,2006,23,31,31,30,52,33,43,47 ),50 ),50,33,33,39
116,2007,25,26,35,44,41,49,49,38,33,44,41,30,39
117,2008,32,36,44,48,41,42,32,44,54,47,43,31,41
118,2009,30,23,31,56,57,29,18,36,49,37,26,36,36
119,2010,29,32,31,31,41,49,16,37,48,42,31,20,34
120,2011,40,48,43 ),41,35,36,37,50,34,38,40,33,39
121,2012,45,44,39,42,46,47,44,34,44,45,27,25,41
122,2013,38,38,32,32,31,51,46,33,40,37,34,27,37
123,2014,30,41,42,64,46,40,46,42,50,43,37,24,43
124,2015,35,33,39,55,58,33,38,37,41,44,37,33,41
125,2016,30,33,45,44,51,34,46,52,41,42,31,28,41
126,2017,27,30,50,48,47,36,43,43,49,45,32,30,41
127,2018,31,39,43,46,45,35,38,29,49,47,37,27,39
128,2019,35,39,43 ],　,　,　,　,　,　,　,　,　,39 ]
