,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,4.1,4.8,4.7,3.6,3.5,2.8,3.9,3.7,3.0,3.9,3.8,3.6,3.8
1,1952,2.4,2.6,2.6,2.6,2.0,2.1,1.9,2.2,2.2,1.9,2.1,2.1,2.2
2,1953,3.7,3.0,3.1,2.5,2.6,2.5,2.1,2.1,2.0,2.2,2.6,2.7,2.6
3,1954,2.8,3.4,2.8,2.8,2.1,2.6,2.3,2.3,2.7,2.2,1.9,2.7,2.6
4,1955,3.2,2.7,2.4,2.7,2.5,2.3,2.7,2.7,3.0,3.2,2.4,2.2,2.7
5,1956,3.4,3.6,3.1,2.8,2.5,2.6,2.4,3.0,2.8,2.8,2.6,3.3,2.9
6,1957,3.1,3.0,3.2,2.5,2.5,2.4,3.0,2.7,2.9,2.4,2.4,3.4,2.8
7,1958,3.6,2.6,3.5,2.7,2.6,2.3,2.3,2.2,3.0,2.7,2.5,2.7,2.7
8,1959,3.2,2.9,3.3,3.4,2.7,2.5,2.5,2.8,3.3,2.7,2.7,2.9,2.9
9,1960,3.3,2.9,3.1,3.0,2.7,2.5,2.3,2.7,2.2,3.6,2.4,3.4,2.8
10,1961,3.0,2.8,2.3,2.5,2.3,2.0,2.5,2.2,2.3,3.2,2.6,2.6,2.5
11,1962,3.3,2.8,3.0,2.9,2.1,1.9,2.4,2.4,2.5,2.7,2.8,2.6,2.6
12,1963,4.6,3.1,2.7,2.8,2.2,2.6,2.3,2.6,2.1,2.5,2.3,2.5,2.7
13,1964,2.9,2.8,3.0,2.3,2.3,2.5,2.3,2.9,2.2,2.5,2.4,2.3,2.5
14,1965,3.2,3.0,3.0,2.8,2.5,2.0,2.6,2.3,2.7,2.3,2.8,3.2,2.7
15,1966,2.7,2.6,3.3,2.9,3.0,2.3,2.2,2.5,2.9,2.6,2.8,2.5,2.7
16,1967,3.0,2.9,2.6,2.7,2.0,2.3,2.4,2.2,2.9,2.9,2.4,2.8,2.6
17,1968,3.5,3.3,2.8,2.3,2.4,2.1,2.2,2.2,2.5,2.8,2.2,2.6,2.6
18,1969,2.8 ),2.7,2.7,2.9,2.3,2.2,2.3,2.3,2.4,2.8,2.8,2.9,2.6
19,1970,2.8,2.5,3.0,2.5,2.4,1.9,2.2,2.9,2.3,2.2,2.6,2.7,2.5
20,1971,2.9,2.9,2.7,2.2,2.1,2.0,2.1,3.1,2.2,2.5,2.6,2.6,2.5
21,1972,2.9,3.1,2.9,2.6,2.5,2.3,2.9,2.4,2.3,2.2,3.0,2.7,2.7
22,1973,2.6,2.4,2.7,2.4,2.4,1.9,2.2,2.1,2.1,2.4,2.9,3.1,2.4
23,1974,2.5,3.1,2.9,2.7,2.4,2.1,1.9,2.5,2.1,2.1,2.3,2.4,2.4
24,1975,2.8,2.7,2.9,2.5,2.0,1.8,2.0,2.1,1.8,2.4,2.5,2.3,2.3
25,1976,3.0,2.3,2.3,2.1,2.0,1.6,2.1,1.7,2.2,2.1,2.5,2.8,2.2
26,1977,2.2,2.6,2.8,2.6,2.0,1.7,1.6,2.0,1.8,1.9,2.5,2.0,2.1
27,1978,3.0 ),2.8 ),2.8,2.2,1.8,1.7,1.9,1.8,2.1,2.1,2.0,1.9,2.2
28,1979,2.3,2.6,2.4,2.3,2.2,1.9,1.8,1.9,2.1,2.0,2.2,2.0,2.1
29,1980,2.8,2.6,2.2,2.5,2.2,1.8,1.7,1.7,1.9,2.2,1.6,3.0,2.2
30,1981,2.6,2.7,2.3,2.1,1.9,1.7,1.9,1.8,2.0,2.0,1.8,1.9,2.1
31,1982,2.5,1.9,2.2,2.3,1.9,1.7,1.8,2.1,2.1,1.9,2.2,2.1,2.1
32,1983,2.3,2.6,2.4,2.3,1.9,1.9,1.8,2.2,2.1,1.7,2.4,2.5,2.2
33,1984,2.1,2.4,2.5,2.3,1.8,1.9,1.9,2.5,2.0,2.3,2.1,2.6,2.2
34,1985,2.2,2.7,2.2,2.6,2.1,1.8,2.2,2.7,2.0,2.3,2.8,2.8,2.4
35,1986,2.8,2.8,2.5,2.2,2.2,2.0,1.8,2.2,2.1,2.2,1.8,2.4,2.3
36,1987,2.8,2.8,2.4,2.2,2.1,2.0,2.0,2.0,2.3,2.2,2.1,1.9,2.2
37,1988,2.4,2.6,2.6,2.5,2.3,1.9,1.8,2.1,2.0,2.1,2.7,2.4,2.3
38,1989,2.4,2.3,2.5,2.3,1.9,2.0,2.0,2.2,1.6,2.1,2.3,2.1,2.1
39,1990,2.5,2.4,2.7,2.8,2.2,2.0,1.9,2.0,2.1,2.1,2.0,2.6,2.3
40,1991,2.6,2.8,2.1,2.2,2.1,1.7,2.1,2.4,2.1,2.5,1.9,2.1,2.2
