,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1927,164.5,183.1,199.7,190.5,246.6,246.9,116.1,152.6,106.0,165.5,137.5,144.8,2053.8
1,1928,133.5,153.0,185.9,212.1,202.5,136.5,79.6,91.2,153.3,148.6,142.6,128.2,1767.0
2,1929,158.4,175.5,189.7,193.8,138.2,138.0,212.2,216.8,120.5,116.6,109.3,100.5,1869.5
3,1930,137.6,130.2,164.0,169.1,202.6,166.3,85.2,174.7,157.8,164.5,138.7,106.4,1797.1
4,1931,133.1,127.8,236.7,187.1,243.4,122.2,108.1,156.9,124.7,148.6,152.1,138.6,1879.3
5,1932,144.7,156.4,204.0,182.2,225.8,96.7,138.4,135.6,68.8,160.3,133.8,123.9,1770.6
6,1933,124.4,141.4,151.7,201.5,206.0,165.1,156.4,169.0,204.2,154.3,152.0,150.6,1976.6
7,1934,166.5,157.1,199.8,184.7,200.8,183.7,85.0,121.3,59.9,131.3,130.4,161.3,1781.8
8,1935,141.4,145.1,187.4,213.6,189.9,187.5,112.0,112.1,69.3,180.0,151.8,126.2,1816.3
9,1936,128.2,159.4,200.2,170.0,186.1,176.0,183.2,139.9,102.9,167.6,138.2,108.5,1860.2
10,1937,130.3,150.1,188.0,191.9,206.7,186.2,95.8,219.0,143.1,136.0,103.4,130.7,1881.2
11,1938,163.3,178.0,176.0,182.9,187.5,103.9,84.1,166.0,145.0,107.6,157.3,118.8,1770.4
12,1939,137.9,184.2,210.0,217.8,155.7,157.8,206.9,172.3,136.5,145.2,146.9,136.4,2007.6
13,1940,165.6,163.5,231.4,198.3,247.1,194.3,127.3,133.6,126.0,203.5,130.2,127.4,2048.2
14,1941,135.4,178.2,170.5,202.8,221.1,133.1,62.5,76.4,130.0,212.2,140.8,154.8,1817.8
15,1942,174.8,142.6,196.3,243.6,222.7,194.0,190.0,174.3,142.2,181.8,155.2,117.5,2135.0
16,1943,180.8,159.7,225.2,232.7,205.4,182.1,189.6,221.0,128.5,137.2,161.7,157.9,2181.8
