,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1941,5.5,5.8,5.3,6.3,7.8,8.3,7.7,6.9,8.0,5.0,5.8,5.5,6.5
1,1942,4.7,7.4,6.9,6.1,6.3,8.8,3.8,6.2,6.0,4.5,3.7,4.7,5.8
2,1943,4.3,3.8,5.5,5.8,6.6,8.6,8.5,7.0,6.3,5.2,5.2,3.5,5.9
3,1944,4.8,4.5,4.3,6.1,7.3,6.9,7.3,4.8,5.7,7.1,5.9,6.1,5.9
4,1945,5.2,6.2,5.7,4.5,6.4,8.3,7.8,5.9,7.4,7.1,4.0,5.6,6.2
5,1946,4.4,4.2,6.5,6.6,7.5,8.9,5.7,7.0,6.4,6.0,5.4,5.7,6.2
6,1947,5.3,5.0,5.1,4.9,7.1,8.2,7.7,4.6,5.9,5.5,4.9,5.0,5.8
7,1948,5.4,5.1,5.8,6.0,7.6,6.9,8.3,5.9,6.5,6.3,4.6,5.8,6.2
8,1949,5.2,5.4,5.8,5.9,7.5,8.6,7.9,5.5,6.9,5.9,6.2,5.4,6.4
9,1950,5.3,6.2,6.3,7.1,7.7,7.2,7.2,6.5,7.7,5.6,6.5,4.5,6.5
10,1951,4.9,5.6,5.1,8.1,5.8,8.1,7.4,4.7,6.9,7.0,5.4,3.6,6.1
11,1952,4.6,6.6,5.5,5.6,7.3,8.4,7.3,4.7,6.1,4.6,5.6,4.1,5.9
12,1953,4.2,5.3,5.6,6.4,7.1,8.4,7.3,6.3,6.9,5.9,5.5,5.1,6.2
13,1954,5.6,4.2,5.4,6.9,8.3,8.6,8.8,4.6,6.0,6.7,5.4,4.1,6.2
14,1955,4.3,5.0,7.3,6.9,7.4,9.1,7.9,5.2,5.8,5.8,4.0,2.6,5.9
15,1956,4.9,4.3,6.5,6.3,8.8,8.2,6.3,6.1,8.0,6.5,4.5,3.5,6.2
16,1957,4.3,5.5,4.9,6.4,7.0,8.2,8.2,6.9,8.9,4.9,4.7,4.7,6.2
17,1958,5.4,5.0,6.0,7.1,7.1,7.7,7.1,7.2,5.4,7.5,5.1,4.1,6.2
18,1959,5.6,7.4,5.4,6.5,7.0,7.4,6.8,5.5,6.3,5.9,4.3,5.2,6.1
19,1960,3.7,3.7,6.2,6.3,7.2,8.4,5.1,6.8,7.8,5.0,5.4,4.5,5.8
