,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1883,5.5,5.3,7.3,12.5,16.4,20.4,24.6,26.5,22.4,18.6,11.8,6.8,14.8
1,1884,5.1,3.8,7.8,12.3,16.3,19.8,24.6,25.0,23.4,16.3,10.5,5.1,14.2
2,1885,4.2,3.8,6.5,12.1,16.7,20.4,23.4,26.6,23.6,18.2,11.7,7.6,14.6
3,1886,4.0,2.9,8.0,12.8,16.5,20.1,25.2,26.2,22.9,18.1,12.2,6.7,14.6
4,1887,5.4,5.6,7.6,13.2,16.0,19.9,24.7,26.1,22.8,18.6,12.5,7.8,15.0
5,1888,6.2,3.8,9.2,13.1,17.1,19.9,25.1,26.7,22.4,17.4,13.7,9.2,15.3
6,1889,4.0,5.1,8.3,12.2,15.8,21.4,23.7,26.0,21.6,17.3,11.8,7.5,14.6
7,1890,6.0,8.2,9.2,13.9,17.2,21.4,24.5,25.8,24.0,17.2,13.3,10.9,16.0
8,1891,4.2,5.5,8.7,12.6,17.6,20.5,24.0,25.5,24.1,18.6,13.2,8.2,15.2
9,1892,5.3,5.6,6.2,13.0,16.6,21.0,26.3,26.8,23.5,16.9,11.9,6.0,14.9
10,1893,4.5,3.5,7.6,12.6,16.0,19.7,26.5,26.7,24.3,17.1,10.8,7.3,14.7
11,1894,5.6,6.2,8.9,14.1,17.7,23.1,27.1,28.3 ),23.2,18.1,13.9,8.1,16.2
12,1895,4.1,5.1,8.2,13.4,17.6,21.0,23.5,26.8,23.1,18.3,13.1,7.5,15.1
13,1896,5.5,4.9,6.3,13.7,16.4,21.5,24.2,26.3,22.3,17.9,13.0,7.1,14.9
14,1897,6.3,4.1,8.4,12.5,17.2,20.6,24.8,27.3,22.9,17.1,14.2,6.0,15.1
15,1898,7.5,6.2,7.9,12.6,17.4,20.9,26.2,27.2,24.2,19.1,14.3,8.8,16.0
16,1899,5.1,6.2,9.4,13.5,18.8,22.7,26.0,26.2,21.9,15.5,11.6,9.4,15.5
17,1900,4.0,5.0,8.0,13.0,17.6,21.0,23.8,27.0,23.8,18.1,12.9,7.6,15.2
18,1901,7.8,3.7,7.8,13.3,16.3,20.5,22.6,26.2,22.5,18.4,12.2,6.5,14.8
19,1902,6.0,5.4,9.8,11.9,16.7,20.2,23.6,24.5,21.8,17.4,14.5,10.1,15.2
20,1903,6.5,5.9,9.5,13.3,16.5,20.1,23.0,26.9,24.3,17.7,11.6,6.7,15.2
21,1904,4.6,6.2,7.9,13.5,16.5,21.0,25.2,27.0,22.2,17.2,11.4,8.7,15.1
22,1905,8.0,4.7,7.9,12.0,16.9,20.2,24.6,24.2,22.8,17.9,12.9,9.9,15.2
23,1906,5.0,4.5,7.6,13.1,17.3,20.1,24.2,26.0,22.5,17.3,11.6,7.6,14.7
24,1907,6.6,3.8,7.8,13.0,17.3,20.2,23.7,26.5,22.1,17.9,13.2,7.2,14.9
25,1908,6.5,5.4,8.2,12.8,16.9,20.9,23.6,26.1,22.2,17.9,11.6,8.7,15.1
26,1909,5.7,4.6,7.1,13.3,16.9,20.5,24.5,26.2,23.7,17.2,13.0,7.0,15.0
27,1910,6.7,4.3,7.2,12.3,16.9,20.9,24.8,26.2,22.4,17.3,12.2,6.0,14.8
28,1911,5.4,5.8,8.8,12.7,17.1,20.6,24.6,26.2,24.3,17.0,13.1,7.2,15.2
29,1912,4.9,7.6,9.1,13.1,16.7,21.0 ),24.0,26.3,21.6,16.7,10.9,7.6,15.0
30,1913,5.0,5.2,7.5 ),13.9,16.4,20.3,23.8,25.3,21.6,17.4,12.6,7.1,14.7
