,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1957,　,　,　,　,　,　,　,　,83,86,86,90,86 ]
1,1958,89,88,82,75,74,79,87,87,88,85,86,85,84
2,1959,87,86,83,74,77,82,87,85,85,87,86,91,84
3,1960,88,87,81,76,78,81,86,85,86,85,85,89,84
4,1961,91,85,81,72,75,82,86,86,85,83,85,89,83
5,1962,88,85,80,78,74,83,85,85,85,88,87,87,84
6,1963,89,88,81,78,77,84,88,85,85,85,87,86,84
7,1964,82,84,79,80,74,82,86,87,87,85,85,89,83
8,1965,87,82,82,77,74,80,87,82,85,86,84,90,83
9,1966,84,84,81,74,76,82,87,85,86,87,89,91,84
10,1967,89,83,79,74,75,82,87,87,89,84,84,93,84
11,1968,87,88,83,80,80,82,84,88,84,85,87,89,85
12,1969,88,87,82,79,74,83,86,87,88,82,87,88,84
13,1970,88,82,81,76,70,80,84,83,85,85,87,86,82
14,1971,85,83,81,70,71,81,84,83,84,84,84,86,81
15,1972,82,82,79,73,75,78,81,85,84,82,83,87,81
16,1973,88,85,81,71,73,80,79,83,86,84,86,88,82
17,1974,85,87,83,75,71,79,87,85,85,85,86,85,83
18,1975,90,89,83,73,76,81,85,82,84,86,87,88,84
19,1976,89,90,80,77,72,82,82,87,86,88,84,88,84
20,1977,88,86,82,76,78,80,84,84,85,85,87,86,83
21,1978,85,88,82,73,73,84,80,81,85,84,86,86,82
22,1979,85,85,81,76,77,83,85,83,85,85,85,88,83
23,1980,88,88,79,76,73,78,85,83,84,86,85,92,83
24,1981,91,87,81,78,79,84,86,84,84,85,84,89,84
25,1982,87,87,82,73,75,76,78,80,82,82,85,87,81
26,1983,81,88,81,70,72,78,84,82,84,80,88,91,82
27,1984,93,85,84,80,77,78,83,78,84,82,83,87,83
28,1985,84,84,83,77,76,78,86,80,86,87,87,85,83
29,1986,81,83,78,73,71,75,82,78,81,82,81,77,79
30,1987,81,78,78,67,68,69,80,80,77,80,77,82,76
31,1988,83,80,72,72,73,75,78,77,80,81,81,81,78
32,1989,80,77,73,70,68,73,75,76,83,80,82,80,76
33,1990,85,80,71,69,72,77,78,76,81,81,82,83,78
34,1991,85,81,74,67,71,78,83,79,80,83,83,84,79
35,1992,82,83,76,72,72,75,78,79,78,82,82,84 ),79
36,1993,82,80,77,71,74,79,81,79,81,82,80,84,79
37,1994,84,79,75,66,68,76,78,77,83,81,81,84,78
38,1995,81,80,77,72,73,78,83,82,81,82,82,84,80
39,1996,81,78,74 ),73 ),75,80,83,77,84,85,81,88,80
40,1997,84,82,71,75,75,81,81,82,85,85,84,84,81
41,1998,86,78,72,73,73,79,81,86,84,86,85,87,81
42,1999,88,85 ),78,75,72,79,84,81,82,83,91,88,82
43,2000,88,88,78,74,78,78,82,77,82,81,81,84,81
44,2001,83,83,75,64,72,77,77,78,79,80,85 ),85,78
45,2002,84,79,75,64,73,73,81,80 ),82,84,87,82,79
46,2003,85,81,73 ),74,69,77,81,84,83,80,83,82,79
47,2004,85,82 ),72,68,74,76,80 ),76,80,84,83,82,79
48,2005,87,85,77,67,71,75,82,83,80,84,85,86,80
49,2006,83,83,74,74,75,76,85,79,81,86,86,89 ),81
50,2007,87,80,82,73,72,76,81,81,82,83,86,90,81
51,2008,89,85,80,67,70,74,81,81,82,86,85,90,81
52,2009,87,81,76,71,71,75,83,82,82,85,87,86,81
53,2010,88,81,78,75,76,78,82,81,85,87,86,88,82
54,2011,90,86,84,76,75,80,81,83,86,83 ),85,85,83
55,2012,85,82,81,73,75,74,80,78,81,82,85,88,80
56,2013,86,84,77,78,75 ),73,87,82,81,84,90,93,83
57,2014,88,86,80,66,72,74,81,82,80,83,85,91,81
58,2015,86,81,77,71,67,75,77,79,83,80,88 ),87 ),79
59,2016,92,85,76,71,72,76,81,79,86,82,83,88,81
60,2017,91,86,82 ),73,72,79,81,81,83,85,84,92,82
61,2018,88,86,74,75,74,75,79,81,85,85,88,91,82
62,2019,89,81,79 ],　,　,　,　,　,　,　,　,　,85 ]
