,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1913,6.9,7.5,9.1,16.3,18.1,21.5,24.7,25.3,22.0,18.7,14.5,9.4,16.2
1,1914,8.3,7.9,12.3,13.8,19.0,21.9,26.7,26.7,24.1,18.6,15.5,10.3,17.1
2,1915,7.9,8.1,9.1,14.6,18.0,22.5,25.4,26.5,24.7,20.6,15.7,11.0,17.0
3,1916,9.6,8.4,8.7,15.0,18.5,23.4,25.5,25.6,24.8,19.2,16.3,11.2,17.2
4,1917,5.7,6.8,9.4,13.8,16.6,20.8,25.3,25.3,24.4,19.7,12.0,6.8,15.6
5,1918,4.9,7.4,9.5,14.0,16.9,20.6,24.8,25.4,23.0,19.1,13.8,9.3,15.7
6,1919,7.1,8.1,11.1,15.3,17.7,20.7,23.7,25.3,23.0,18.5,14.8,8.9,16.2
7,1920,7.3,6.7,9.9,14.7,18.4,21.8,25.3,25.4,23.4,19.1,15.8,10.2,16.5
8,1921,8.5,7.6,9.1,15.2,18.4,19.8,24.7,26.1,22.9,18.3,12.8,9.4,16.1
9,1922,5.3,10.6,9.6,14.6,18.4,21.7,25.1,27.2,24.5,18.9,14.3,8.4,16.6
10,1923,6.2,7.4,11.8,15.0,19.0,21.5,24.7,26.8,24.0,19.3,14.7,10.0,16.7
11,1924,7.5,7.4,7.2,15.5,17.9,21.0,25.6,25.4,23.3,18.6,13.1,9.4,16.0
12,1925,7.0,6.0,9.5,13.0,18.1,21.1,24.0,25.3,23.9,18.9,14.9,10.4,16.0
13,1926,6.8,7.7,9.4,13.9,18.2,20.8,24.5,27.2,25.0,18.0,13.6,8.5,16.1
14,1927,7.3,6.5,10.0,14.8,18.0,21.0,26.2,25.9,22.8,18.6,14.9,10.6,16.4
15,1928,7.6,7.0,10.0,15.1,19.3,21.4,24.5,25.2,24.4,19.2,15.6,9.7,16.6
16,1929,6.5,6.3,9.8,14.5,17.7,21.5,26.0,26.7,22.4,18.9,14.3,12.9,16.5
17,1930,7.3,8.8,11.8,16.1,18.9,22.4,26.7,26.5,23.2,19.1,13.3,10.5,17.1
18,1931,8.4,8.1,10.9,14.1,17.8,21.4,23.8,26.0,24.1,18.9,15.9,10.9,16.7
19,1932,9.5,6.5,9.6,13.7,18.5,20.6,26.1,26.0,22.6,17.8,14.1,10.0,16.3
20,1933,6.4,7.1,9.4,15.0,19.6,22.5,26.0,26.3,23.2,18.5,14.4,10.0,16.5
21,1934,4.7,6.6,9.1,13.6,18.2,21.4,25.5,26.4,23.4,18.0,13.3,10.9,15.9
22,1935,7.2,8.2,10.2,14.2,18.5,21.5,24.6,25.9,22.8,19.2,14.9,9.4,16.4
23,1936,4.5,5.9,8.0,14.4,17.1,21.3,24.0,26.1,24.7,18.9,15.0,11.6,16.0
24,1937,8.6,10.1,11.2,15.6,18.7,20.6,25.7,26.8,23.6,19.2,15.2,8.8,17.0
25,1938,6.4,6.1,12.2,14.5,18.8,21.9,25.3,25.3,23.1,20.0,13.3,9.7,16.4
26,1939,6.4,7.2,10.2,14.9,18.3,21.1,25.2,25.9,23.9,19.4,15.6,9.6,16.5
27,1940,6.4,6.4,9.7,13.8,17.9,21.1,25.7,25.1,23.5,20.0,16.0,10.8,16.4
28,1941,8.8,8.1,11.4,14.4,18.5,21.7,24.9,26.0,23.0,19.3,16.0,11.6,17.0
29,1942,6.7,6.8,13.1,15.0,18.7,21.8,27.0,27.2,25.3,18.4,13.4,8.8,16.9
30,1943,5.6,6.9,10.0,13.3,18.6,21.6,24.4,25.7,24.8,19.1,14.3,10.6,16.2
31,1944,7.1,6.5,9.0,13.9,18.9,22.0,25.8,25.9,23.9,19.0,14.7,8.0,16.2
32,1945,4.9,5.6,10.4,15.8,17.4,21.7,23.7,26.5,24.1,19.8,14.9,8.8,16.1
33,1946,8.0,8.0,10.1,15.9,18.4,22.5,26.1,26.0,24.2,19.9,16.3,8.6,17.0
34,1947,8.1,5.3,9.4,14.6,17.5,20.6,25.6,27.3,24.6,17.8,13.7,8.2,16.1
35,1948,7.9,8.5,10.2,15.7,18.7,21.2,25.5,25.6,24.4,20.2,15.2,12.9,17.2
36,1949,8.6,9.4,9.1,13.2,18.6,20.4,24.6,26.0,23.9,18.4,14.4,10.6,16.4
37,1950,9.3,8.0,10.4,15.9,19.7,21.8,25.2,26.0,23.8,18.8,14.8,8.9,16.9
38,1951,7.3,8.5,10.8,15.1,19.2,21.3,24.4,26.9,22.4,20.2,14.4,11.1,16.8
39,1952,7.7,7.3,10.4,15.7,18.8,21.6,24.6,26.7,24.4,19.2,16.3,10.2,16.9
40,1953,7.1,7.9,11.6,13.9,18.3,21.8,24.8,26.6,24.3,19.7,13.9,12.0,16.8
41,1954,9.3,9.5,10.8,15.9,18.2,20.2,23.1,26.6,24.7,18.1,15.8,10.8,16.9
42,1955,6.7,9.4,12.1,16.0,18.7,21.9,25.9,26.4,24.3,19.2,14.0,11.4,17.2
