,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1940,68.0,70,60,67,71,78,82,85,83,80,76,70,74
1,1941,71.0,67,66,69,72,82,89,86,84,76,77,72,76
2,1942,68.0,70,67,62,69,76,80,84,82,76,71,69,73
3,1943,64.0,62,61,62,71,80,82,84,87,84,72,65,73
4,1944,62.0,63,68,69,73,79,84,82,81,80,72,73,74
5,1945,74.0,68,66,62,75,81,86,84,86,88,73,70,76
6,1946,67.0,63,67,66,75,77,84,84,78,80,77,76,75
7,1947,68.0,68,66,63,73,86,85,81,81,80,69,68,74
8,1948,67.0,61,67,69,73,82,88,89,81,79,71,70,75
9,1949,66.0,66,60,61,71,85,84,84,85,80,74,71,74
10,1950,71.0,68,64,70,76,86,83,85,82,79,77,70,76
11,1951,67.0,68,66,68,73,80,86,85,81,82,76,71,75
12,1952,72.0,71,71,73,67,81,87,87,85,81,78,74,77
13,1953,69.0,70,71,63,73,86,87,87,88,80,72,71,76
14,1954,74.0,67,66,71,72,87,86,85,86,80,73,73,77
15,1955,71.0,69,73,68,78,80,84,85,83,79,73,67,76
16,1956,72.0,69,72,66,73,80,86,81,84,80,74,69,76
17,1957,62.0,70,61,66,68,81,87,85,81,78,71,72,74
18,1958,69.0,66,66,65,67,78,85,86,85,80,75,70,74
19,1959,70.0,69,67,66,69,83,84,85,84,79,74,71,75
20,1960,69.0,65,64,66,74,80,81,84,83,77,76,71,74
21,1961,68.0,67,67,65,73,78,84,85,83,84,72,73,75
22,1962,70.0,66,62,63,70,81,87,81,81,79,75,71,74
23,1963,70.0,67,69,70,78,85,87,84,79,80,73,71,76
24,1964,69.0,68,68,77,72,77,87,87,86,80,70,79,77
25,1965,71.0,66,64,61,73,81,84,79,82,75,73,71,73
26,1966,66.0,66,66,72,68,83,86,83,83,78,75,69,75
27,1967,67.0,72,64,67,71,79,85,82,87,79,72,75,75
28,1968,68.0,70,68,70,75,80,84,88,83,78,76,74,76
29,1969,75.0,72,70,70,65,78,86,83,83,76,76,70,75
30,1970,68.0,65,65,68,67,79,83,84,84,79,74,73,74
31,1971,69.0,67,63,64,73,82,85,83,86,79,74,72,75
32,1972,72.0,68,67,71,69,75,85,83,82,75,72,72,74
33,1973,70.0,67,63,66,65,83,79,82,81,77,72,69,73
34,1974,65.0,72,67,63,68,82,87,81,81,77,68,71,74
35,1975,70.0,66,63,66,70,84,82,78,79,77,75,68,73
36,1976,62.0,68,62,66,69,81,82,82,80,74,67,67,72
37,1977,67.0,59,61,62,66,81,82,83,81,77,74,69,72
38,1978,67.0,67,63,64,70,79,81,78,83,77,73,68,73
39,1979,66.0,68,60,68,72,80,82,82,82,78,77,69,74
40,1980,66.0,61,64,66,69,76,86,85,81,77,72,74,73
41,1981,68.0,69,63,60,67,85,87,80,80,74,71,68,73
42,1982,64.0,62,63,67,70,78,82,86,82,77,77,70,73
43,1983,66.0,68,65,67,67,78,86,84,85,73,72,66,73
44,1984,70.0,67,64,66,72,84,82,80,77,73,69,69,73
45,1985,64.0,66,72,69,70,81,80,79,81,74,74,67,73
46,1986,64.0,62,67,66,70,77,85,81,80,77,71,66,72
47,1987,63.0,67,66,60,68,75,80,83,82,77,72,70,72
48,1988,67.0,60,67,65,69,81,88,86,88,72,70,62,73
49,1989,68.0,66,66,62,75,79,83,80,81,76,74,65,73
50,1990,67.0,72,59,70,68,79,83,79,82,79,75,68,73
51,1991,67.0,64,65,67,68,83,82,84,85,81,73,72,74
52,1992,69.0,66,68,66,73,79,79,84,76,81,74,69,74
53,1993,71.0,63,64,61,67,84,88,86,83,78,75,72,74
54,1994,68.0,61,61,56,71,77,81,80,82,77,71,68,71
55,1995,67.0,61,69,59,67,76,73,75,73,73,62,61 ),68
56,1996,60.0,57,57,54,64,73,78,78,78,77,73,68,68
57,1997,66.0,61,60,63,74,77,80,81,84,74,74,71,72
58,1998,72.0,68,59,73,73,82,84,88,86,81,72,68,76
59,1999,67.0,63 ),66,71,68,77,84,80,83 ),75,75,69,73
60,2000,66.0,62,61,63,74,78,79,80,80,78,74,66,72
61,2001,68.0,62,62,59,70,74,73,81,79,74,69,67,70
62,2002,67.0,62,58,61,69,74,81,81,82,77,70,73,71
63,2003,67.0,66,61,67,71,77,87,84,81,74,79,67,73
64,2004,65.0,66 ),61,57,75,75,77,77,81,79,73,65,71
65,2005,65.0,62,60,57,64,77,81,82,80,80,67,65,70
66,2006,61.0,64,58,62,73,80,87,80,82,79,73,68,72
67,2007,62.0,58,58,65,64,76,85,81,84,77,69,69,71
68,2008,62.0,61,62,64,71,78,83,87,84,81,77 ),76 ),74
69,2009,70.0,66,62,65,70,82,88,82 ),78,77,79,73,74
70,2010,68.0,77,72,70,68,76,82,81,80,82,72,71,75
71,2011,65.0,67,65,60,68,78,79,81,79,77 ),77,69,72
72,2012,67.0,67,68,70,73,78,83,78,83,76,72,69,74
73,2013,67.0,62,60,66,64,78,85,80,82,82,73,72,73
74,2014,63.0,66,63,58,65,81,83 ),88 ),79,79,77,72,73
75,2015,68.0,71 ),63,69,61,78,82,86,84,72,83,71,74
76,2016,70.0,66,66,68,71,77,85,84,89 ),76,76,69,75
77,2017,70.0,63,68,65,72,75,84,89,80,86,74,73,75
78,2018,70.0,65,65,67,74,78,79,83,88,81,76,73,75
79,2019,66.0,63,68 ],　,　,　,　,　,　,　,　,　,65 ]
