,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,3.2,5.0,5.8,7.3,6.7,7.3,8.6,6.3,7.9,7.1,4.6,3.2,6.1
1,1952,4.0,6.3,6.2,7.1,7.6,8.0,7.8,5.4,7.2,6.4,5.5,3.6,6.3
2,1953,3.8,4.8,5.7,5.5,7.5,8.8,7.7,8.2,7.7,6.6,4.0,5.0,6.3
3,1954,5.7,4.1,5.8,7.5,7.2,8.7,8.8,6.5,7.5,7.0,4.7,4.6,6.5
4,1955,2.7,4.3,7.4,6.7,7.3,8.3,6.4,7.0,7.7,6.9,4.1,3.1,6.0
5,1956,3.7,4.4,6.7,6.8,8.6,7.9,7.8,7.4,7.1,8.1,5.3,1.6,6.3
6,1957,5.2,4.9,3.8,6.7,6.9,8.5,8.4,7.0,8.7,5.9,5.7,4.5,6.4
7,1958,4.3,4.8,5.4,6.6,6.9,8.7,8.5,6.7,6.8,7.4,5.6,3.8,6.3
8,1959,4.0,7.5,6.2,5.7,6.9,7.8,8.0,7.1,7.5,6.4,6.0,3.7,6.4
9,1960,2.4,3.3,5.6,6.5,7.7,8.4,8.1,7.1,6.9,6.0,5.5,2.7,5.9
10,1961,3.4,4.0,5.7,5.9,7.9,7.7,7.6,6.9,5.6,7.5,5.6,2.8,5.9
11,1962,2.9,3.8,4.5,6.4,7.3,9.0,8.2,6.4,5.7,6.5,5.8,4.0,5.9
12,1963,1.4,3.7,5.6,7.1,8.7,8.4,8.1,6.9,8.0,7.0,4.3,3.0,6.0
13,1964,7.0,5.8,5.5,8.7,6.3,8.9,8.0,7.1,7.9,7.6,4.3,4.5,6.8
14,1965,3.8,4.4,3.9,6.7,7.6,8.6,8.4,4.7,7.2,4.5,5.7,4.6,5.8
15,1966,2.8,5.3,6.0,7.8,7.0,9.3,8.4,7.9,7.4,5.5,5.0,3.9,6.4
16,1967,2.7,4.9,5.3,7.8,6.6,8.3,8.4,8.1,7.9,6.5,7.6,3.5,6.5
17,1968,3.0,3.9,6.6,6.6,7.7,8.5,9.1,8.4,7.3,6.7,3.4,4.9,6.3
18,1969,5.2,6.9,6.2,6.0,6.8,7.4,8.7,7.1,8.0,6.7,5.8,3.0,6.5
19,1970,3.5,4.2,5.6,8.3,8.1,8.6,8.0,7.5,8.4,6.5,4.9,4.5,6.5
20,1971,4.0,5.6,4.5,6.8,7.7,9.1,8.7,6.8,8.0,7.3,4.9,4.4,6.5
21,1972,4.9,7.2,6.6,7.3,6.9,8.6,8.3,6.5,6.0,5.8,5.6,4.7,6.5
22,1973,4.8,5.1,5.4,8.4,6.8,9.4,8.3,7.1,7.6,6.9,4.1,2.4,6.4
23,1974,2.6,5.9,5.4,6.5,7.6,8.1,8.8,7.3,8.3,7.4,4.8,5.3,6.5
24,1975,3.5,4.7,5.0,7.8,7.9,9.0,7.5,6.3,5.1,8.0,5.8,3.8,6.2
25,1976,2.7,6.3,6.8,8.3,7.2,9.2,7.7,7.8,6.9,6.1,6.1,3.9,6.6
26,1977,4.7,3.6,6.7,6.5,6.8,8.8,7.7,8.6,7.2,5.7,5.7,4.1,6.3
27,1978,4.7,4.1,5.2,6.5,8.5,7.6,6.0,5.5,8.0,6.5,4.4,4.4,6.0
28,1979,3.7,4.5,6.6,6.9,6.0,8.1,8.5,7.5,7.4,5.8,6.5,4.2,6.3
29,1980,4.3,4.1,6.3,8.1,6.7,9.0,9.1,8.4,7.4,6.3,5.4,2.2,6.4
30,1981,2.3,5.4,6.3,5.9,6.3,8.3,7.4,7.1,8.1,5.6,5.6,2.7,5.9
