,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1943,4.3,5.8,9.6,12.9,18.3,21.8,24.3,25.5,23.6,18.1,12.6,9.5,15.5
1,1944,6.6,5.8,8.3,13.3,18.7,21.9,25.9,25.8,22.7,17.9,13.7,6.6,15.6
2,1945,3.9,5.0,9.9,14.8,16.3,21.6,24.5,26.2,23.8,18.8,13.2,8.1,15.5
3,1946,6.7,7.3,9.8,15.4,18.0,22.7,25.7,25.4,23.3,18.3,15.1,7.6,16.3
4,1947,7.1,4.4,8.7,13.6,17.4,20.5,25.8,26.5,24.5,16.6,12.5,7.3,15.4
5,1948,6.5,7.5,10.0,15.5,18.2,21.4,25.4,25.8,24.0,19.4,13.7,11.9,16.6
6,1949,7.1,8.3,8.8,13.2,18.4,20.5,24.1,25.7,23.4,17.2,13.2,9.5,15.8
7,1950,8.4,7.1,9.8,15.3,18.9,21.5,24.9,25.3,23.1,17.9,13.9,7.4,16.1
8,1951,6.5,8.2,9.2,14.1,18.5,20.8,24.4,26.3,21.3,18.9,13.0,9.8,15.9
9,1952,6.6,6.2,9.6,14.9,18.8,21.4,25.0,26.6,23.9,17.1,16.0,8.6,16.2
10,1953,5.8,7.2,10.8,13.6,18.1,21.6,25.5,26.8,23.8,18.6,13.2,10.5,16.3
11,1954,8.4,8.8,10.2,15.5,18.9,20.9,24.3,26.6,24.0,17.5,14.4,9.5,16.6
12,1955,5.5,8.5,11.9,15.5,18.8,22.7,25.9,26.3,24.1,18.5,12.0,9.5,16.6
13,1956,6.7,6.0,10.9,15.2,18.0,22.8,26.6,26.6,23.9,18.9,12.5,6.9,16.3
14,1957,8.3,6.1,8.7,15.4,18.2,21.3,25.8,26.4,21.4,17.4,13.9,9.3,16.0
15,1958,6.8,8.4,10.2,15.5,18.5,22.6,26.7,26.8,24.5,17.8,13.9,10.8,16.9
16,1959,5.9,10.7,11.7,15.6,18.9,21.9,26.7,26.5,24.9,18.8,14.9,10.2,17.2
17,1960,6.5,9.0,12.1,14.7,19.2,22.1,26.9,26.6,24.3,18.3,14.3,8.1,16.8
18,1961,5.4,6.3,11.5,15.4,19.1,22.3,27.0,27.2,25.3,20.8,14.8,8.8,17.0
19,1962,5.3,7.6,9.9,14.0,18.2,21.4,25.6,26.9,23.8,18.1,13.3,9.2,16.1
20,1963,3.7,4.5,9.8,15.7,20.6,23.5,26.7,26.2,22.7,17.5,13.1,9.5,16.1
21,1964,8.1,6.2,10.2,18.9,19.3,21.1,26.4 ),27.0 ),24.9,18.9,13.2,9.2,17.0
22,1965,6.3,7.2,8.8,13.6,18.6,21.4,26.1,26.7,21.4,17.0,14.6,7.9,15.8
23,1966,6.2,9.2,11.7,14.9,18.3,21.6,25.5,27.0,23.3,18.1,12.9,7.5,16.4
