,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1919,4.4,4.8,8.4,13.7,17.9,21.2,24.8,26.1,22.4,17.9,12.7,6.6,15.1
1,1920,4.5,3.7,7.3,12.8,16.7,21.5,26.1,25.7,23.0,17.7,13.7,7.4,15.0
2,1921,5.3,5.0,6.5,13.2,17.1,19.1,25.0,26.9,22.1,16.9,10.2,6.7,14.5
3,1922,2.3,6.7,6.8,13.2,18.0,22.1,25.4,28.0,24.6,17.8,11.8,5.9,15.2
4,1923,3.3,4.1,9.0,12.6,17.9,20.9,24.5,28.0,23.1,17.4,12.2,7.5,15.0
5,1924,4.8,4.7,5.0,13.8,16.5,20.6,26.5,26.7,22.5,16.9,10.3,6.5,14.6
6,1925,3.9,3.0,6.8,11.4,17.5,21.0,24.2,25.9,23.1,17.2,13.1,7.2,14.5
7,1926,4.0,4.6,6.6,12.0,16.9,20.1,24.5,27.6,24.3,15.9,10.8,5.3,14.4
8,1927,4.0,3.0,6.7,12.4,16.6,21.2,26.5,26.0,21.7,17.3,12.5,7.8,14.6
9,1928,4.4,3.7,7.3,13.1,18.7,21.1,25.3,25.2,24.2,17.4,12.9,6.8,15.0
10,1929,3.5,3.3,7.0,12.6,16.4,21.5,26.2,27.3,21.9,16.9,11.7,9.3,14.8
11,1930,4.0,5.7,9.0,13.8,18.1,22.0,27.4,27.8,22.4,17.6,10.7,7.2,15.5
12,1931,4.5,4.1,7.8,12.1,16.7,21.6,23.0,26.3,23.2,16.2,12.8,7.7,14.7
13,1932,6.2,3.9,6.6,11.6,17.4,20.5,26.1,25.7,21.6,16.1,11.9,7.2,14.6
14,1933,3.5,3.4,5.6,12.6,18.6,22.0,26.7,26.3,22.8,16.9,12.1,7.0,14.8
15,1934,2.1,3.6,6.5,11.6,17.8,21.6,26.4,26.7,22.4,15.7,10.8,7.9,14.4
16,1935,4.6,5.2,7.8,12.6,17.9,21.0,24.9,25.5,21.5,17.7,12.2,6.5,14.8
17,1936,1.9,2.4,4.9,12.0,16.5,21.4,24.3,26.0,23.8,16.8,11.8,8.3,14.2
18,1937,5.2,6.1,8.0,12.9,17.4,20.0,25.6,27.4,22.6,17.5,12.5,5.9,15.1
19,1938,3.5,3.2,9.2,13.1,17.9,21.2,24.8,24.9,22.2,18.2,11.1,7.0,14.7
