,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1900,×,×,×,×,×,×,×,47,41,35,19,11,33 ]
1,1901,15,29,35,53,60,31,45,42,40,46,27,11,38
2,1902,13,26,38,49,43,40,32,48,52,56,33,15,38
3,1903,18,29,49,57,36,42,40,56,50,43,22,12,40
4,1904,22,27,39,67,62,49,45,76,56,38,21,17,46
5,1905,20,18,42,41,46,34,50,44,47,47,28,23,38
6,1906,16,21,39,46,46,40,42,55,63,49,25,13,40
7,1907,16,37,37,44,40,43,52,33,43,51,26,7,37
8,1908,15,22,38,52,44,46,49,55,52,55,23,16,41
9,1909,23,25,41,48,39,53,46,58,51,40,32,17,41
10,1910,23,17,40,51,47,43,36,39,44,56,23,11,38
11,1911,15,31,39,41,51,44,30,42,51,35,19,8,36
12,1912,13,26,29,49,49,27,37,48,53,38,18,10,35
13,1913,12,21,34,57,53,35,27,57,53,47,25,12,38
14,1914,9,27,30,57,53,48,44,39,49,46,18,6,38
15,1915,10,13,33,37,45,45,29,48,49,32,27,15,34
16,1916,8,17,20,44,45,23,47,73,41,47,27,14,36
17,1917,17,23,38,44,50,48,30,55,36,41,13,18,36
18,1918,15,17,27,46,30,30,32,40,31,48,19,5,30
19,1919,10,24,28,43,53,35,58,48,42,33,32,17,37
20,1920,15,28,40,49,22,48,45,32,47,48,21,16,36
21,1921,7,16,28,44,50,51,31,44,36,45,16,11,34
22,1922,9,23,24,56,41,50,28,30,44,41,16,5,32
23,1923,7,32,32,43,39,32,30,42,25,46,18,9,31
24,1924,11,10,23,46,52,38,51,50,43,40,13,11,35
25,1925,6,16,20,43,36,59,44,40,39,40,17,11,33
26,1926,3,19,18,37,38,46,31,49,34,26,16,11,30
27,1927,17,15,32,37,39,49,37,42,47,40,22,10,34
28,1928,13,12,27,59,40,31,43,59,23,39,23,5,33
29,1929,6,12,23,36,36,30,37,43,49,36,24,18,31
30,1930,7,24,29,53,49,46,42,37,45,44,14,12,36
31,1931,5,15,29,35,32,29,22,41,50,44,30,9,30
32,1932,24,24,19,35,46,44,27,32,32,54,25,11,32
33,1933,12,15,33,54,51,45,40,41,34,41,21,19,36
34,1934,18,15,23,54,33,30,45,42,44,43,25,15,34
35,1935,22,15,23,44,44,33,28,36,53,40,20,9,32
36,1936,6,14,30,36,37,44,25,44,46,48,27,12,32
37,1937,15,20,20,57,37,45,29,48,47,43,28,9,35
38,1938,15,18,38,45,43,48,43,56,41,45,23,9,38
39,1939,7,23,30,44,44,33,47,52,42,39,24,14,35
40,1940,19,17,38,41,30,24,24,46,47,58,31,13,33
41,1941,15,16,29,47,50,51,31,35,43,45,45,15,37
42,1942,19,23,35,52,45,46,38,35,46,48,24,12,37
43,1943,14,18,47,53,37,57,49,54,36,47,23,13,40
44,1944,15,20,40,54,48,46,45,56,44,53,33,9,41
45,1945,10,14,29,44,33,31,32,43,57,33,23,8,31
46,1946,14,23,28,60,38,50,49,68,59,45,40,12,43
47,1947,18,28,36,39,63,48,45,45,47,48,25,7,40
48,1948,22,15,39,51,52,44,43,70,49,42,36,26,43
49,1949,19,29,26,34,47,50,44,49,51,59,27,15,39
50,1950,16,23,38,57,52,36,57,68,34,43,31,13,41
51,1951,10,21,33,36,52,38,52,62,55,48,27,25,40
52,1952,17,24,45,42,57,51,42,41,48,48,30,18,40
53,1953,16,30,40,49,38,48,32,52,55,52,12,7,38
54,1954,17,25,32,50,42,43,51,27,43,44,36,7,36
55,1955,11,20,27,50,37,46,58,46,45,34,25,24,37
56,1956,11,18,30,56,63,33,23,43,57,45,21,13,36
57,1957,11,19,38,54,62,37,40,28,47,43,37,18,38
58,1958,11,22,31,46,50,42,52,51,44,41,29,17,39
59,1959,16,24,40,48,47,39,27,50,46,48,16,8,36
60,1960,7,20,36,50,33,40,43,51,50,49,29,7,36
61,1961,6,17,37,49,48,51,49,42,47,34,35,17,38
62,1962,18,21,25,46,52,46,38,35,41,51,19,17,36
63,1963,21,28,35,39,57,38,36,32,56,41,31,10,37
64,1964,16,20,37,42,50,34,27,23,43,38,19,15,32
65,1965,11,11,33,49,48,47,24,40,40,56,21,14,35
66,1966,11,17,26,38,41,39,27,34,41,34,24,6,30
67,1967,10,21,38,49,43,38,35,42,36,50,23,14,35
68,1968,12,37,36,55,33,55,51,39,48,42,30,20,40
69,1969,9,21,42,45,38,31,50,35,55,46,27,9,36
70,1970,18,19,27,63,52,48,43,46,56,44,24,8,40
71,1971,19,26,33,57,43,41,27,43,50,44,28,6,36
72,1972,17,19,56,55,48,46,46,43,45,45,20,12,40
73,1973,18,20,36,58,52,54,41,43,49,39,18,10,39
74,1974,21,21,44,43,51,32,40,41,49,39,24,11,36
75,1975,13,30,41,54,39,34,28,48,45,48,40,14,37
76,1976,13,28,42,54,55,38,55,53,46,44,14,14,41
77,1977,13,24,41,52,45,48,44,47,45,45,26,11,39
78,1978,10,18,39,31,48,41,37,48,61,39,36,15,37
79,1979,13,21,35,44,53,50,49,60,56,48,21,13,41
80,1980,5,14,41,37,49,42,41,34,56,42,35,22,36
81,1981,16,20,33,53,42,36,43,33,54,48,11,18,36
82,1982,13,19,37,44,44,61,53,46,54,61,23,12,41
83,1983,17,15,47,59,48,30,34,45,47,43,29,16,37
84,1984,27,13,42,53,43,45,44,53,54,39,29,13,40
85,1985,12,20,36,48,60,56,37,53,49,39,24,9,39
86,1986,12,22,32,40,38,48,27 ),38,49 ),40,12,13,33
87,1987,5,15,25,46,43,56,32,18,41,45,18,16,32
88,1988,8,13,37 ),45,45,27,37,34,45,34,23,11,31
89,1989,15,26,29,43,43,49,39,49,27,30,20,14,34
90,1990,6,16,46,49,47,37,46,36,41,45,21,12,35
91,1991,15,24,22,45,52 ],44,32,45 ),42,29,18,8,32 ]
92,1992,5,16,34,41,49,32,35,34,34,42,18,10,31
93,1993,14,9,34,36,39,26,43,37,41,33,25,9,30
94,1994,11,14,23,47 ),49,45,45,37,38,45,19,9,34
95,1995,8,20,39,34,36,31,27,26,44,32,16,11,28
96,1996,7,19,29,38,29,38,21,38,37,38,19,10,28
97,1997,18,15,33,42,33,26,48,26,39,26,23,12 ),30
98,1998,4 ),23,39,48,49,33,41,21,43,35,13,8,32
99,1999,6,14,19,39,38,47,31,51,41,30,25,12,31
100,2000,12,13,20,31,28,31,29,45,27 ),36,18,9,26
101,2001,10,11,28,47,49,51,23,44,40,32,25,5,33
102,2002,13,26,36,52,51,40,20,22,48,32,9,10,31
103,2003,12,17,35,43,54,42,27,33,38,37,21,15,33
104,2004,12,12,27,43,39,41,38,41,40,36,21,5,32
105,2005,9,11,23,38,41,37,34,49,43,47,21,10,32
106,2006,4,15,19,29,50,29,36 ),42,55,42,21,11,31
107,2007,12,15,28,45,38,50,38,43,30,40,18,8,33
108,2008,6,17,41 ),49,43,45,29,42,46 ),35,25 ),13,34
109,2009,11,12,28,48,50,29,19,36,49,33,13,10,30
110,2010,4,9,18,30,37,44,20,36,44,37,15,9,27
111,2011,10,29,30,41,32,31,35,51,28 ],33,28,7,31 ]
112,2012,15,12,29,39,43,42,41,32,41 ),33,16,7,31
113,2013,9,7,18,31,33,49,37,30,35,26,19,13,27
114,2014,6,23,36,63,43,35,37,45,48 ),37,19,3,35
115,2015,8,15,31,49,53,33,30,39,38,35,22,13,32
116,2016,5,12,38,45,49,29,38,47,42,30,10,13,32
117,2017,10,12,43,48,45,31,40,40,48,35,13,9,33
118,2018,3,10,34,43,47,33,31,29,41,39,24,7,30
119,2019,12,23,38 ],　,　,　,　,　,　,　,　,　,22 ]
