,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1945,0.2,-0.4,6.9,16.0,17.8,22.9,24.1,29.1,23.2,17.2,11.0,3.7,14.3
1,1946,2.5,2.6,5.5,15.6,17.9,24.1,28.4,27.9,23.4,18.1,12.7,4.0,15.2
2,1947,1.7,1.5,6.2,15.2,18.3,21.7,27.8,30.5,23.7,15.9,11.1,3.6,14.8
3,1948,3.5,3.3,6.9,15.4,19.9,23.9,27.4,27.3,23.6,17.5,10.8,8.5,15.7
4,1949,4.9,5.8,6.0,12.2,20.3,21.6,27.4,29.0,23.5,15.5,10.3,5.4,15.2
5,1950,3.8,3.9,8.3,15.9,20.8,21.9,27.6,27.8,24.1,16.6,11.4,4.4,15.5
6,1951,1.8,3.8,9.1,13.3,20.7,23.0,26.4,29.5,21.5,19.0,11.6,7.5,15.6
7,1952,2.3,0.8,6.7,14.3,19.8,22.5,25.6,29.6,23.8,17.5,13.0,6.1,15.2
8,1953,1.9,3.4,9.6,13.6,19.0,22.7,25.2,26.0,23.3,18.2,10.4,7.3,15.1
9,1954,3.2,5.0,8.5,16.3,18.9,20.1,25.5,29.0,24.3,16.1,12.4,5.9,15.4
10,1955,2.6,5.2,9.3,15.5,19.5,24.5,29.0,28.5,23.0,17.3,11.2,8.1,16.1
11,1956,2.3,3.0,8.8,14.5,19.1,23.7,27.2,27.1,23.0,17.2,11.3,4.3,15.1
12,1957,4.2,2.5,6.0,16.4,18.8,21.7,25.5,28.2,20.6,18.5,12.8,7.3,15.2
13,1958,3.9,4.5,8.8,15.9,19.8,24.6,27.2,27.5,23.8,16.1,11.3,7.6,15.9
14,1959,2.4,6.8,9.6,15.5,19.9,22.2,28.0,28.4,24.7,17.9,12.7,7.4,16.3
15,1960,3.9,7.3,11.1,13.8,20.3,22.9,28.1,28.4,24.4,17.7,12.9,6.3,16.4
16,1961,2.3,3.6,9.2,16.7,21.9,23.4,29.4,29.7,26.8,18.8,12.9,7.3,16.8
17,1962,3.2,5.3,8.5,15.0,20.3,22.2,27.6,30.1,25.7,17.6,11.3,6.7,16.1
18,1963,1.2,2.9,8.4,17.2,19.9,24.4,28.0,28.2,21.9,16.8,12.2,8.1,15.8
19,1964,4.0,2.0,7.2,18.9,22.0,22.8,28.7,30.3,23.2,16.4,11.5,7.2,16.2
20,1965,4.0,3.8,7.1,12.3,20.0,23.9,26.3,29.8,22.9,18.2,13.4,5.8,15.6
21,1966,2.7,7.9,9.4,15.7,19.7,22.7,27.4,29.1,24.2,18.7,12.7,4.5,16.2
22,1967,2.7,3.1,9.8,14.9,22.7,24.6,27.7,28.6,24.1,16.6,12.2,4.4,16.0
23,1968,3.1,1.8,9.0,16.3,20.0,24.1,26.7,27.9,23.1,16.4,13.9,8.6,15.9
24,1969,4.1,4.4,7.4,16.4,21.8,23.3,26.5,27.5,23.4,17.2,12.2,5.9,15.8
25,1970,3.0,5.0,4.6,14.7,22.2,21.8,27.6,28.7,24.9,17.4,11.8,5.6,15.6
26,1971,3.1,4.8,8.3,15.9,20.1,23.5,28.0,28.2,21.9,15.9,11.5,7.2,15.7
27,1972,5.7,3.5,9.8,15.1,21.0,23.8,26.8,28.3,23.8,18.7,11.6,7.3,16.3
28,1973,4.3,6.2,7.5,18.2,20.5,22.3,29.7,30.1,23.2,16.9,11.2,4.7,16.2
29,1974,2.5,4.0,7.3,17.0,21.5,24.0,24.7,28.5,22.6,16.9,10.9,4.3,15.4
30,1975,2.2,2.6,8.4,15.5,19.9,23.4,27.2,28.3,25.9,16.3,11.8,5.2,15.6
31,1976,3.6,6.3,9.2,14.9,19.9,23.1,25.7,26.4,21.6,17.2,10.8,5.4,15.3
32,1977,1.3,2.9,9.2,17.0,20.6,23.1,28.5,26.6,24.9,19.7,13.6,7.5,16.2
33,1978,3.5,2.8,7.9,14.7,21.7,24.7,30.3,30.3,23.1,17.7,12.0,7.1,16.3
34,1979,5.5,7.9,9.7,14.4,19.9,25.7,26.5,28.5,23.9,19.4,13.5,8.1,16.9
35,1980,2.8,3.0,8.0,14.4,21.0,25.0,25.8,26.0,22.7,17.1,12.8,4.8,15.3
36,1981,0.9,2.4,8.7,15.4,20.0,23.2,28.2,27.2,22.3,16.5,9.4,6.2,15.0
37,1982,3.4,3.4,10.3,15.5,23.4,23.1,24.8,27.4,21.7,17.8,13.0,7.3,15.9
38,1983,3.7,2.6,8.1,17.5,22.4,23.1,25.8,29.1,23.5,17.4,11.2,5.5,15.8
39,1984,0.7,0.0,3.8,14.5,21.2,24.7,28.5,30.4,23.4,16.9,12.3,5.8,15.2
40,1985,1.7,4.2,8.1,17.1,21.9,22.8,27.9,30.9,24.1,17.4,12.0,5.6,16.1
41,1986,1.8,2.8,8.1,16.0,19.9,24.1,26.7,29.2,25.1,17.0,12.3,7.4,15.9
42,1987,4.5,5.1,9.1,17.3,20.8,25.2,28.2,29.3,24.4,19.4,12.3,7.7,16.9
43,1988,6.1,3.2,7.1,14.5,19.7,24.4,26.0,28.8,23.7,16.6,10.0,6.4,15.5
44,1989,5.8,6.0,9.3,16.2,18.9,22.5,26.2,28.5,24.7,17.6,12.7,6.3,16.2
45,1990,2.9,6.3,10.0,15.7,20.8,25.5,28.6,30.3,24.9,18.5,14.4,7.9,17.2
46,1991,3.2,3.3,9.7,17.0,20.8,24.8,27.5,28.3,25.1,17.6,12.2,7.7,16.4
47,1992,5.4,5.7,10.0,16.4,18.6,23.6,28.5,29.1,24.5,18.2,13.2,7.5,16.7
48,1993,4.4,6.4,9.3,15.4,21.0,23.6,25.4,26.6,22.8,17.6,13.7,7.2,16.1
49,1994,4.8,3.9,8.2,17.9 ),22.2,25.2,31.4,32.2,26.1,20.2,13.8,7.9,17.8
50,1995,3.9,5.6,9.3,15.7,20.9,23.0,27.3,31.9,23.4,19.6,11.5,5.6,16.5
51,1996,4.4,3.8,9.1,14.1,20.9,24.8,29.0,28.9,22.9,18.4,12.3,8.0,16.4
52,1997,3.7,5.1,11.2 ),16.0,21.7,24.5,26.8,30.1,23.7,18.7,13.8,7.4,16.9
53,1998,2.7,5.7,10.9,18.9,23.0,23.8,28.4,28.9,25.2,20.1,13.2,8.4 ),17.4
54,1999,4.9,5.3,10.4,16.2,21.9,24.5,27.8,29.3,26.4,19.4,13.6,7.3,17.3
55,2000,5.8,3.9,8.6 ),14.7,22.5,24.3,29.1,30.6,25.2,18.7,13.8,7.1,17.0
56,2001,1.7,3.7,9.3,17.6,22.1,24.6,31.5,29.5,24.2,18.5,12.4,6.1,16.8
57,2002,4.6,6.2 ),12.4,18.1,20.9,24.7,29.9,29.8,23.9,18.7,10.5,5.0,17.1
58,2003,2.3,5.1,8.4,16.8,21.7,24.3,25.5,28.4,26.0,17.8,14.4,7.0,16.5
59,2004,3.4,7.1,9.4,18.0,21.5,25.0,30.0,28.1,25.4,17.9,13.8,8.1,17.3
60,2005,3.1,4.1,8.3,17.1,20.7,26.1,27.7,28.8,25.9,18.9,12.1,3.1,16.3
61,2006,2.8,5.8,8.8,13.8,20.6,24.6,27.0 ),29.9,23.7,18.9,12.6,6.6,16.3
62,2007,4.4,7.6 ),9.6,14.6,20.8,24.3,25.6,29.9,26.3,18.0,11.9,6.9,16.7
63,2008,3.2,2.5,10.7,15.9,20.8,23.7,29.3,28.7,23.7,18.4,11.2,8.4,16.4
64,2009,4.4,7.0,9.4,16.6,20.9 ),24.3,26.4,28.0,23.4,17.9,12.2,6.5,16.4
65,2010,4.5,5.9,9.3 ),13.5,20.3,25.3,28.9,30.7,26.0,18.3,11.8,7.6,16.8
66,2011,2.3,6.8,7.7,15.5,20.2,24.7,29.6 ),28.6,25.0,18.4,13.4,5.9,16.5
67,2012,2.3,3.0,8.3,15.3,20.2,24.1,28.2,30.5,26.5,18.5,11.2,4.8,16.1
68,2013,2.4,3.2,12.6,15.4,22.1,25.0,28.5,30.1,25.1,19.5 ),11.7,5.4,16.8
69,2014,3.6,3.1,8.7,15.8,22.1,25.3,28.4,27.6,23.0,18.4,12.7,4.0,16.1
70,2015,3.0,4.5,10.7,16.6,23.6,24.2,27.9,28.9,22.8,18.8,13.6,8.2,16.9
71,2016,4.8,6.3,10.9,17.9,23.1,24.5,28.7,29.6,24.9,18.7,11.6,8.0,17.4
72,2017,3.9,5.0,8.5,15.8,22.6,24.2,29.4,28.9,23.6,16.9,11.6,5.7,16.3
73,2018,3.4,4.3,12.5,18.8,21.9,25.2,30.7,30.3,23.3,19.3,13.9,7.4,17.6
74,2019,4.1,6.5,9.1 ],　,　,　,　,　,　,　,　,　,5.3 ]
