,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1957,　,0.2 ],-3.4,-6.8,-11.5,-10.6,-14.8,-15.1,-17.2,-8.1,-3.7,1.4,-9.0 ]
1,1958,2.7,-1.1 ],　,　,　,　,　,　,　,　,　,　,2.7 ]
2,1959,1.7 ],-1.9,-3.3,-7.1,-10.9,-9.9,-13.0,-15.3,-17.0,-9.1,-6.1,0.7,-8.4 ]
3,1960,1.3,-1.9,-4.9,-7.7,-12.3,-16.4,-15.0,-16.1,-18.0,-10.8,-2.6,1.5,-8.6
4,1961,0.7,1.2,-4.8,-7.9,-11.7,-11.4,-16.0,-15.3,-11.8,-7.3,-3.4,0.2,-7.3
5,1962,0.2,-0.7 ],　,　,　,　,　,　,　,　,　,　,0.2 ]
6,1963,　,　,　,　,　,　,　,　,　,　,　,　,　
7,1964,　,　,　,　,　,　,　,　,　,　,　,　,　
8,1965,　,　,　,　,　,　,　,　,　,　,　,　,　
9,1966,　,-0.7,-3.4,-8.0,-10.3,-15.0,-16.6,-18.0,-12.9,-11.9,-3.3,2.0,-8.9 ]
10,1967,3.2,-1.9,-4.6,-7.4,-9.3,-10.8,-13.8,-14.8,-15.8,-9.1,-2.2,1.6,-7.1
11,1968,2.0,-0.6,-3.2,-6.5,-8.9,-12.7,-16.1,-13.9,-15.8,-9.4,-3.2,0.8,-7.3
12,1969,3.6,0.8,-2.7,-6.1,-9.2,-9.2,-14.6,-18.6,-15.6,-8.8,-2.7,2.2,-6.7
13,1970,2.0,-1.1,-2.9,-6.7,-11.9,-13.6,-14.5,-17.2,-16.9,-8.8,-2.9,2.1,-7.7
14,1971,2.2,0.2,-4.8,-8.8,-13.8,-15.3,-15.6,-16.4,-12.7,-9.9,-4.7,2.7,-8.1
15,1972,2.8,-0.6,-5.1,-7.3,-12.7,-14.2,-16.8,-11.9,-11.0,-9.9,-3.3,0.0,-7.5
16,1973,2.0,-1.7 ),-5.0,-6.8,-7.7,-11.4,-16.1,-19.6,-13.4,-8.2,-2.7,0.7,-7.5
17,1974,1.6,-0.9,-5.8,-8.1,-9.2,-13.7,-13.6,-13.9,-14.1,-10.7,-2.0,2.5,-7.3
18,1975,3.0,-1.1,-4.1,-9.2,-10.3,-12.4,-16.8,-18.2,-15.4,-10.8,-3.5,0.6,-8.2
19,1976,1.9,-1.5,-4.6,-8.3,-11.5,-15.5,-17.6,-19.6,-17.5,-12.4,-3.9,3.3,-8.9
20,1977,4.6,-0.6,-3.7,-8.9,-9.5,-12.9,-10.6,-13.0,-15.0,-12.0,-5.0,1.8,-7.1
21,1978,0.4,-1.3,-6.4,-8.2,-9.0,-13.3,-12.2,-18.3,-12.3,-10.7,-3.9,1.4,-7.8
