,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1892,　,　,　,　,　,　,30.1,31.6,27.7,20.8,15.3,8.6,22.4 ]
1,1893,6.9,6.5,11.2,17.2,20.0,24.3,32.1,32.1,29.4,21.7,15.0,10.5,18.9
2,1894,8.5,9.4,12.3,18.0,22.3,27.7,32.7,33.4,28.1,21.6,17.7,11.2,20.2
3,1895,7.3,8.3,11.6,17.7,22.3,25.2,27.6,31.8,27.6,22.4,16.6,10.4,19.1
4,1896,8.5,8.3,9.7,17.6,20.7,26.0,28.0,30.6,26.2,21.4,16.6,10.4,18.7
5,1897,8.8,7.3,10.6,15.6,21.0,24.3,28.9,31.9,26.6,21.1,17.1,9.4,18.6
6,1898,9.5,9.1,10.9,16.0,21.3,24.8,30.3,32.1,27.7,22.6,17.3,11.7,19.4
7,1899,8.5,9.5,13.3,17.5,21.9,26.3,29.4,30.8,25.1,19.3,14.9,12.1,19.1
8,1900,6.8,8.0,11.3,16.8,22.0,25.0,27.6,31.2,28.3,22.2,16.4,11.0,18.9
9,1901,10.3,6.9,11.4,17.0,20.7,24.2,27.3,30.8,26.9,22.2,15.9,10.6,18.7
10,1902,9.1,8.6,13.4,15.8,20.7,24.1,27.5,28.7,26.7,21.8,17.5,13.3,18.9
11,1903,9.3,9.0,12.3,17.4,20.4,24.4,27.1,31.7,28.3,21.5,15.5,9.8,18.9
12,1904,7.4,9.3,10.9,17.3,21.1,24.8,29.6,31.8,26.9,21.3,15.2,11.6,18.9
13,1905,10.5,7.9,11.0,16.4,21.5,24.4,30.1,28.7,27.3,22.4,16.6,12.6,19.1
14,1906,8.4,7.6,11.3,17.0,21.1,24.3,28.9,31.4,26.9,21.6,15.4,11.3,18.8
15,1907,9.6,7.1,10.9,18.0,22.0,24.3,28.2,31.4,27.1,21.8,16.8,10.8,19.0
16,1908,9.3,8.6,11.0,16.8,21.6,25.4,28.6,30.9,26.3,22.5,15.3,12.0,19.0
17,1909,8.6,7.8,10.6,17.4,21.9,24.3,29.5,32.7,28.0,21.1,16.7,10.3,19.1
18,1910,9.5,7.4,10.5,16.5,21.4,25.0,29.5,30.6,25.8,21.2,16.2,9.7,18.6
19,1911,8.4,9.2,12.3,16.9,21.7,24.8,30.4,31.2,29.5,22.0,17.6,11.1,19.6
20,1912,8.5,11.2,13.1,17.9,22.2,26.2,29.7,31.7,26.1,21.8,15.4,11.4,19.6
21,1913,8.6,8.9,11.6,18.5,21.9,25.3,29.9,31.1,26.6,21.9,16.8,10.9,19.3
22,1914,9.7,9.7,14.7,17.2,22.6,25.7,32.5,33.5,29.6,22.8,18.0,12.3,20.7
23,1915,9.6,9.5,11.9,17.3,21.8,25.9,30.5,31.7,28.7,23.7,17.6,12.5,20.1
