,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1931,5.5,5.1,5.5,8.3,11.2,16.8,21.1,25.9,19.7,13.3,9.6,6.9,12.4
1,1932,6.4,5.5,6.0,8.4,12.0,18.0,24.7,24.5,20.9,12.7,9.2,6.7,12.9
2,1933,5.5,5.1,5.6,8.4,13.6,18.3,26.1,27.1,19.1,13.3,9.1,6.9,13.2
3,1934,5.1,5.3,5.3,7.2,11.7,17.6,24.3,24.5,19.6,12.3,8.7,6.5,12.3
4,1935,5.6,5.5,5.9,8.5,12.4,16.8,24.0,23.9,20.1,13.2,9.2,6.4,12.6
5,1936,4.8,4.8,5.2,7.9,11.7,18.3,23.2,25.5,22.0,12.5,8.8,6.8,12.6
6,1937,5.9,6.0,6.1,8.9,11.7,16.7,25.7,27.1,19.6,13.5,10.3,5.9,13.1
7,1938,4.9,5.1,6.7,8.5,14.1,18.5,24.7,24.8,19.3,14.5,8.8,6.7,13.1
8,1939,4.9,5.1,5.7,8.4,12.4,17.1,25.3,24.5,20.7,14.5,10.0,6.4,12.9
9,1940,5.3,4.9,5.6,8.3,11.3,17.3,25.3,24.0,19.6,13.5,10.0,6.8,12.7
10,1941,5.9,5.3,6.5,8.0,12.7,19.1,23.3,24.5,18.4,12.7,9.6,7.1,12.8
11,1942,5.2,4.9,6.7,7.7,12.1,18.7,27.2,25.6,21.1,12.8,8.1,6.3,13.0
12,1943,5.1,4.9,5.6,7.6,12.8,18.4,25.2,26.8,21.6,14.0,8.9,6.7,13.1
13,1944,5.2,4.8,5.7,8.3,13.7,19.2,25.1,26.7,20.3,14.4,9.9,6.1,13.3
14,1945,4.9,4.8,5.7,7.5,11.6,18.3,21.6,26.9,20.7,14.7,9.7,6.4,12.7
15,1946,5.3,4.9,5.9,9.6,12.9,20.7,26.3,26.0,18.8,13.7,10.8,6.7,13.5
16,1947,5.7,5.1,5.6,7.7,12.3,17.3,24.9,26.3,20.5,12.4,8.3,6.0,12.7
17,1948,5.3,5.3,6.0,9.3,12.7,18.9,26.3,26.8,20.8,14.3,9.9,8.0,13.6
18,1949,6.3,6.5,5.7,8.3,13.7,18.5,24.4,24.9,20.3,13.2,9.3,7.1,13.2
19,1950,5.5,5.5,6.2,9.9,14.0,19.8,25.4,27.9,21.3,13.2,9.5,6.1,13.7
20,1951,5.0,5.2,6.3,8.7,12.8,17.3,23.6,26.1,17.3,14.4,9.5,6.9,12.8
21,1952,5.8,5.2,6.0,9.3,12.7,19.2,25.3,26.9,21.0,13.6,10.2,6.8,13.5
22,1953,5.3,5.2,7.1,8.4,12.4,20.3,25.3,26.2,21.3,14.2,8.9,7.6,13.5
23,1954,6.0,5.8,6.8,10.1,12.9,17.0,23.1,26.6,22.2,13.0,9.6,7.0,13.3
24,1955,5.4,5.5,7.4,9.9,14.1,21.0,27.0,25.5,20.1,15.0,9.2,7.2,13.9
25,1956,5.8,5.3,6.7,8.9,13.5,19.3,25.7,24.8,21.7,14.8,9.8,6.2,13.5
26,1957,5.6,5.4,5.4,9.2,12.7,17.2,24.5,26.5,18.4,13.3,9.9,7.4,13.0
27,1958,5.6,5.8,6.4,9.3,12.1,18.9,25.4,25.5,21.7,13.6,9.5,7.4,13.4
28,1959,5.4,6.4,7.4,9.4,13.2,18.2,24.9,26.2,21.6,14.7,10.2,7.0,13.7
29,1960,5.7,5.5,6.9,8.4,13.4,18.6,24.4,26.5,21.3,14.2,10.5,6.8,13.5
30,1961,5.3,5.1,6.1,9.0,13.8,18.7,27.6,27.9,23.6,16.6,10.0,7.0,14.2
31,1962,5.7,5.5,6.0,9.0,13.3,18.1,26.3,26.4,21.2,13.3,9.7,6.8,13.4
32,1963,5.1,5.0,5.9,9.6,15.4,20.7,25.9,26.0,18.1,13.4,9.4,6.9,13.5
33,1964,6.2,5.3,6.3,12.0,13.5,17.8,25.9,28.4,20.5,13.2,8.9,6.8,13.7
34,1965,5.3,5.3,5.7,7.5,12.8,18.9,23.9,24.3,19.1,12.3,9.7,6.5,12.6
35,1966,5.3,5.6,6.5,9.6,12.3,18.5,24.4,26.2,20.8,14.3,9.1,6.0,13.2
36,1967,5.2,5.2,6.1,9.3,13.1,18.0,25.9,26.7,21.2,13.0,9.5,6.2,13.3
37,1968,5.4,5.0,6.1,9.4,12.6,18.0,24.0,25.9,18.8,13.0,9.5,8.1,13.0
38,1969,5.6,5.6,5.7,9.5,12.0,17.5,24.0,25.3,20.2,12.6,8.8,6.3,12.8
39,1970,5.0,5.2,5.0,8.1,13.6,17.9,24.3,26.6,21.4,13.3,9.0,6.1,13.0
40,1971,5.4,5.5,5.7,8.3,12.7,18.7,25.5,25.3,19.5,12.7,9.2,6.5,12.9
41,1972,6.5,6.0,7.3,9.3,12.7,17.7,24.7,25.3,19.9,13.6,9.0,6.8,13.2
42,1973,6.1,6.0,6.1,10.4,11.7,17.5,24.7,26.5,19.1,12.7,8.3,5.3,12.9
43,1974,4.8,5.2,5.7,8.4,12.6,16.9,22.8,24.9,18.7,13.2,8.1,6.2,12.3
44,1975,5.2,4.9,5.6,9.5,13.1,18.9,24.0,24.2,21.2,13.7,9.5,6.4,13.0
45,1976,5.1,5.6,6.2,8.7,12.5,18.4,21.8,23.7,18.9,13.2,8.0,6.4,12.4
46,1977,4.9,4.8,6.1,8.8,12.0,18.5,24.6,24.1,21.1,13.9,10.7,7.3,13.1
47,1978,5.7,5.0,5.7,8.2,13.2,20.2,26.1,24.6,19.0,12.7,9.2,6.5,13.0
48,1979,5.9,6.4,6.2,8.2,11.6,20.2,22.7,25.0,20.2,14.8,10.5,7.5,13.3
49,1980,5.4,4.9,5.5,7.8,12.2,19.1,23.1,23.9,18.5,13.5,9.2,6.3,12.5
50,1981,4.9,5.0,5.7,7.8,11.5,18.3,25.4,23.9,18.0,12.4,8.3,5.9,12.3
51,1982,5.3,5.2,6.6,8.7,14.1,17.3,21.7,25.6,19.0,13.0,10.7,6.8,12.8
52,1983,5.8,5.3,6.3,9.9,13.0,16.4,24.0,27.6,22.2,13.3,9.1,6.0,13.2
53,1984,5.3,4.8,5.0,7.1,12.1,19.1,25.8,26.0,19.1,12.6,8.9,6.6,12.7
54,1985,4.9,5.6,6.3,8.9,13.8,18.0,24.5,27.3,20.9,13.5,9.7,6.3,13.3
55,1986,4.9,4.8,5.8,8.5,12.1,17.2,22.2,24.6,20.5,12.9,9.0,6.9,12.5
56,1987,5.4,5.3,6.5,8.1,12.2,17.5,24.8,26.4,19.9,14.3,9.2,6.4,13.0
57,1988,5.9,4.8,6.0,8.6,12.5,18.2,22.3,26.5,21.4,12.4,7.9,6.0,12.7
58,1989,6.4,6.2,6.8,9.1,12.8,17.2,22.1,25.2,21.6,12.9,10.2,6.7,13.1
59,1990,5.4,6.9,6.9,9.7,13.3,19.8,24.7,25.6,21.8,14.5,10.8,7.1,13.9
60,1991,5.6,5.2,6.8,9.6,13.2,20.5,24.4,25.1,21.6,15.2,9.2,7.2,13.6
61,1992,6.0,5.4,7.0,8.9,12.2,16.8,23.6,25.5,18.9,14.0,9.5,7.1,12.9
62,1993,5.8,5.7,6.2,8.0,12.3,18.2,22.7,23.2,18.9,12.6,10.1,6.7,12.5
63,1994,5.4,5.2,5.8,8.3,12.4,18.1,26.9,27.2,21.3,15.4,9.8,6.7,13.5
64,1995,5.4 ),5.5,6.5,8.8,13.3,17.7,24.8,26.7,18.3,14.5,7.9,6.0,13.0
65,1996,5.5,5.0,6.2,7.4,12.3,19.3,24.3,24.5,18.9,13.2,9.7,6.7,12.8
66,1997,5.7,5.2,6.4,9.0,14.0,19.0,24.0,25.4,20.2,12.1,9.8,6.8,13.1
67,1998,5.8,5.9,6.7,12.0,15.4,19.6,25.3,27.2,23.0,16.8,9.6,7.3,14.6
68,1999,5.8,5.5,7.0,9.9,13.1,19.5,25.4,27.5,24.8,15.4,10.7,7.1,14.3
