,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,12.3,15.0,18.9,22.6,20.9,22.1,23.9,24.1,20.0,13.5,11.1,9.4,17.8
1,1962,10.0,13.2,15.2,18.3,17.7,13.2,16.3,18.5,16.3,13.5,9.2,9.5,14.2
2,1963,10.9,14.0,16.2,15.1,12.5,14.4,18.4,15.7,13.9,13.7,11.4,10.8,13.9
3,1964,10.1,12.8,18.0,17.2,24.5,18.9,23.2,22.1,15.2,13.7,13.0,11.5,16.7
4,1965,11.4,15.2,19.2,19.8,19.6,18.3,16.2,21.5,13.9,15.8,10.2,8.2,15.8
5,1966,10.2,11.3,12.9,15.4,18.9,16.2,19.4,18.0,14.6,13.0,10.6,8.5,14.1
6,1967,10.3,11.8,13.8,14.2,19.2,19.3,16.7,18.2,15.7,10.9,8.3,8.2,13.9
7,1968,8.5,12.7,14.1,15.5,17.8,17.3,14.9,16.1,12.0,11.1,10.4,7.1,13.1
8,1969,7.8,8.6,12.2,16.3,19.1,16.8,16.4,18.3,13.3,11.8,9.0,8.2,13.1
9,1970,9.7,11.4,13.7,13.5,15.9 ),11.7,16.7,16.5,12.7,10.9,9.6,7.5,12.5
10,1971,9.6,10.0,14.4,15.8,15.6,12.7,15.2,15.5,12.3,11.0,9.8,8.2,12.5
11,1972,8.0,9.4,13.4,15.1,17.1,16.2,15.6,16.8,13.0,11.0,7.4,6.5,×
12,1973,7.0,8.7,13.1,13.8,17.2,17.2,20.0,15.9,11.9,9.9,8.5,7.5,12.6
13,1974,8.4,9.5,12.3,16.3,18.3,17.2,15.5,17.8,13.1,9.4,8.3,6.2,12.7
14,1975,7.5,9.3,14.0,13.9,16.2,16.5,18.6,18.4,15.6,9.5,9.1,7.7,13.0
15,1976,9.0,9.8,13.7,15.9,18.8,17.0,21.0,19.3,13.7,12.1,8.1,7.6,13.9
16,1977,8.5,12.1,13.4,17.4,18.5,16.3,20.4,16.6,14.7,13.6,8.2,7.9,14.0
17,1978,8.0,10.3,14.9,17.1,18.6,18.4,23.7,20.2,13.9,11.3,8.6,7.1,14.3
18,1979,7.5,9.9,12.9,16.8,21.0,15.8,18.4,18.1,13.0,13.9,8.2,8.5,13.6
19,1980,8.3,12.9,14.1,17.4,19.1,16.0,15.6,12.9,13.9,11.5,9.0,7.4,13.2
20,1981,9.2,10.3,13.6,16.4,19.2,15.5,20.3,18.0,14.1,10.9,8.0,8.0,13.6
21,1982,8.6,10.4,14.0 ),17.1,19.0,18.7,15.6,17.0,11.8,11.8,7.3,7.5,13.2
22,1983,8.3,11.3,10.9,14.9,19.8,18.9,17.8,18.6,12.5,11.6,9.2,7.7,13.5
23,1984,7.9,10.8,12.9,14.7,18.8,15.5,18.1,19.0,13.5,11.2,8.6,7.3,13.2
24,1985,8.1,7.0,10.5,15.4,17.3,14.7,18.3,19.6,13.1,11.2,7.6,6.6,12.5
25,1986,7.7,10.5,12.7,17.6,17.7,18.1,17.1,21.0,13.5,11.9,8.4,7.1,13.6
26,1987,8.1,10.4,11.7,16.2,17.4,19.0,15.6,17.1,13.5,11.8,8.3,7.7,13.1
27,1988,7.2,10.1,10.4,15.1,18.0,16.0,16.4,17.2,13.2,11.8,10.0,7.7,12.8
28,1989,7.3,8.4,14.4,17.1,15.6,16.3,18.0,16.4,11.8,12.4,8.9,7.7,12.9
29,1990,7.8,8.7,13.8,16.5,18.4,18.0,20.5,19.4,12.2,10.6,8.9,7.9,13.6
30,1991,7.6,10.1,11.3,16.0,15.9,13.7,17.5,16.4,13.0,9.4,9.3,6.4,12.2
31,1992,6.6,10.5,10.0,16.1,19.1,17.9,18.1,15.2,14.2,11.5,8.3,6.9,12.9
32,1993,6.6,10.3,13.6,16.6,17.5,15.9,15.5,14.1,11.5,10.4,7.1,6.9,12.2
33,1994,7.9,10.3 ),14.0,17.7,19.9,17.3,22.5,21.8,15.8,11.4,8.9,7.4,14.6
34,1995,7.4,10.7,12.1,14.2,17.1,16.6,18.5,21.0,14.1,12.6,10.4,8.7,13.6
35,1996,8.8,11.9,12.7,18.4,18.8,15.3,19.6,19.3,13.6,11.3,8.3,7.9,13.8
36,1997,8.6,11.4,13.2,16.0,19.5,18.3,17.7,18.9,12.9,13.4,8.8,7.4,13.8
37,1998,7.9,10.0,14.2,15.3,16.7,15.4,19.5,18.3,12.2,10.4,9.0,8.5,13.1
38,1999,9.2,11.5 ),11.5,16.7,21.3,17.0,16.7 ),17.8,14.3,12.6,9.2,8.5,13.9
39,2000,7.2,11.8,15.5,17.7,20.2,16.1,21.2,21.7,15.5,10.4,7.7,7.8,14.4
40,2001,8.5 ),9.8,14.5,18.6,17.6,17.7,21.2,19.6,14.8,13.1,9.6,7.9 ),14.4
41,2002,8.3,11.1 ),16.3 ),16.7 ),17.7,19.5,19.5,19.6 ),15.5 ),12.2,9.0,6.4,14.3
42,2003,8.1 ),10.7,14.1,15.1,19.1,16.1,16.1,17.2,16.3,13.1,7.1,7.9,13.4
43,2004,9.4,12.2,14.3 ),20.8,17.8,19.4,22.2,17.1,13.2,11.2,9.9 ),7.8,14.6
44,2005,8.3 ),10.2,13.7,19.8,21.7,21.1,17.3,18.1,14.6,11.1,9.6,7.9,14.5
45,2006,8.2,9.9,13.5,15.2,16.5,17.5,15.0 ),20.3,15.0 ),12.5,8.7,6.8,13.3
46,2007,9.2,11.9,15.7,18.1,20.7,20.0,15.7,20.5 ),15.7,12.5,9.6,7.3,14.7
47,2008,7.6,11.3 ),15.5,17.7,18.5 ),15.5,22.4,17.4,13.9,11.6,8.9,8.4,14.1
48,2009,8.2,10.0,14.5 ),19.9,19.0,19.7,15.8,18.3,16.2,12.6,8.3,8.3,14.2
49,2010,9.0 ),10.6,11.7,15.3,19.6,18.2,18.0,21.2,16.2,10.4,9.6,7.6,14.0
50,2011,9.8,11.3,15.3,18.7,17.2,15.9,17.0,19.0,14.6,12.0,8.2,8.0 ),13.9
51,2012,8.7,9.7,12.5,17.4,18.5,15.2,18.8,19.8,14.0,13.0,8.7,7.0,13.6
52,2013,9.1,10.9,15.0,17.9,21.8,16.9,20.9,19.4,16.1,11.2,9.0,7.6,14.7
53,2014,9.1,9.6,14.2,16.9,21.9,16.4,18.2,12.7,15.4,11.5,8.9,7.3,13.5
54,2015,8.1,11.2,13.5,14.8,21.3,15.7,16.2,17.5,13.1,14.5,7.3,7.8,13.4
55,2016,7.8,11.3,15.5,16.4,19.1,15.6,20.5,21.3,11.5,10.9,8.9,7.8,13.9
56,2017,9.3,12.0,14.2,18.0,20.9,20.2,19.0,20.2,13.4,8.6,9.2 ),8.5,14.5
57,2018,8.7,11.9,16.2,18.6,19.2,18.1,21.5,22.2,11.1,12.9,10.4,7.1,14.8
58,2019,8.7,10.2,14.1 ],　,　,　,　,　,　,　,　,　,9.5 ]
