,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,6.4,6.6,6.4,8.0,6.2,7.9,5.9,4.5,6.8,6.8,6.2,4.4,6.3
1,1952,5.7,7.6,6.2,5.5,7.8,8.7,7.4,4.7,5.8,5.9,6.1,5.9,6.4
2,1953,6.5,7.3,6.5,6.6,7.6,8.8,6.3,5.1,6.8,6.2,6.0,5.9,6.6
3,1954,6.7,5.9,6.3,8.3,8.0,9.3,8.2,5.3,5.8,5.4,5.6,5.3,6.7
4,1955,5.7,5.9,7.7,6.9,7.6,7.7,6.9,5.5,4.8,5.7,5.5,3.6,6.1
5,1956,7.3,5.9,7.4,6.9,9.1,7.3,6.0,5.7,7.1,6.2,5.7,5.4,6.7
6,1957,5.5,7.2,6.2,6.5,7.5,8.2,6.5,6.2,8.4,5.5,6.0,5.5,6.6
7,1958,6.6,6.3,6.9,7.0,7.0,6.9,5.3,5.5,5.0,7.3,4.8,4.9,6.1
8,1959,6.4,8.8,5.7,7.0,7.2,7.7,5.5,5.6,4.6,5.8,5.2,5.7,6.3
9,1960,5.8,4.5,6.8,6.7,7.0,7.7,4.0,6.2,6.4,4.9,5.2,6.0,5.9
10,1961,5.0,6.5,6.1,6.6,8.9,7.7,5.6,5.3,4.6,4.8,5.9,4.7,6.0
11,1962,5.9,4.7,5.7,6.4,7.7,8.8,6.5,4.4,5.2,4.9,6.3,5.4,6.0
12,1963,7.4,6.0,5.4,7.0,7.1,6.7,5.3,7.0,6.3,3.8,5.7,5.3,6.1
13,1964,6.5,6.7,4.6,7.1,6.3,8.6,4.2,5.7,5.3,5.7,3.8,6.1,5.9
14,1965,5.3,6.4,5.4,6.9,7.0,9.0,5.8,4.8,6.6,4.3,6.0,6.7,6.2
15,1966,5.4,5.8,6.8,7.7,7.2,7.8,4.8,6.5,5.1,5.3,5.3,6.4,6.2
16,1967,6.2,6.8,5.8,7.9,7.0,7.2,6.9,4.1,5.1,5.9,7.4,6.6,6.4
17,1968,6.5,6.7,6.4,6.0,7.2,8.1,7.4,5.5,6.3,6.1,4.0,6.4,6.4
18,1969,8.0,7.5,7.4,6.6,6.8,7.6,6.0,5.2,5.8,6.4,5.6,5.7,6.6
19,1970,6.9,5.8,7.5,7.2,8.3,8.9,6.4,6.2,5.8,7.4,5.2,6.7,6.9
20,1971,5.2,7.0,4.9,6.1,6.0,7.3,5.6,5.4,6.2,7.2,4.2,6.1,5.9
21,1972,6.0,7.2,5.3,7.0,7.3,8.3,7.0,4.9,5.5,5.1,7.6,5.9,6.4
22,1973,6.4,7.6,5.6,7.6,8.1,8.3,5.1,4.6,7.4,6.2,4.8,5.5,6.4
23,1974,5.0,6.3,5.9,6.3,7.4,7.2,6.3,5.1,6.4,7.3,5.9,7.4,6.4
24,1975,7.0,6.4,6.4,7.4,7.9,8.1,5.9,7.1,4.9,7.2,4.6,6.2,6.6
25,1976,6.2,6.5,7.6,7.4,7.1,8.2,7.3,5.3,6.3,5.6,6.7,5.6,6.7
26,1977,7.3,6.2,6.6,6.4,8.3,8.6,5.9,6.0,5.6,5.1,6.1,5.5,6.5
27,1978,6.9,6.5,7.1,6.6,7.8,7.8,5.0,5.6,6.4,6.5,5.1,5.0,6.4
28,1979,5.4,6.9,7.2,6.8,5.9,7.6,7.3,5.7,6.3,4.2,7.4,4.3,6.3
29,1980,6.9,6.5,7.5,6.9,7.3,7.7,7.1,6.4,6.1,5.9,5.4,6.5,6.7
30,1981,6.3,7.3,7.1,7.1,6.3,7.2,6.0,6.9,8.0,6.1,6.9,5.4,6.7
31,1982,5.5,6.7,6.9,6.7,6.7,8.3,8.4,6.9,6.8,5.5,7.6,6.4,6.9
32,1983,6.2,7.3,8.3,8.2,7.7,8.6,6.6,5.3,6.5,7.3,5.0,5.3,6.9
33,1984,7.2,7.3,7.9,7.2,6.7,8.6,5.2,6.3,6.7,4.5,5.7,7.0,6.7
34,1985,5.9,8.0,8.1,6.2,7.2,8.4,6.6,6.9,4.9,5.7,5.2,6.4,6.6
35,1986,6.2,7.1,6.6,7.3,6.0,7.7,5.8,4.8,6.7,5.5,6.8,5.9,6.4
36,1987,5.3,6.9,8.4,7.7,7.9,8.0,7.0,6.0,6.9,6.6,7.2,6.6,7.0
37,1988,7.1,7.5,8.6,6.7,7.6,8.8,6.8,6.6,7.1,4.9,5.2,5.0,6.8
38,1989,6.7,7.6,6.5,7.9,8.4,7.9,7.0,6.8,7.1,4.8,6.1,4.6,6.8
39,1990,7.0,8.0,6.2,7.1,7.9,7.1,5.2,5.5,6.3,5.6,5.5,5.5,6.4
40,1991,6.4,6.9,7.6,8.2,8.0,8.5,7.2,6.9,7.4,6.1,4.5,5.9,7.0
41,1992,7.0,7.1,9.0,6.3,6.6,8.5,6.4,7.2,5.5,5.2,6.4,5.8,6.8
42,1993,7.0,5.7,6.7,6.8,8.0,7.9,8.4,6.2,7.4,5.5,6.4,5.9,6.8
43,1994,6.3,7.5,6.2,7.7,6.2,8.2,3.8,5.0,4.3,5.6,4.8,6.8,6.0
44,1995,6.7,6.7,6.1,8.0,7.1,8.7,5.1,3.9,6.1,5.0,5.7,5.3,6.2
45,1996,5.9,6.7,7.8,6.9,6.9,7.6,6.2,6.8,7.6,7.2,6.0,5.2,6.7
46,1997,6.9,6.9,6.3,6.6,6.8,7.9,6.2,6.5,6.3,4.2,5.7,6.2,6.4
