,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1921,71,70,71,78,81,85,86,87,88,81,73,70,78
1,1922,69,76,68,78,81,83,86,86,84,82,77,67,78
2,1923,70,70,75,77,81,85,87,86,88,86,83,78,81
3,1924,70,68,68,81,77,86,85,85,86,86,79,73,79
4,1925,69,68,65,77,83,84,87,89,88,85,81,74,79
5,1926,67,68,71,72,81,82,85,86,86,83,73,73,77
6,1927,71,70,74,78,80,84,89,89,89,86,82,78,81
7,1928,73,68,72,77,83,87,89,90,88,86,82,74,81
8,1929,64,64,67,76,85,83,86,88,89,87,85,81,80
9,1930,72,74,77,81,82,87,88,88,87,85,81,77,82
10,1931,71,76,71,74,77,86,90,86,85,84,82,77,80
11,1932,76,67,71,75,78,86,88,87,89,85,83,76,80
12,1933,75,71,76,82,82,86,91,87,80,83,80,85,82
13,1934,69,67,71,80,84,86,91,89,93,86,78,77,81
14,1935,72,77,70,80,80,83,87,90,91,84,81,74,81
15,1936,62,71,73,79,85,86,87,88,88,84,80,79,80
16,1937,73,75,72,77,80,84,86,83,85,85,82,69,79
17,1938,69,67,77,75,84,89,91,90,88,86,79,75,81
18,1939,65,66,69,78,82,86,86,90,88,85,81,75,79
19,1940,64,63,67,75,79,84,84,88,88,85,84,76,78
20,1941,70,69,74,76,79,87,91,89,87,82,80,78,80
21,1942,68,73,75,73,82,88,87,88,91,84,77,74,80
22,1943,67,68,69,74,83,87,89,90,91,86,80,74,80
23,1944,68,64,74,76,85,87,88,88,86,89,80,72,80
24,1945,66,63,71,74,83,87,92,90,92,92,79,69,80
25,1946,68,68,73,76,85,89,93,94,93,91,89,73,83
26,1947,74,68,73,73,84,91,89,88,92,88,86,79,82
27,1948,71,69,74,80,86,88,90,90,86,84,83,80,82
28,1949,74,70,67,71,84,88,90,92,89,89,85,84,82
29,1950,70,69,69,78,80,87,83,86,83,82,80,73,78
30,1951,70,72,73,76,80,83,86,84,85,84,79,76,79
31,1952,71,76,74,79,79,85,87,85,86,81,82,76,80
32,1953,65,67,72,71,77,87,85,87,87,81,74,77,78
33,1954,75,71,69,78,77,84,84,82,83,82,77,71,78
34,1955,64,65,77,78,81,83,83,83,85,83,81,75,78
35,1956,71,68,74,74,83,83,87,83,87,84,81,68,79
36,1957,69,67,63,74,78,85,89,85,85,83,80,79,78
37,1958,70,70,71,74,78 ),84,87,87,87,85,82,79,80
38,1959,75,77,76,74,80,87,87,87,85,83,82,80,81
39,1960,65,69,72,74,83,84,85,86,86,81,84,78,79
40,1961,70,62,75,75,80,84,86,87,84,86,78,76,79
41,1962,72,70,73,76,82,85,90,85,83,82,82,79,80
42,1963,62,68,71,80,84,87,88,87,84,85,82,76,80
43,1964,77,68 ),73,83,80,84,89,87,88,83,78,76,81
44,1965,72 ),63,64,72 ),84,87,90 ),86 ),87 ),80,81 ),75,78
45,1966,64,72,72,78 ),80,86,88,86,86,84,81,74 ),79
46,1967,68,76,76,75,80,83,86,84,87,83,81,73,79
47,1968,63,62,72,78,80,85,87,86,84,82,77,77,78
48,1969,72,75,71,74,75,82,85,84,83,79,79,70,77
