,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1968,　,　,　,　,1010.5 ],1011.2,1007.2,1008.6,1014.9,1015.1,1019.1,1014.8,1013.0 ]
1,1969,1014.1,1016.1,1015.4,1015.0,1009.4,1009.1,1011.3,1009.4,1013.8,1015.4,1018.4,1017.0,1013.7
2,1970,1014.8,1015.7,1015.0,1017.7,1012.9,1011.8,1008.8,1011.9,1013.2,1018.1,1016.3,1015.9,1014.3
3,1971,1013.7,1016.1,1015.0,1015.6,1013.0,1008.0,1007.5,1009.9,1011.9,1016.9,1018.5,1018.3,1013.7
4,1972,1018.6,1013.2,1014.7,1017.5,1010.9,1009.0,1009.3,1010.8,1012.2,1016.6,1016.3,1016.9,1013.8
5,1973,1017.7,1015.1,1014.2,1014.0,1013.0,1009.3,1010.9,1013.8,1012.8,1017.4,1015.2,1013.6,1013.9
6,1974,1013.7,1015.1,1016.5,1013.2,1014.3,1007.5,1009.7,1008.0,1012.5,1015.0,1018.3,1019.6,1013.6
7,1975,1014.1,1012.9,1013.4,1015.4,1012.2,1007.9,1010.0,1012.2,1013.4,1016.6,1018.5,1016.2,1013.6
8,1976,1013.6,1016.7,1015.5,1017.0,1012.1,1010.4,1012.1,1010.0,1011.9,1014.1,1018.0,1015.4,1013.9
9,1977,1016.1,1015.7,1017.9,1013.7,1012.1,1009.1,1009.3,1006.4,1013.0,1019.4,1018.4,1018.2,1014.1
10,1978,1011.4,1013.6,1013.0,1012.4,1012.8,1010.7,1011.0,1011.1,1012.9,1017.2,1017.7,1019.6,1013.6
11,1979,1016.3,1011.6,1013.8,1015.0,1010.8,1013.4,1008.2,1009.6,1014.3,1013.6,1018.9,1019.4,1013.7
12,1980,1013.3,1015.7,1015.3,1016.7,1012.6,1010.7,1008.0,1009.7,1013.1,1015.7,1017.3,1010.4,1013.2
13,1981,1013.4,1013.5,1016.1,1012.7,1010.3,1010.2,1011.7,1006.8,1013.2,1015.0,1017.9,1017.8,1013.2
14,1982,1014.8,1016.6,1015.8,1015.6,1012.0,1007.3,1010.1,1011.0,1012.5,1016.3,1018.3,1017.1,1014.0
15,1983,1018.3,1015.1,1016.0,1015.9,1012.7,1009.7,1007.8,1008.8,1012.8,1016.4,1015.8,1014.4,1013.6
