,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1891,　,　,　,　,23.8,25.1,29.0,30.2,28.5,22.8,17.2,12.1,23.6 ]
1,1892,9.0,9.0,10.6,18.2,21.7,25.3,30.4,31.5,27.8,21.3,15.9,9.3,19.2
2,1893,8.1,6.8,12.0,18.5,21.3,24.8,32.0,31.6,28.4,21.9,15.4,11.4,19.4
3,1894,9.1,10.2,13.1,19.0,22.5,28.3,31.9,32.9,27.5,20.8,18.0,11.7,20.4
4,1895,8.2,9.6,13.4,19.0,22.4,25.6,27.9,30.6,26.7,22.3,16.8,11.0,19.5
5,1896,9.5,8.7,10.6,18.9,21.5,26.5,28.7,30.0,25.9,21.5,17.2,11.3,19.2
6,1897,9.5,8.5,12.2,17.1,22.3,25.1,29.6,32.1,26.9,21.5,17.7,10.4,19.4
7,1898,10.5,10.2,12.2,17.4,22.4,25.6,30.1,31.8,27.8,22.6,17.8,12.5,20.1
8,1899,9.4,10.3,14.6,18.6,23.1,26.8,29.0,30.0,24.8,19.5,15.6,12.8,19.5
9,1900,7.4,9.0,12.2,18.5,23.1,25.6,28.3,30.9,27.9,22.3,17.5,11.4,19.5
10,1901,10.8,8.3,12.7,18.6,22.1,25.1,27.0,30.6,27.0,22.7,16.4,11.3,19.4
11,1902,9.5,9.6,14.6,17.2,21.9,25.0,28.0,29.1,26.4,22.0,18.5,13.7,19.6
12,1903,10.4,9.8,13.7,18.5,21.6,25.5,27.1,32.1,28.8,21.9,15.8,10.3,19.6
13,1904,8.7,11.1,12.0,19.5,22.1,26.2,30.8,31.2,27.1,21.6,15.8,12.8,19.9
14,1905,11.4,8.5,11.6,17.2,22.8,25.5,30.3,29.1,27.4,22.5,17.0,13.8,19.8
15,1906,8.8,8.3,13.0,18.6,22.1,24.9,29.0,31.2,26.4,21.6,15.1,11.8,19.2
16,1907,10.6,7.7,12.2,18.3,22.8,24.6,28.3,30.7,26.6,21.8,17.2,11.5,19.4
17,1908,10.8,9.7,11.8,18.2,22.2,26.1,28.2,29.9,25.9,22.6,15.5,13.0,19.5
18,1909,8.7,8.5,11.4,19.2,22.6,25.2,29.9,31.2,28.0,21.1,17.2,11.3,19.5
19,1910,10.8,8.6,11.5,17.4,22.6,25.7,30.3,31.2,26.2,21.2,17.2,10.7,19.5
20,1911,9.3,10.2,13.5,18.1,22.3,25.3,29.4,30.6,28.7,21.8,18.2,11.8,19.9
21,1912,9.1,12.2,13.1,18.8,22.5,26.3,29.3,31.6,26.1,21.9,15.5,12.2,19.9
22,1913,9.1,10.1,12.2,19.7,22.5,25.7,30.2,31.5,26.3,22.0,17.5,11.6,19.9
23,1914,11.0,10.2,15.3,17.4,23.2,26.0,32.2,32.4,28.7,22.9,18.6,12.9,20.9
24,1915,10.1,10.1,12.9,18.3,22.8,26.8,31.1,31.4,28.8,24.5,18.8,13.2,20.7
25,1916,12.7,11.0,12.1,19.5,23.7,28.3,30.7,32.4,29.7,22.4,17.9,13.1,21.1
26,1917,8.0,9.6,12.5,18.0,22.4,26.0,31.9,30.7,28.4,22.3,15.3,9.7,19.6
27,1918,8.0,10.1,12.9,18.8,22.6,25.6,30.4,30.7,27.2,22.5,16.8,11.5,19.8
28,1919,9.2,10.1,14.3,20.1,23.8,26.4,30.0,31.1,27.8,23.7,17.6,11.8,20.5
29,1920,9.6,8.9,12.9,19.2,23.0,26.6,31.2,30.3,28.2,23.3,18.6,12.5,20.4
30,1921,11.0,10.9,12.6,19.4,23.1,23.4,29.8,32.4,26.9,22.8,16.3,12.3,20.1
31,1922,7.8,12.4,13.3,19.3,24.1,28.1,30.2,33.5,29.7,23.7,17.8,11.9,21.0
32,1923,8.9,9.6,15.9,18.8,23.4,26.2,29.9,34.0,28.5,23.1,17.6,12.9,20.7
