,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1931,5.4,7.5,4.9,6.7,6.3,8.3,9.0,6.4,8.2,6.8,6.7,5.8,6.8
1,1932,4.1,4.8,5.7,6.4,6.2,9.0,7.4,7.0,8.4,7.7,6.1,5.0,6.5
2,1933,5.9,4.9,7.3,8.3,7.0,7.7,7.9,6.6,6.1,7.1,5.7,3.6,6.5
3,1934,3.3,3.5,5.4,8.1,6.6,8.2,9.0,7.8,9.1,7.5,5.7,6.3,6.7
4,1935,3.8,5.9,5.6,6.6,7.8,7.4,8.3,7.5,8.6,6.3,6.3,5.4,6.6
5,1936,3.8,6.3,6.0,7.4,7.7,7.1,7.4,7.5,6.7,6.5,6.4,5.1,6.5
6,1937,6.0,6.6,6.7,7.1,7.0,7.7,8.5,5.0,7.4,6.9,6.2,3.1,6.5
7,1938,3.7,4.0,7.6,5.9,8.2,8.6,8.4,7.7,7.7,7.2,4.9,4.4,6.5
8,1939,3.6,4.8,5.4,6.7,6.9,7.3,6.7,6.5,6.9,6.7,5.7,3.4,5.9
9,1940,2.5,4.3,4.9,5.4,5.5,6.6,7.3,7.1,7.5,7.3,6.2,3.8,5.7
10,1941,3.7,5.4,6.3,6.8,8.1,8.3,8.4,7.6,8.7,5.9,6.8,5.3,6.8
11,1942,2.6,6.5,6.7,5.6,6.6,8.4,6.5,6.8,8.0,5.8,4.1,4.1,6.0
12,1943,2.3,3.8,5.8,5.7,6.3,7.7,7.0,5.5,8.3,6.6,5.4,4.0,5.7
13,1944,3.9,4.3,6.2,6.1,7.7,7.2,7.3,5.8,6.7,7.6,6.5,4.7,6.2
14,1945,3.5,4.7,5.9,5.9,6.9,8.5,8.6,5.6,7.8,6.7,4.9,3.0,6.0
15,1946,3.8,5.2,6.6,6.1,8.6,7.5,6.7,6.9,7.4,6.6,6.7,4.1,6.4
16,1947,5.5,4.4,5.8,4.6,6.5,9.1,6.6,5.0,7.7,7.0,4.6,4.4,5.9
17,1948,3.7,5.0,6.7,7.1,8.3,7.9,7.0,8.1,7.1,7.1,6.2,5.0,6.6
18,1949,3.8,5.6,5.9,5.2,6.9,8.5,6.8,7.0,7.2,7.4,7.0,5.0,6.4
19,1950,4.6,4.9,5.6,7.6,8.3,8.5,5.9,6.2,6.3,7.0,6.4,4.1,6.3
20,1951,4.4,5.2,6.3,7.3,7.4,8.1,8.3,6.3,8.4,7.7,4.7,3.9,6.5
21,1952,4.2,7.1,6.7,7.4,6.4,8.6,7.9,6.6,7.7,7.0,6.3,4.3,6.7
22,1953,4.0,4.7,6.1,6.4,7.4,9.1,8.1,9.1,8.3,6.2,5.4,5.7,6.7
23,1954,6.2,4.4,6.1,7.5,7.1,9.2,9.1,7.1,7.1,7.3,5.5,4.4,6.8
24,1955,2.8,4.4,7.8,7.2,7.2,8.7,5.7,7.2,7.6,7.8,4.3,3.3,6.2
25,1956,3.9,5.0,6.8,7.1,7.7,8.6,8.1,7.0,7.2,8.6,6.2,2.0,6.5
26,1957,5.1,5.7,4.4,6.3,6.1,7.9,8.7,6.6,8.5,6.4,5.9,5.0,6.4
27,1958,5.0,4.5,6.0,7.1,6.8,7.9,8.2,7.2,7.3,7.7,6.2,4.1,6.5
28,1959,4.4,6.9,6.2,6.2,7.4,8.6,8.0,7.2,8.5,7.1,6.7,4.8,6.8
29,1960,3.4,4.2,6.0,7.0,7.1,8.6,7.8,6.7,7.2,7.2,6.1,3.6,6.2
30,1961,3.6,3.7,6.3,6.3,7.5,7.9,7.4,7.1,5.9,8.5,5.9,2.9,6.1
31,1962,3.8,4.1,4.7,6.2,7.2,8.8,7.8,5.3,6.9,6.6,6.2,3.6,5.9
32,1963,2.0,4.9,5.5,6.7,8.6,8.4,7.9,7.6,8.3,6.9,6.0,3.8,6.4
33,1964,6.6,6.3,5.9,8.7,7.1,8.6,7.8,7.2,8.7,7.2,4.8,5.0,7.0
34,1965,4.5,4.8,4.2,6.4,7.7,8.6,8.8,5.3,7.7,5.2,6.2,5.0,6.2
35,1966,3.0,5.5,6.6,7.8,6.0,8.7,8.3,6.7,8.2,5.5,5.9,4.8,6.4
36,1967,3.2,5.0,5.3,7.0,6.3,7.4,7.9,7.4,8.4,6.9,7.1,3.3,6.3
37,1968,3.2,4.4,6.7,6.4,7.0,8.1,8.0,7.9,7.3,7.3,3.7,5.7,6.3
38,1969,5.4,7.5,6.3,6.5,6.2,7.3,8.0,7.4,7.2,7.0,6.3,3.1,6.5
39,1970,4.2,4.2,5.8,7.5,7.5,8.2,7.4,7.7,8.2,6.2,5.2,4.7,6.4
