,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1943,8.6,8.2,7.4,6.5,7.2,8.4,8.8,6.3,8.7,7.7,7.0,8.1,7.7
1,1944,8.7,8.8,7.9,7.6,7.5,6.8,7.3,5.0,6.7,7.7,7.9,9.3,7.6
2,1945,9.2,8.8,7.9,5.6,7.3,8.2,8.1,5.2,8.3,8.0,6.9,8.5,7.7
3,1946,8.0,7.8,7.6,7.0,7.3,8.5,5.3,5.9,6.4,7.4,7.0,9.0,7.3
4,1947,8.8,8.0,7.8,5.9,7.2,8.1,7.9,5.0,8.1,8.5,6.7,9.0,7.6
5,1948,7.1,8.3,7.6,6.6,6.9,7.1,8.5,6.4,7.8,6.5,7.9,7.4,7.3
6,1949,8.1,8.5,7.6,6.7,6.2,8.1,7.6,4.9,7.2,7.0,8.2,8.5,7.4
7,1950,8.7,9.0,7.3,6.8,7.3,8.1,5.8,5.6,7.5,6.7,7.2,5.1,7.1
8,1951,8.7,8.7,7.2,7.0,6.6,6.2,7.3,5.8,7.2,6.1,7.1,6.7,7.1
9,1952,8.4,9.2,8.0,6.7,6.9,8.1,6.9,5.8,7.6,6.9,6.7,8.4,7.5
10,1953,8.0,8.5,7.5,5.8,6.9,9.0,8.1,6.9,6.9,6.0,7.5,8.0,7.4
11,1954,9.0,7.8,7.2,6.9,7.8,8.6,8.1,4.9,6.4,7.5,6.0,8.1,7.4
12,1955,8.8,7.7,8.4,6.7,6.5,7.9,5.6,5.8,7.3,8.1,5.6,6.8,7.1
13,1956,8.7,8.0,8.1,6.0,7.2,8.2,6.6,6.0,6.9,7.6,7.2,8.2,7.4
14,1957,8.3,9.2,7.5,6.3,6.5,7.6,9.0,6.6,7.6,6.0,6.3,8.1,7.4
15,1958,7.8,7.2,7.4,7.0,6.1,6.8,7.4,7.5,7.6,7.1,6.6,7.5,7.2
16,1959,8.2,8.1,7.0,6.9,6.7,6.9,7.4,6.2,6.7,6.0,6.2,8.0,7.0
17,1960,8.4,6.9,7.5,6.5,7.1,7.7,6.0,4.5,8.0,6.7,7.5,7.4,7.0
18,1961,8.3,7.9,6.9,6.5,7.5,8.0,6.7,6.1,6.5,8.3,7.3,8.1,7.3
19,1962,8.7,8.6,7.1,6.1,6.5,8.7,6.8,5.7,7.2,5.8,7.8,7.7,7.2
20,1963,8.3,8.3,6.3,7.5,8.7,8.9,6.7,6.2,6.9,7.0,6.8,7.4,7.4
21,1964,9.2,9.2,7.8,8.4,5.2,7.8,5.9,4.8,7.5,6.9,6.6,7.9,7.3
22,1965,7.9,8.4,6.8,7.4,6.6,7.4,8.1,4.5,6.8,4.5,7.0,8.3,7.0
23,1966,8.3,7.3,7.8,7.3,6.3,8.0,7.3,6.1,7.3,7.0,6.6,8.4,7.3
24,1967,8.2,8.3,6.9,7.6,6.2,7.0,6.9,6.3,6.3,6.8,8.0,7.1,7.1
25,1968,8.7,8.3,6.9,6.1,7.0,7.1,7.3,7.7,7.1,7.3,5.6,8.3,7.3
26,1969,8.7,8.7,8.0,6.6,5.1,6.7,7.5,6.4,7.1,6.2,6.9,7.7,7.1
