,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,2.8,3.7,3.5,4.0,3.3,2.6,2.5,2.9,2.9,3.2,3.2,3.4,3.2
1,1952,3.4,2.7,3.2,4.6,3.4,2.8,2.3,2.5,2.4,2.7,3.1,3.1,3.0
2,1953,3.2,3.1,3.9,3.7,3.9,2.7,2.4,2.5,2.5,2.3,3.3,3.4,3.1
3,1954,3.6,3.6,3.7,3.5,4.2,3.2,2.6,2.5,3.0,2.9,3.6,3.8,3.4
4,1955,3.5,3.5,3.8,4.1,3.2,2.8,2.4,2.8,2.6,2.9,3.2,3.1,3.2
5,1956,3.4,3.4,3.8,4.3,3.6,3.7,2.5,2.7,2.9,2.5,2.8,2.8,3.2
6,1957,3.1,3.0,3.2,4.1,2.8,2.8,2.6,2.8,2.7,2.8,2.7,3.1,3.0
7,1958,3.3,2.8,3.4,3.9,3.5,2.8,2.8,2.5,3.1,2.8,3.1,2.9,3.1
8,1959,3.3,3.5,3.5,3.9,3.1,2.5,2.5,2.3,3.1,2.6,3.3,3.1,3.1
9,1960,3.1,3.1,3.6,3.5,3.5,2.9,2.4,2.5,2.7,3.0,2.5,3.3,3.0
10,1961,3.1,2.6,2.8,3.8,2.9,2.4,2.6,2.2,2.3,2.4,2.8,2.7,2.7
11,1962,2.3,2.6,3.1,3.5,2.8,2.5,2.0,2.7,2.9,2.4,2.8,2.8,2.7
12,1963,3.2,2.5,2.8,3.4,3.2,2.3,2.3,2.4,2.7,2.7,2.6,2.7,2.7
13,1964,2.6,2.3,2.8,3.7,2.4,2.7,2.4,2.2,2.3,2.5,2.9,2.6,2.6
14,1965,2.6,2.4,3.1,2.9,3.0,2.1,2.5,2.4,2.5,2.9,3.1,2.7,2.7
15,1966,2.6,2.7,3.5,3.1,2.8,2.2,2.2,2.4,2.3,2.3,2.7,2.4,2.6
16,1967,2.3,2.7,3.2,3.9,2.5,2.4,2.2,2.2,2.4,2.7,2.7,2.9,2.7
17,1968,3.0,2.5,3.2,2.5,2.8,2.3,2.1,2.2,2.4,2.4,2.6,2.6,2.6
18,1969,2.4,2.5,3.0,3.6,3.0,2.6,2.2,2.5,2.4,2.6,2.8,2.9,2.7
19,1970,2.4,2.8,2.5,3.0,2.9,2.1,2.4,2.4,2.5,2.5,3.1,2.7,2.6
20,1971,2.5,2.6,3.2,3.1,3.1,2.2,2.5,2.6,2.0,2.3,2.4,3.0,2.6
21,1972,2.7,2.6,2.8,3.5,3.0,2.9,2.5,2.4,2.4,2.4,2.9,2.6,2.7
22,1973,2.6,2.4,2.6,3.2,3.2,2.3,2.2,2.4,2.3,2.4,3.2,2.9,2.6
