,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1918,-3.3,-2.3,0.9,5.5,9.7,16.2,21.8,21.4,16.7,10.9,5.0,1.5,8.7
1,1919,-1.2,-0.8,1.3 ),6.0,10.8,16.8,20.6,21.1,17.6,11.2,6.6,1.5,9.3
2,1920,-0.5,0.0,2.5,5.8,11.0,17.0,22.4,22.1,18.0,11.0,6.8,1.8,9.8
3,1921,0.0,-1.5,0.5,7.5,10.8,15.4,20.8,21.9,18.0,11.0,3.6,1.0,9.1
4,1922,-1.4,1.1,0.6,6.5,11.2,15.7,21.9,22.9,19.2,10.2,5.5,0.4,9.5
5,1923,-2.5,-0.6,2.9 ),5.6,12.1,15.5,20.8,22.6,18.2,11.1,6.4,1.6,9.5
6,1924,-1.0,-0.8,-0.1,7.4,10.4,15.3,22.4,21.6,17.0,10.8,3.3,0.9,8.9
7,1925,-0.5,-2.0,0.8,4.8,10.2,16.7,19.9,21.3,18.5,11.1,6.9,0.5,9.0
8,1926,-2.0,-0.8,0.4,2.8,11.1,13.3,20.3,22.9,18.9,9.2,4.6,-0.6,8.3
9,1927,-1.2,-2.5,0.6,6.1,9.1,14.8,22.1,21.8,17.1,10.6,7.1,1.6,8.9
10,1928,-1.2,-1.7,1.1,5.9,11.7,16.0,21.6,20.5,19.6,10.6,7.0,1.9,9.4
11,1929,-1.8,-2.8,0.6,5.4,10.8,16.0,21.9,21.9,16.8,12.1,6.2,4.8,9.3
12,1930,-0.5,0.7,2.9,6.8,11.0,15.9,23.0,22.7,16.3,10.5,4.2,1.7,9.6
13,1931,-0.7,-0.5,1.0,4.9,9.4,16.0,19.2,22.0,17.8,10.5,6.6,2.1,9.0
14,1932,0.5,-0.8,0.1,4.6,11.0,16.6,21.5,22.7,17.9,8.8,5.2,2.2,9.2
15,1933,-1.2,-1.5,0.5,5.9,11.9,16.5,23.2,22.7,16.8,10.9,5.5,1.5,9.4
16,1934,-2.8,-1.3,-0.4,4.7,10.3,16.8,21.4,21.7,17.5,10.2,4.5,2.0,8.7
17,1935,-0.7,-0.1,1.5,5.3,11.0,15.2,21.0,21.0,17.7,10.8,6.6,0.8,9.2
18,1936,-3.3,-2.5,-2.2,4.5,10.6,16.7,21.0,21.9,18.4,9.7,4.4,2.7,8.5
19,1937,0.5,1.5,1.1,5.9,10.8,14.5,22.3,22.7,17.5,11.9,7.0,0.1,9.7
20,1938,-2.1,-2.5,2.4,5.4,13.0,16.5,20.8,22.3,16.8,13.5,4.7,1.9,9.4
21,1939,-2.0,-1.0,1.5,6.3,10.4,16.0,21.9,21.2,17.5,11.7,6.0,1.1,9.2
22,1940,-1.5,-1.8,0.2,5.6,8.5,15.5,22.6,20.5,17.4,11.2,6.2,2.7,8.9
23,1941,-0.2,-0.7,1.7,4.8,11.1,17.4,20.5,21.4,16.3,9.6,7.3,1.9,9.3
24,1942,-1.5,-2.6,2.3,4.4,9.8,16.0,22.8,21.8,18.3,9.9,3.7,0.8,8.8
25,1943,-3.0,-2.3,1.5,3.5,10.9,16.6,21.2,22.3,19.6,11.2,4.9,1.6,9.0
26,1944,-1.0,-2.5,0.1,5.2,11.8,16.5,21.4,22.0,17.3,11.2,6.1,-0.1,9.0
27,1945,-3.1,-3.4,0.1,5.2,9.8,16.9,19.5,22.7,18.3,12.6,5.1,0.5,8.7
28,1946,-2.0,-2.2,0.5,6.7,10.8,18.0,22.3,22.2,16.9,11.3,8.1,0.6,9.4
29,1947,-0.5,-4.0,-0.4,4.1,9.8,15.1,21.7,22.2,18.2,10.6,3.8,-0.8,8.3
30,1948,-2.7,0.0,1.5,7.0,10.5,16.2,22.3,21.9,18.0,12.5,6.7,3.9,9.8
31,1949,0.3,1.6,0.5,3.7,11.2,16.4,20.9,21.7,18.6,10.8,5.7,2.2,9.5
32,1950,0.6,0.8,1.3,7.0,12.0,17.0,22.1,22.3,18.4,11.3,6.7,1.4,10.1
