,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1897,　,　,　,　,　,　,　,　,　,97.3,183.4,592.6,873.3 ]
1,1898,185.1,108.9,63.1,65.8,107.4,233.4,139.3,67.0,168.2,48.9,170.8,254.0,1611.9
2,1899,239.3,119.2,112.1,79.1,82.7,103.1,117.5,165.9,411.6,297.6,111.4,131.5,1971.0
3,1900,207.1,75.3,94.9,142.3,99.1,117.4,184.1,132.2,239.1,141.6,135.4,301.1,1869.6
4,1901,256.3,149.8,83.8,113.0,86.2,238.4,168.9,182.5,121.4,125.1,152.7,268.5,1946.6
5,1902,189.1,108.0,113.3,209.8,191.2,128.5,231.1,201.4,287.8,138.8,140.9,378.9,2318.8
6,1903,157.2,121.1,130.6,120.4,162.4,96.9,389.9,41.1,205.4,170.7,230.9,370.0,2196.6
7,1904,348.2,45.1,151.4,157.0,201.3,147.6,321.4,109.6,318.7,158.8,288.7,153.7,2401.5
8,1905,105.9,171.6,101.0,111.3,115.6,298.2,160.5,367.8,92.6,108.5,222.3,246.9,2102.2
9,1906,253.2,177.1,108.4,86.0,105.5,145.9,171.8,34.1,252.6,141.1,187.5,313.4,1976.6
10,1907,178.4,151.2,98.4,133.9,115.4,165.2,182.4,358.4,250.0,136.4,137.6,306.2,2213.5
11,1908,216.7,204.6,202.0,243.5,135.3,269.7,148.8,195.6,212.8,149.4,473.4,180.7,2632.5
12,1909,207.2,282.4,174.9,202.1,138.4,299.5,61.6,92.2,280.0,96.3,180.7,346.2,2361.5
13,1910,182.6,232.3,228.3,70.3,117.6,167.8,112.5,284.7,315.1,128.5,183.2,376.9,2399.8
14,1911,164.9,137.1,138.1,167.1,109.4,274.8,156.8,243.1,277.0,234.1,194.4,370.6,2467.4
15,1912,278.9,229.9,191.7,165.1,124.1,56.5,172.6,95.0,197.2,67.0,210.0,362.6,2150.6
16,1913,347.7,237.0,145.1,120.6,191.0,157.0,59.9,257.8,92.0,398.5,130.3,237.0,2373.9
17,1914,221.9,106.3,184.5,100.1,135.9,161.5,86.7,227.4,120.9,197.7,226.1,501.1,2270.1
18,1915,327.9,304.5,167.8,148.1,141.6,207.8,78.4,142.3,161.4,213.1,144.0,239.2,2276.1
19,1916,193.8,244.2,169.7,145.5,129.4,263.2,167.8,97.8,245.6,154.4,160.3,197.9,2169.6
20,1917,536.3,285.5,255.7,127.1,100.7,148.1,63.8,188.0,378.4,427.4,403.8,466.5,3381.3
21,1918,288.5,76.3,146.0,146.7,143.9,130.5,103.6,257.3,344.8,217.5,224.7,304.6,2384.4
22,1919,335.7,98.3,168.3,142.0,85.7,134.5,145.9,124.0,203.9,183.3,189.2,324.2,2135.0
23,1920,282.2,130.7,123.5,102.0,126.0,257.2,58.4,192.3,89.8,55.8,127.5,289.2,1834.6
24,1921,283.9,146.6,174.6,157.2,107.5,243.2,262.3,164.0,421.0,158.6,329.1,277.9,2725.9
25,1922,373.2,229.6,125.5,85.5,125.3,116.2,279.8,20.2,64.4,204.5,330.6,659.3,2614.1
26,1923,304.9,149.2,174.2,174.6,323.0,180.5,307.8,9.4,410.2,254.9,204.7,376.0,2869.4
27,1924,139.6,188.9,122.6,99.3,183.1,80.0,63.2,80.3,232.7,164.6,284.7,205.8,1844.8
28,1925,243.2,160.6,124.6,130.9,123.0,158.6,138.1,155.5,191.4,143.1,228.0,406.7,2203.7
29,1926,292.0,102.3,192.6,107.2,117.1,51.6,234.0,257.8,317.8,282.9,188.1,395.1,2538.5
30,1927,466.1,247.6,190.7,136.2,116.9,72.7,129.6,159.7,302.1,129.4,145.3,245.6,2341.9
31,1928,387.1,229.1,158.1,115.3,92.2,244.8,73.9,108.6,54.4,152.6,163.7,354.9,2134.7
32,1929,174.7,262.2,133.5,168.2,131.4,56.9,146.9,107.1,265.1,222.6,246.0,168.1,2082.7
33,1930,196.2,150.3,90.0,133.2,89.5,263.6,513.7,83.5,186.8,183.7,401.9,268.5,2560.9
34,1931,257.4,161.0,106.4,185.2,107.5,168.3,197.6,163.7,142.8,238.4,145.0,439.4,2312.7
35,1932,172.0,221.1,229.0,184.4,76.6,162.1,239.5,98.7,239.2,68.4,260.4,191.4,2142.8
36,1933,318.8,179.8,195.9,119.2,122.4,32.7,144.0,88.1,201.7,315.6,191.4,423.4,2333.0
37,1934,484.8,199.6,216.4,92.4,40.6,128.1,144.7,107.4,329.6,66.9,329.8,164.9,2305.2
38,1935,376.1,157.1,129.9,105.5,70.1,182.4,247.5,264.5,242.3,138.8,131.0,429.6,2474.8
